Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.09829866	0.04223123	0.08245415	0.00707700	-0.00442052	-0.00207239	0.07312703	0.04806715	0.07307877	0.00043564	-0.01146736	-0.00496535	0.05518305	0.05231223	0.06404024	-0.00101824	-0.00898832	-0.00615484	0.08537783	0.07697324	0.11636744	0.01440512	0.00273396	-0.00054911	0.05698862	0.08612947	0.09446321	0.01010496	-0.00832185	-0.00234687	0.03560399	0.06939928	0.06458122	0.01585535	-0.00850800	0.00165467
0.033333	0.09837403	0.04222891	0.08239879	0.00689889	-0.00480888	-0.00132569	0.07312526	0.04790924	0.07300915	0.00071414	-0.01331856	-0.00614586	0.05515911	0.05220573	0.06395110	-0.00169460	-0.01420571	-0.00808712	0.08557127	0.07702615	0.11636188	0.01427477	0.00505978	-0.00083082	0.05713061	0.08599523	0.09444052	0.01025502	-0.00470350	-0.00439057	0.03581092	0.06925712	0.06463679	0.01975611	-0.00824358	-0.00149936
0.050000	0.09853750	0.04206857	0.08239894	0.00672079	-0.00519725	-0.00057899	0.07314743	0.04766662	0.07290915	0.00099264	-0.01516976	-0.00732637	0.05514941	0.05196999	0.06380901	-0.00237097	-0.01942309	-0.01001939	0.08586013	0.07708684	0.11634640	0.01414442	0.00738560	-0.00111253	0.05733261	0.08589683	0.09435863	0.01040507	-0.00108514	-0.00643427	0.03617266	0.06912752	0.06460059	0.02365688	-0.00797916	-0.00465339
0.066666	0.09867501	0.04195758	0.08239273	0.00536746	-0.00295147	-0.00085783	0.07315989	0.04735769	0.07275685	0.00059881	-0.01456566	-0.00669530	0.05507566	0.05155806	0.06363523	-0.00176443	-0.01852350	-0.01093548	0.08613665	0.07723507	0.11631647	0.01256247	0.00874906	-0.00073340	0.05751871	0.08588938	0.09423055	0.00958214	0.00125312	-0.00680259	0.03662342	0.06895187	0.06451671	0.02263961	-0.00680010	-0.00426395
0.083333	0.09875794	0.04186839	0.08240522	0.00439303	-0.00076842	-0.00115999	0.07319456	0.04711527	0.07261559	-0.00015453	-0.01486801	-0.00682927	0.05506559	0.05114751	0.06341780	-0.00148664	-0.01964379	-0.01277053	0.08632239	0.07738824	0.11630654	0.01168878	0.01225785	-0.00056792	0.05768169	0.08595254	0.09409138	0.00833867	0.00566932	-0.00805843	0.03710162	0.06888668	0.06432090	0.02285080	-0.00550190	-0.00424834
0.100000	0.09876858	0.04194771	0.08237232	0.00289203	0.00319028	-0.00216876	0.07318921	0.04687811	0.07251962	-0.00121903	-0.01329518	-0.00682666	0.05500069	0.05081976	0.06320337	-0.00099883	-0.01835532	-0.01438512	0.08645321	0.07762398	0.11628960	0.00983756	0.01633710	-0.00038814	0.05780151	0.08609958	0.09394385	0.00601551	0.01020652	-0.00859376	0.03744525	0.06877368	0.06425466	0.02104186	-0.00290648	-0.00368608
0.116666	0.09880228	0.04203092	0.08233251	0.00152417	0.00688533	-0.00306600	0.07315241	0.04666308	0.07244121	-0.00241303	-0.01118813	-0.00681373	0.05504429	0.05059122	0.06294917	-0.00064751	-0.01514510	-0.01557701	0.08659829	0.07787853	0.11631476	0.00788509	0.02005931	-0.00016164	0.05790008	0.08627535	0.09381370	0.00354116	0.01424624	-0.00861983	0.03775026	0.06875817	0.06425571	0.01828560	0.00040211	-0.00295290
