Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.09578598	0.04663761	0.08365856	-0.00137725	-0.00952905	0.02038074	0.06907112	0.05043606	0.07349791	-0.02926250	0.02801262	0.02797384	0.05314443	0.05319533	0.06244337	-0.03890437	0.08788411	0.01197218	0.08433533	0.08261631	0.11553600	0.00026718	-0.00561064	-0.00347310	0.05534483	0.08889696	0.09411611	0.00554575	0.01430916	0.00745467	0.03669201	0.07288799	0.06381886	-0.04596235	0.04553087	0.01253055
0.033333	0.09577305	0.04641952	0.08401379	-0.00165515	-0.00763729	0.01774825	0.06862321	0.05092809	0.07394978	-0.02450409	0.02140098	0.02352575	0.05249986	0.05480704	0.06259766	-0.03209533	0.06941026	0.01003295	0.08438148	0.08248073	0.11546193	-0.00255571	-0.00388005	-0.00237488	0.05546967	0.08911210	0.09423055	0.00309238	0.01435479	0.00599923	0.03599462	0.07369912	0.06396005	-0.04012489	0.03678486	0.01235855
0.050000	0.09573009	0.04633428	0.08430745	-0.00193306	-0.00574552	0.01511576	0.06815530	0.05128274	0.07439137	-0.01974568	0.01478935	0.01907766	0.05192032	0.05588123	0.06283643	-0.02528629	0.05093640	0.00809373	0.08431010	0.08246742	0.11543775	-0.00537860	-0.00214946	-0.00127666	0.05550058	0.08938693	0.09434322	0.00063900	0.01440043	0.00454379	0.03521593	0.07429812	0.06424917	-0.03428743	0.02803884	0.01218655
0.066666	0.09569430	0.04629688	0.08453912	-0.00222952	-0.00789575	0.01406314	0.06779282	0.05150678	0.07467932	-0.01560415	0.01118463	0.01734021	0.05154238	0.05662772	0.06295028	-0.02174112	0.04485130	0.00659588	0.08417559	0.08245513	0.11542217	-0.00535457	-0.00270882	-0.00092276	0.05548147	0.08963927	0.09443053	0.00031239	0.01245608	0.00333400	0.03462422	0.07472517	0.06448358	-0.02977422	0.02429301	0.01086850
0.083333	0.09567064	0.04622689	0.08473194	-0.00267674	-0.00942081	0.01146973	0.06762918	0.05159345	0.07489210	-0.01096659	0.00428717	0.01415299	0.05126595	0.05703366	0.06306129	-0.01570008	0.02979825	0.00481701	0.08404825	0.08241529	0.11542635	-0.00675465	-0.00394204	-0.00005800	0.05544301	0.08984200	0.09446002	-0.00163856	0.00785373	0.00224330	0.03424582	0.07496034	0.06464237	-0.02417257	0.01520424	0.01064163
0.100000	0.09562460	0.04599963	0.08492269	-0.00193593	-0.01212360	0.00898771	0.06757940	0.05162078	0.07505237	-0.00653124	-0.00089644	0.01130913	0.05110176	0.05751902	0.06304108	-0.01127607	0.01983416	0.00309480	0.08395688	0.08238000	0.11541724	-0.00609262	-0.00638007	0.00033450	0.05544460	0.09003003	0.09444842	-0.00253192	0.00186109	0.00144393	0.03401750	0.07522465	0.06472093	-0.01805143	0.00800825	0.00905543
0.116666	0.09556306	0.04574121	0.08506484	-0.00048179	-0.01428347	0.00650010	0.06752211	0.05154987	0.07526249	-0.00355774	-0.00468282	0.00890121	0.05095872	0.05781354	0.06309495	-0.00872258	0.01238595	0.00242983	0.08385061	0.08224203	0.11543460	-0.00421861	-0.00772531	0.00079941	0.05539582	0.08998907	0.09445813	-0.00287683	-0.00318275	0.00115812	0.03372759	0.07531548	0.06488618	-0.01314657	0.00250903	0.00774100
