Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.09828579	0.04879037	0.07462627	-0.00124828	0.00259859	-0.00432352	0.07403419	0.05356714	0.06561355	0.00539771	-0.00033280	-0.00705014	0.05915829	0.05450359	0.05598775	-0.00113043	-0.00104731	0.00073994	0.08003314	0.07476653	0.11277914	-0.00250173	-0.00006724	-0.00214045	0.05149468	0.08399530	0.09147406	0.00035061	-0.00123103	-0.00330632	0.03773186	0.06677034	0.05588055	-0.00168082	-0.00173871	-0.00380674
0.033333	0.09827437	0.04882992	0.07455073	-0.00094816	0.00174847	-0.00483224	0.07415354	0.05355301	0.06551176	0.00416549	-0.00165314	-0.00760432	0.05915752	0.05448195	0.05600385	-0.00013478	-0.00248888	-0.00261237	0.08001382	0.07477449	0.11273918	-0.00124030	-0.00120074	-0.00319855	0.05151110	0.08399533	0.09140307	0.00027549	-0.00455664	-0.00341067	0.03770927	0.06674442	0.05584627	-0.00080332	-0.00415722	-0.00489382
0.050000	0.09824251	0.04886271	0.07447773	-0.00064805	0.00089836	-0.00534097	0.07418894	0.05354269	0.06537449	0.00293327	-0.00297348	-0.00815849	0.05913193	0.05444982	0.05597098	0.00086086	-0.00393044	-0.00596468	0.07996096	0.07474928	0.11269334	0.00002112	-0.00233424	-0.00425665	0.05150655	0.08392417	0.09136014	0.00020037	-0.00788226	-0.00351501	0.03769104	0.06669703	0.05573517	0.00007417	-0.00657572	-0.00598090
0.066666	0.09823632	0.04888742	0.07438298	-0.00058815	-0.00005275	-0.00536105	0.07424181	0.05349712	0.06521880	0.00243031	-0.00380605	-0.00744625	0.05913999	0.05439125	0.05586472	0.00187986	-0.00489745	-0.00717011	0.07996050	0.07471211	0.11262613	0.00106492	-0.00294891	-0.00482975	0.05150435	0.08376929	0.09131476	0.00067225	-0.00827677	-0.00406055	0.03768130	0.06655146	0.05561996	0.00078509	-0.00672414	-0.00540534
0.083333	0.09823192	0.04887282	0.07428832	-0.00049588	-0.00112080	-0.00536079	0.07424671	0.05340022	0.06508174	0.00138186	-0.00477612	-0.00694579	0.05918125	0.05427653	0.05567607	0.00256251	-0.00565265	-0.00856442	0.07999057	0.07463014	0.11252479	0.00207328	-0.00410476	-0.00523916	0.05150263	0.08353297	0.09124985	0.00107693	-0.00981800	-0.00391571	0.03771195	0.06639559	0.05550515	0.00118511	-0.00785361	-0.00525328
0.100000	0.09823950	0.04883271	0.07417847	-0.00073206	-0.00228585	-0.00515772	0.07429970	0.05329295	0.06497950	0.00056379	-0.00521662	-0.00598362	0.05927850	0.05414855	0.05547337	0.00289521	-0.00562510	-0.00854786	0.08008590	0.07457170	0.11240408	0.00253425	-0.00519751	-0.00511026	0.05154075	0.08338197	0.09114098	0.00165644	-0.01017586	-0.00369781	0.03776785	0.06624764	0.05543420	0.00095986	-0.00799037	-0.00455975
0.116666	0.09822164	0.04877587	0.07410731	-0.00141133	-0.00306146	-0.00496151	0.07428385	0.05319293	0.06490480	-0.00054140	-0.00489405	-0.00515463	0.05934244	0.05402896	0.05532898	0.00310866	-0.00499925	-0.00798670	0.08013529	0.07446796	0.11231569	0.00200120	-0.00570992	-0.00459218	0.05157756	0.08321617	0.09107325	0.00225515	-0.00909604	-0.00344479	0.03779513	0.06613439	0.05538851	0.00032179	-0.00742975	-0.00396885
