Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11887417	0.10534355	0.06593136	-0.01286300	0.02030284	0.00522977	0.09951222	0.09701449	0.05526226	-0.01196944	0.02202591	0.00892687	0.08298081	0.08438729	0.04779522	-0.02296237	0.02112032	0.01556565	0.10683899	0.14501038	0.08084276	-0.00134938	0.01972132	-0.00108995	0.07507700	0.12922698	0.06177541	-0.00110131	0.00322515	0.00231206	0.05436273	0.10445039	0.04554084	0.01653013	-0.00107609	-0.00944089
0.033333	0.11861604	0.10569644	0.06602350	-0.01106483	0.01259168	0.00312367	0.09927152	0.09741197	0.05544297	-0.01278033	0.01344552	0.00724892	0.08255555	0.08476220	0.04808864	-0.01977198	0.01307672	0.01306107	0.10680787	0.14539294	0.08081640	-0.00235812	0.01000513	0.00084021	0.07503928	0.12935030	0.06182472	-0.00118398	-0.00441046	0.00259147	0.05461103	0.10451657	0.04536103	0.01325810	-0.00850443	-0.00707514
0.050000	0.11846937	0.10593220	0.06609042	-0.00926666	0.00488052	0.00101757	0.09911257	0.09763558	0.05553441	-0.01359122	0.00486514	0.00557097	0.08225367	0.08498738	0.04827882	-0.01658159	0.00503311	0.01055649	0.10677547	0.14553940	0.08083060	-0.00336686	0.00028893	0.00277036	0.07503335	0.12922195	0.06186341	-0.00126664	-0.01204607	0.00287089	0.05486616	0.10429975	0.04526430	0.00998607	-0.01593276	-0.00470938
0.066666	0.11834726	0.10595775	0.06608216	-0.01025100	0.00096482	0.00077822	0.09888609	0.09766163	0.05561058	-0.01503798	0.00006102	0.00573049	0.08199669	0.08501906	0.04844185	-0.01720376	0.00012517	0.01028186	0.10673019	0.14547366	0.08088890	-0.00529742	-0.00450613	0.00361347	0.07503968	0.12895885	0.06189563	-0.00386120	-0.01473269	0.00432128	0.05509590	0.10401027	0.04516749	0.00606547	-0.01715891	-0.00376727
0.083333	0.11821987	0.10588641	0.06604999	-0.01021661	-0.00599152	-0.00060190	0.09864862	0.09758975	0.05566922	-0.01647881	-0.00812996	0.00502641	0.08182204	0.08496002	0.04854840	-0.01733209	-0.00849090	0.00883115	0.10664938	0.14530309	0.08097515	-0.00823289	-0.01375480	0.00517091	0.07499839	0.12864174	0.06194977	-0.00758871	-0.02028958	0.00578508	0.05508751	0.10355759	0.04519137	0.00050049	-0.01987450	-0.00149571
0.100000	0.11801250	0.10570070	0.06603576	-0.01099352	-0.01049351	-0.00128404	0.09829656	0.09735426	0.05577402	-0.01757111	-0.01260420	0.00462728	0.08151214	0.08472946	0.04871694	-0.01833670	-0.01343610	0.00765526	0.10649105	0.14500412	0.08107886	-0.01103640	-0.01879439	0.00579322	0.07487153	0.12825006	0.06207552	-0.01094457	-0.02173492	0.00680697	0.05505205	0.10320015	0.04514781	-0.00551449	-0.01888927	0.00047988
0.116666	0.11778117	0.10545222	0.06603169	-0.01239107	-0.01326756	-0.00057869	0.09798045	0.09703079	0.05587328	-0.01823719	-0.01449155	0.00378882	0.08115469	0.08438064	0.04886183	-0.01990494	-0.01566498	0.00608799	0.10624955	0.14457823	0.08119226	-0.01301618	-0.02086685	0.00591940	0.07457156	0.12783524	0.06224694	-0.01302750	-0.02137714	0.00751711	0.05489489	0.10290198	0.04514971	-0.00997465	-0.01719284	0.00135117
