Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11139274	0.09979624	0.06362942	-0.01210761	-0.00552597	-0.00190605	0.08943825	0.09128402	0.05380943	-0.01439301	-0.00582202	0.00058690	0.07318708	0.08027265	0.04457051	-0.01407033	-0.00599573	-0.00037553	0.09934398	0.13936430	0.08129569	-0.01237956	0.00208341	0.00659319	0.06642578	0.12463556	0.06168270	-0.02153092	0.01631982	-0.00146879	0.05453530	0.10383251	0.03751832	0.00170677	0.00812601	-0.00701671
0.033333	0.11121458	0.09973641	0.06358521	-0.01120788	-0.00603455	-0.00263819	0.08923551	0.09122594	0.05382323	-0.01235609	-0.00690761	-0.00018686	0.07296976	0.08021345	0.04455697	-0.00976149	-0.00856388	-0.00161112	0.09916113	0.13942145	0.08138370	-0.01061980	0.00057847	0.00651064	0.06612590	0.12498782	0.06162992	-0.02213480	0.01444778	0.00005599	0.05455923	0.10400518	0.03738886	0.00666476	0.00639464	-0.00584299
0.050000	0.11099122	0.09961203	0.06354682	-0.01030814	-0.00654313	-0.00337032	0.08896144	0.09107067	0.05381801	-0.01031917	-0.00799320	-0.00096063	0.07275548	0.08003920	0.04455269	-0.00545265	-0.01113203	-0.00284671	0.09893864	0.13941382	0.08151672	-0.00886004	-0.00092648	0.00642809	0.06569826	0.12516071	0.06165517	-0.02273867	0.01257574	0.00158078	0.05463914	0.10407232	0.03730590	0.01162275	0.00466326	-0.00466928
0.066666	0.11081618	0.09947748	0.06352022	-0.00912778	-0.00535963	-0.00521908	0.08880401	0.09092125	0.05380948	-0.00911843	-0.00721130	-0.00175717	0.07266531	0.07981258	0.04450633	-0.00329943	-0.01081847	-0.00362360	0.09880338	0.13937847	0.08163971	-0.00799883	-0.00140437	0.00608320	0.06528646	0.12526904	0.06170283	-0.02072779	0.01483692	0.00146689	0.05485763	0.10409460	0.03725331	0.01286536	0.00472149	-0.00377189
0.083333	0.11068098	0.09935325	0.06342571	-0.00828448	-0.00494899	-0.00675774	0.08869270	0.09076696	0.05375585	-0.00725071	-0.00703192	-0.00283542	0.07273087	0.07959808	0.04439752	-0.00036396	-0.01142879	-0.00475036	0.09870283	0.13933989	0.08172774	-0.00649142	-0.00286923	0.00619574	0.06490336	0.12553267	0.06175220	-0.01954597	0.01431776	0.00209431	0.05519596	0.10422372	0.03715140	0.01491323	0.00359637	-0.00205205
0.100000	0.11058132	0.09933848	0.06327339	-0.00811796	-0.00470059	-0.00797308	0.08862925	0.09068878	0.05371671	-0.00534212	-0.00652495	-0.00346781	0.07277946	0.07941578	0.04432141	0.00081435	-0.01087484	-0.00511045	0.09863957	0.13931067	0.08179247	-0.00502309	-0.00341491	0.00566481	0.06466576	0.12586582	0.06177027	-0.01879636	0.01397787	0.00264610	0.05549736	0.10426654	0.03714007	0.01499277	0.00368600	-0.00149508
0.116666	0.11049601	0.09928843	0.06307612	-0.00902939	-0.00441117	-0.00865627	0.08853658	0.09061229	0.05361832	-0.00450036	-0.00598787	-0.00373423	0.07283292	0.07925832	0.04419836	-0.00022013	-0.01020823	-0.00426022	0.09854327	0.13922510	0.08190822	-0.00491174	-0.00383200	0.00531631	0.06441919	0.12618142	0.06179822	-0.01844734	0.01173434	0.00336702	0.05574266	0.10434081	0.03715214	0.01313295	0.00400463	-0.00114836
