Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.10593118	0.08927300	0.06420588	-0.00738411	-0.02540114	-0.00759716	0.08572723	0.08117479	0.05221985	-0.00815637	-0.03004842	-0.00131956	0.06960594	0.06677583	0.04418465	-0.01354402	-0.04281196	0.01146031	0.09198135	0.12775613	0.08818766	-0.00921737	-0.01889944	-0.00997268	0.05531555	0.12061798	0.06222746	-0.02023884	-0.00364670	-0.01534340	0.05585891	0.09673685	0.03863956	0.00465952	-0.00767312	-0.00628256
0.016667	0.10584886	0.08892874	0.06403384	-0.00611881	-0.02659980	-0.00854399	0.08562463	0.08075087	0.05212354	-0.00448154	-0.03109296	-0.00253202	0.06940939	0.06611142	0.04433430	-0.00818524	-0.04068436	0.00686615	0.09181560	0.12747209	0.08796986	-0.00674154	-0.01978629	-0.00656362	0.05491768	0.12051716	0.06194020	-0.01831230	-0.00469478	-0.00799111	0.05592074	0.09662025	0.03847942	0.00988622	-0.00755715	-0.00245680
0.033333	0.10569637	0.08841113	0.06394996	-0.00485351	-0.02779845	-0.00949081	0.08550090	0.08015682	0.05216265	-0.00080671	-0.03213750	-0.00374447	0.06921848	0.06537180	0.04451872	-0.00282646	-0.03855676	0.00227199	0.09170840	0.12711634	0.08789060	-0.00426570	-0.02067313	-0.00315455	0.05468506	0.12049353	0.06178903	-0.01638575	-0.00574286	-0.00063883	0.05606540	0.09645103	0.03848252	0.01511291	-0.00744119	0.00136896
0.050000	0.10559947	0.08786821	0.06380246	-0.00295134	-0.02471900	-0.01138442	0.08548759	0.07955109	0.05215224	0.00149456	-0.02970555	-0.00706497	0.06917316	0.06470226	0.04457432	0.00108321	-0.03549974	-0.00138229	0.09165243	0.12673831	0.08789433	-0.00334890	-0.01939066	-0.00405928	0.05441359	0.12040426	0.06186327	-0.01540399	-0.00688209	-0.00039125	0.05638682	0.09638207	0.03855918	0.01657144	-0.00900581	0.00102817
0.066666	0.10556022	0.08745063	0.06361327	-0.00216004	-0.02249727	-0.01309936	0.08554887	0.07905822	0.05201897	0.00338064	-0.02763700	-0.00928003	0.06925854	0.06413714	0.04445563	0.00616270	-0.03140023	-0.00532549	0.09162538	0.12640010	0.08790196	-0.00142187	-0.01781977	-0.00414820	0.05419382	0.12027453	0.06198550	-0.01224424	-0.00744174	0.00154937	0.05671037	0.09623457	0.03862769	0.01920236	-0.00978850	0.00186532
0.083333	0.10562376	0.08715213	0.06331550	-0.00208300	-0.01785677	-0.01424277	0.08576073	0.07867140	0.05172043	0.00381389	-0.02214910	-0.01124452	0.06949749	0.06370611	0.04424487	0.00942521	-0.02566463	-0.00778298	0.09163228	0.12611605	0.08780793	-0.00028957	-0.01415884	-0.00629610	0.05390861	0.12006778	0.06209652	-0.00902092	-0.00725831	0.00068283	0.05709938	0.09605245	0.03866269	0.01845429	-0.00937082	0.00040407
0.100000	0.10564018	0.08692955	0.06303022	-0.00203085	-0.01287316	-0.01398114	0.08582330	0.07831468	0.05146493	0.00349720	-0.01531335	-0.01161038	0.06971405	0.06329421	0.04404482	0.01118009	-0.01913347	-0.00830654	0.09162175	0.12589842	0.08767356	0.00056412	-0.00960481	-0.00823762	0.05380206	0.11993522	0.06201528	-0.00501570	-0.00536630	-0.00121108	0.05744737	0.09581977	0.03863539	0.01598258	-0.00764317	-0.00141951
0.116666	0.10552680	0.08671269	0.06278723	-0.00192945	-0.00842955	-0.01217463	0.08583044	0.07806416	0.05128757	0.00232358	-0.00890299	-0.00954490	0.06989989	0.06299622	0.04395793	0.01153820	-0.01257365	-0.00735858	0.09164953	0.12576880	0.08745323	0.00114244	-0.00563743	-0.00848151	0.05376915	0.11985782	0.06191150	-0.00081532	-0.00233010	-0.00240480	0.05766343	0.09565160	0.03858895	0.01294626	-0.00457691	-0.00283768
