Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.10753130	0.08236485	0.06607572	0.00004340	0.00093516	-0.00368354	0.08718678	0.08638129	0.06002977	-0.00089720	0.00065319	-0.00452433	0.07124459	0.08040746	0.05252652	0.00500126	0.00279908	-0.00537191	0.09273256	0.10064397	0.09554476	0.00212994	0.00179195	-0.00160952	0.05589938	0.09860729	0.07841121	-0.00339450	-0.00042387	-0.00326430	0.05130396	0.09521732	0.04167452	-0.01337120	-0.00764895	0.00213950
0.016667	0.10753968	0.08236355	0.06600104	0.00008024	0.00153222	-0.00259304	0.08718305	0.08640560	0.05996843	-0.00185833	-0.00172198	-0.00482230	0.07131989	0.08043529	0.05245853	0.00427188	0.00162878	-0.00573447	0.09276904	0.10069105	0.09554044	0.00176222	0.00077717	-0.00192270	0.05583805	0.09860266	0.07837972	-0.00249502	-0.00010930	-0.00486622	0.05109577	0.09508977	0.04172632	-0.01000703	-0.00613491	0.00016853
0.033333	0.10753563	0.08240212	0.06596331	0.00011709	0.00212927	-0.00150253	0.08715354	0.08637439	0.05987279	-0.00281946	-0.00409716	-0.00512026	0.07140400	0.08048891	0.05233958	0.00354250	0.00045847	-0.00609704	0.09279830	0.10069331	0.09549129	0.00139449	-0.00023760	-0.00223589	0.05580568	0.09859835	0.07827975	-0.00159555	0.00020526	-0.00646813	0.05091011	0.09498134	0.04171526	-0.00664285	-0.00462087	-0.00180243
0.050000	0.10752056	0.08245651	0.06595884	0.00115294	0.00165735	-0.00207391	0.08708557	0.08629034	0.05977776	-0.00210156	-0.00483872	-0.00495255	0.07144453	0.08050324	0.05222819	0.00325320	-0.00108794	-0.00644340	0.09282026	0.10066277	0.09542032	0.00148103	-0.00026655	-0.00141897	0.05577872	0.09859794	0.07815047	0.00046270	0.00084382	-0.00728316	0.05072492	0.09487335	0.04168632	-0.00354399	-0.00422163	-0.00289486
0.066666	0.10754275	0.08249257	0.06594751	0.00320283	0.00189912	-0.00286215	0.08701525	0.08616783	0.05969637	-0.00064645	-0.00610499	-0.00623225	0.07152193	0.08047383	0.05212403	0.00297544	-0.00380316	-0.00820226	0.09283634	0.10065828	0.09540653	0.00285202	-0.00108529	-0.00198559	0.05575922	0.09861195	0.07802386	0.00474766	0.00188139	-0.01028866	0.05081723	0.09490235	0.04159826	-0.00035683	-0.00400228	-0.00543185
0.083333	0.10758307	0.08250340	0.06590924	0.00690407	0.00165635	-0.00552709	0.08700310	0.08604795	0.05962167	0.00255884	-0.00640618	-0.00909718	0.07152412	0.08038329	0.05203727	0.00434091	-0.00716670	-0.01133370	0.09285546	0.10065460	0.09541611	0.00632177	-0.00096705	-0.00346282	0.05582195	0.09864519	0.07788313	0.01061419	0.00325197	-0.01420414	0.05085618	0.09483992	0.04151458	0.00393854	-0.00295420	-0.00912718
0.100000	0.10770886	0.08251216	0.06580739	0.01007192	0.00078384	-0.00878397	0.08704156	0.08592825	0.05951675	0.00558885	-0.00666934	-0.01249145	0.07158851	0.08025052	0.05183958	0.00590282	-0.00998371	-0.01504924	0.09292759	0.10062423	0.09540313	0.00990939	-0.00065968	-0.00558632	0.05604768	0.09871568	0.07764650	0.01592136	0.00439642	-0.01812566	0.05095657	0.09475871	0.04137192	0.00697502	-0.00235879	-0.01294368
0.116666	0.10793687	0.08255933	0.06563700	0.01172696	-0.00044119	-0.01148251	0.08722670	0.08585424	0.05924660	0.00751014	-0.00700711	-0.01549479	0.07166725	0.08002459	0.05155671	0.00717252	-0.01144708	-0.01832731	0.09316410	0.10059804	0.09527276	0.01311054	-0.00046257	-0.00820673	0.05642577	0.09880657	0.07727320	0.01984410	0.00532771	-0.02136775	0.05100972	0.09466049	0.04113594	0.00790709	-0.00349359	-0.01553800
