Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.09873374	0.04014049	0.07339194	0.00238274	-0.00559118	0.01235620	0.08312749	0.05339252	0.06017969	0.01286802	0.00605522	0.01851650	0.06806123	0.05464680	0.04168171	0.02443856	0.00115144	0.02250298	0.08425772	0.07199913	0.10176017	-0.01301640	0.00043459	0.00193045	0.06117820	0.08404905	0.07723305	-0.00308282	-0.00197054	-0.00214913	0.05625289	0.08283625	0.05240151	0.00010457	0.00361016	0.00425739
0.033333	0.09875111	0.04008440	0.07356969	0.00334920	-0.00708687	0.01269115	0.08330646	0.05352512	0.06046685	0.01401326	0.00648270	0.01760620	0.06843414	0.05476317	0.04199486	0.02552780	0.00274358	0.02238659	0.08401247	0.07202499	0.10178936	-0.01059477	0.00139274	0.00192628	0.06112353	0.08402248	0.07718337	-0.00307472	0.00113614	-0.00171997	0.05624298	0.08287881	0.05245209	-0.00033897	0.00503564	0.00115548
0.050000	0.09882659	0.03993783	0.07381013	0.00431565	-0.00858256	0.01302609	0.08358361	0.05359746	0.06078416	0.01515849	0.00691018	0.01669590	0.06891115	0.05468456	0.04243227	0.02661704	0.00433571	0.02227019	0.08385158	0.07203030	0.10182029	-0.00817313	0.00235089	0.00192211	0.06107549	0.08401614	0.07716834	-0.00306661	0.00424282	-0.00129082	0.05624681	0.08294746	0.05251694	-0.00078250	0.00646113	-0.00194643
0.066666	0.09890824	0.03976767	0.07404107	0.00409333	-0.00742958	0.01203303	0.08383673	0.05368223	0.06107778	0.01483252	0.00840390	0.01504125	0.06931249	0.05471281	0.04284900	0.02562529	0.00804569	0.02042985	0.08374552	0.07203648	0.10186649	-0.00824306	0.00300088	0.00153646	0.06101963	0.08408944	0.07715779	-0.00311234	0.00491718	-0.00131984	0.05624752	0.08312862	0.05248830	-0.00209943	0.00429475	-0.00309977
0.083333	0.09900719	0.03959094	0.07426207	0.00419905	-0.00678544	0.01122941	0.08411868	0.05384571	0.06132431	0.01438880	0.00943178	0.01349030	0.06984177	0.05488394	0.04318178	0.02261502	0.01095985	0.02013093	0.08365553	0.07213688	0.10188556	-0.00728103	0.00192565	0.00137993	0.06098170	0.08425752	0.07713608	-0.00332828	0.00511794	-0.00078012	0.05621775	0.08322938	0.05234132	-0.00366887	0.00287549	-0.00418138
0.100000	0.09905408	0.03951490	0.07441332	0.00386567	-0.00538510	0.01006551	0.08434519	0.05404763	0.06149869	0.01338889	0.01061591	0.01237470	0.07023125	0.05521170	0.04340263	0.01935691	0.01413559	0.01933931	0.08352538	0.07224271	0.10190072	-0.00720422	0.00082516	0.00077445	0.06091551	0.08441454	0.07710557	-0.00389630	0.00422926	-0.00062786	0.05613320	0.08325598	0.05220269	-0.00524055	0.00106950	-0.00508256
0.116666	0.09911563	0.03946989	0.07455350	0.00352619	-0.00411840	0.00948261	0.08455284	0.05426341	0.06165630	0.01243678	0.01055647	0.01177994	0.07048541	0.05552745	0.04370596	0.01649967	0.01471900	0.01831295	0.08338387	0.07224359	0.10190754	-0.00772326	-0.00007622	0.00010237	0.06086266	0.08445664	0.07710072	-0.00462916	0.00280560	-0.00059597	0.05600526	0.08318054	0.05214155	-0.00622850	0.00016924	-0.00597535
