Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10141673	0.04211260	0.07495255	-0.00242026	0.00244147	-0.00143823	0.08700434	0.05888003	0.06334231	-0.00441199	0.00085414	-0.00103049	0.06873243	0.06487437	0.04824568	-0.00371484	0.00022188	0.00178897	0.08876754	0.07901264	0.10244656	-0.00027746	0.00369535	0.00140019	0.06803104	0.09519942	0.07915258	-0.00259583	0.00234962	0.00185490	0.05585162	0.08778854	0.05521177	0.00013813	-0.00692858	-0.00279690
0.033333	0.10139100	0.04215978	0.07493681	-0.00186928	0.00185230	-0.00127048	0.08693913	0.05889303	0.06332920	-0.00434408	-0.00006940	-0.00000916	0.06867200	0.06487514	0.04828398	-0.00301683	0.00009097	0.00131686	0.08876078	0.07906433	0.10247932	-0.00029996	0.00381792	0.00180022	0.06797948	0.09523336	0.07918119	-0.00136816	0.00146024	0.00238941	0.05584900	0.08767740	0.05519289	0.00005823	-0.00434989	-0.00170544
0.050000	0.10133065	0.04218763	0.07490171	-0.00131831	0.00126312	-0.00110273	0.08686127	0.05889290	0.06331973	-0.00427617	-0.00099294	0.00101217	0.06861250	0.06488153	0.04829740	-0.00231882	-0.00003994	0.00084475	0.08876505	0.07914035	0.10248683	-0.00032246	0.00394048	0.00220024	0.06795944	0.09527168	0.07922409	-0.00014048	0.00057087	0.00292392	0.05584985	0.08759502	0.05511760	-0.00002168	-0.00177120	-0.00061399
0.066666	0.10132153	0.04220179	0.07488864	-0.00118334	0.00129991	-0.00133627	0.08678073	0.05887908	0.06333838	-0.00396745	-0.00174368	0.00116479	0.06857039	0.06488001	0.04831489	-0.00301888	-0.00053335	0.00105894	0.08874902	0.07920638	0.10253689	0.00015184	0.00369047	0.00194494	0.06797121	0.09527516	0.07927144	0.00010386	0.00026092	0.00294549	0.05585719	0.08755346	0.05511635	-0.00038121	0.00002056	0.00000605
0.083333	0.10131221	0.04220992	0.07487132	-0.00046309	0.00104025	-0.00205164	0.08671223	0.05884352	0.06338042	-0.00387812	-0.00254071	0.00102271	0.06857197	0.06487595	0.04830597	-0.00397609	-0.00144605	0.00121544	0.08874530	0.07927582	0.10258325	0.00073433	0.00341383	0.00167791	0.06798600	0.09526085	0.07933186	0.00078943	-0.00015661	0.00267782	0.05586015	0.08760329	0.05513597	-0.00040066	0.00147325	0.00057996
0.100000	0.10131496	0.04223052	0.07485969	0.00047755	0.00072168	-0.00296341	0.08667302	0.05877284	0.06343378	-0.00382112	-0.00317094	0.00058513	0.06851792	0.06485699	0.04833134	-0.00493055	-0.00239530	0.00129458	0.08875927	0.07932405	0.10262088	0.00157808	0.00293073	0.00115373	0.06801048	0.09524041	0.07939678	0.00067413	-0.00006150	0.00206840	0.05582604	0.08769266	0.05519520	-0.00024675	0.00182316	0.00130171
0.116666	0.10130733	0.04225357	0.07479499	0.00076965	0.00014566	-0.00382309	0.08660489	0.05870952	0.06342248	-0.00416556	-0.00386979	0.00037257	0.06837416	0.06479361	0.04837507	-0.00579844	-0.00315992	0.00105994	0.08879873	0.07936590	0.10262638	0.00260384	0.00258581	0.00051957	0.06802196	0.09523671	0.07941943	0.00035554	0.00069302	0.00156865	0.05581816	0.08776455	0.05520838	0.00010293	0.00293748	0.00144765
