Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10427560	0.04168979	0.06791406	-0.00284584	0.00889487	0.00979945	0.08994268	0.05382522	0.05517859	-0.01136498	0.00975572	0.01427393	0.07113971	0.05508780	0.03813282	-0.01845274	0.00904597	0.02089263	0.08463370	0.06977332	0.10005504	-0.00257247	0.01674282	0.00669240	0.06000126	0.08013378	0.07898544	-0.00488162	0.02843063	0.01465315	0.05874459	0.08074854	0.04783284	-0.00798007	0.01443206	0.00473972
0.033333	0.10423946	0.04180829	0.06808980	-0.00092894	0.00894844	0.00877242	0.08977554	0.05393191	0.05542945	-0.00753614	0.01153902	0.01380069	0.07085855	0.05522775	0.03844721	-0.01275038	0.00990466	0.02074898	0.08458301	0.06997469	0.10018580	0.00120141	0.02022058	0.00550257	0.05990743	0.08048623	0.07922581	-0.00105724	0.03354160	0.01373207	0.05857675	0.08091459	0.04791102	-0.00491461	0.01863696	0.00533460
0.050000	0.10418854	0.04197554	0.06821965	0.00098795	0.00900201	0.00774539	0.08960366	0.05416639	0.05563209	-0.00370731	0.01332232	0.01332745	0.07057812	0.05537949	0.03883656	-0.00704802	0.01076334	0.02060533	0.08458716	0.07035177	0.10026278	0.00497529	0.02369834	0.00431275	0.05988406	0.08112072	0.07945779	0.00276714	0.03865258	0.01281099	0.05852950	0.08126528	0.04800244	-0.00184915	0.02284186	0.00592948
0.066666	0.10423411	0.04216623	0.06835412	0.00143711	0.00697433	0.00715955	0.08954512	0.05445474	0.05588298	-0.00177194	0.01125683	0.01234220	0.07048100	0.05559751	0.03919342	-0.00448031	0.00919634	0.01953416	0.08470191	0.07086825	0.10031755	0.00598582	0.02019585	0.00449901	0.05994330	0.08195910	0.07968491	0.00365557	0.03372187	0.01196337	0.05850946	0.08175559	0.04810822	-0.00080658	0.02029639	0.00626727
0.083333	0.10428546	0.04230047	0.06845473	0.00270819	0.00587561	0.00677670	0.08959036	0.05467100	0.05606997	0.00077185	0.01033312	0.01175256	0.07051611	0.05579722	0.03951225	-0.00185762	0.00817805	0.01942261	0.08486293	0.07126863	0.10037114	0.00789385	0.01901124	0.00435172	0.06009401	0.08255932	0.07986195	0.00519933	0.03296303	0.01119197	0.05854357	0.08216482	0.04819877	0.00145957	0.02005309	0.00675532
0.100000	0.10436057	0.04233092	0.06855526	0.00318890	0.00473047	0.00720489	0.08969837	0.05479014	0.05626415	0.00234784	0.00831151	0.01197075	0.07061847	0.05590053	0.03978882	-0.00137196	0.00732842	0.01949769	0.08504387	0.07151052	0.10044947	0.00795863	0.01604034	0.00504347	0.06022616	0.08301594	0.08002173	0.00573274	0.03015329	0.01088557	0.05857709	0.08245008	0.04834003	0.00197251	0.01812085	0.00744385
0.116666	0.10440522	0.04234393	0.06864963	0.00281294	0.00386968	0.00771343	0.08972935	0.05485462	0.05641045	0.00239418	0.00695490	0.01279586	0.07061939	0.05595379	0.04006591	-0.00246846	0.00727407	0.02061900	0.08517684	0.07162982	0.10054022	0.00671497	0.01329893	0.00626831	0.06029489	0.08328205	0.08018688	0.00539117	0.02878324	0.01163159	0.05862551	0.08262280	0.04845160	0.00141025	0.01682311	0.00860732
