Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10961248	0.05308465	0.07554735	0.00720154	-0.00173104	-0.00443922	0.09245729	0.06469782	0.06366294	0.00654283	-0.00004936	-0.00136968	0.07349264	0.06419001	0.04901782	0.00697124	0.00406882	-0.00077548	0.09005379	0.08561396	0.10328351	0.00984624	-0.00147973	-0.00881195	0.06295802	0.09731586	0.08354969	0.01151030	-0.00360002	-0.00690552	0.05757359	0.09127295	0.05012558	-0.00063142	-0.00241858	-0.00673641
0.033333	0.10973091	0.05305849	0.07548235	0.00600348	-0.00005074	-0.00317530	0.09258274	0.06469753	0.06362984	0.00398578	0.00108071	0.00006013	0.07358886	0.06426243	0.04900680	0.00596861	0.00499295	-0.00124075	0.09023275	0.08560697	0.10314029	0.00675092	-0.00101611	-0.00651422	0.06315742	0.09724396	0.08343446	0.00893067	-0.00179061	-0.00504548	0.05754259	0.09123602	0.05002913	-0.00042670	-0.00084468	-0.00514025
0.050000	0.10983588	0.05304342	0.07542030	0.00480542	0.00162956	-0.00191138	0.09264094	0.06470632	0.06364286	0.00142873	0.00221078	0.00148994	0.07370855	0.06433465	0.04899183	0.00496598	0.00591709	-0.00170602	0.09034813	0.08557132	0.10302271	0.00365560	-0.00055250	-0.00421649	0.06330563	0.09721986	0.08334288	0.00635105	0.00001881	-0.00318543	0.05755089	0.09121011	0.04992368	-0.00022197	0.00072923	-0.00354409
0.066666	0.10991058	0.05308348	0.07537845	0.00336559	0.00210696	-0.00006996	0.09265511	0.06476666	0.06367718	0.00018239	0.00246466	0.00293003	0.07381776	0.06444254	0.04895019	0.00325975	0.00636394	-0.00069566	0.09037816	0.08554504	0.10294648	0.00262124	0.00054877	-0.00188638	0.06340767	0.09723004	0.08329829	0.00492936	0.00035495	-0.00124451	0.05757576	0.09123906	0.04984023	-0.00131971	0.00134066	-0.00137600
0.083333	0.10997315	0.05314475	0.07537910	0.00038248	0.00288532	0.00359052	0.09261464	0.06480090	0.06371192	-0.00248374	0.00271571	0.00655002	0.07385015	0.06455257	0.04891570	0.00081372	0.00725499	0.00150722	0.09038123	0.08556317	0.10293889	-0.00038970	0.00113078	0.00260973	0.06344983	0.09727113	0.08328220	0.00205454	0.00081271	0.00315906	0.05755402	0.09126581	0.04985259	-0.00246973	0.00212264	0.00239036
0.100000	0.10997310	0.05322749	0.07545534	-0.00323565	0.00301800	0.00816430	0.09257035	0.06488104	0.06381875	-0.00482610	0.00211385	0.01039286	0.07382856	0.06469681	0.04891344	-0.00260231	0.00799007	0.00477575	0.09036524	0.08562043	0.10299972	-0.00306466	0.00121851	0.00739458	0.06346027	0.09730650	0.08333140	-0.00113983	0.00049640	0.00791262	0.05749011	0.09134870	0.04991107	-0.00463698	0.00206427	0.00712601
0.116666	0.10989609	0.05326807	0.07560572	-0.00572881	0.00253630	0.01243823	0.09247413	0.06492040	0.06400988	-0.00658187	0.00152596	0.01428114	0.07377595	0.06482382	0.04902799	-0.00548190	0.00806853	0.00868877	0.09032232	0.08568100	0.10315679	-0.00517739	0.00087299	0.01126264	0.06344761	0.09730882	0.08349930	-0.00448169	-0.00040423	0.01230241	0.05739865	0.09138215	0.05005263	-0.00700314	0.00102066	0.01134385
