Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12828234	0.05867927	0.07860254	-0.00676717	-0.00716289	-0.00213173	0.09856271	0.07101395	0.06978775	0.00035837	-0.00160304	-0.00473572	0.07981141	0.07080826	0.05362199	-0.00478031	-0.00209813	-0.00756494	0.11171322	0.09390055	0.10929130	-0.00493163	-0.01142283	-0.00243370	0.08202133	0.10777937	0.08499897	-0.00106585	-0.00400530	0.00015009	0.07508643	0.10040087	0.05164335	-0.01343185	0.00032209	0.00463370
0.016667	0.12814672	0.05856228	0.07857394	-0.00791076	-0.00658060	-0.00126958	0.09858520	0.07102010	0.06973549	-0.00006013	-0.00192472	-0.00424931	0.07972842	0.07076903	0.05349358	-0.00419969	-0.00102953	-0.00597297	0.11164354	0.09375542	0.10923897	-0.00554258	-0.01143341	-0.00110239	0.08200347	0.10771126	0.08500132	-0.00191220	-0.00428038	0.00055097	0.07484256	0.10044140	0.05171007	-0.01025323	-0.00216634	0.00290071
0.033333	0.12807761	0.05845362	0.07852443	-0.00905435	-0.00599832	-0.00040744	0.09856324	0.07096858	0.06963924	-0.00047863	-0.00224640	-0.00376289	0.07965944	0.07075287	0.05339110	-0.00361906	0.00003908	-0.00438100	0.11154858	0.09352723	0.10922386	-0.00615353	-0.01144399	0.00022892	0.08198106	0.10764372	0.08500357	-0.00275855	-0.00455545	0.00095185	0.07468110	0.10038905	0.05177924	-0.00707462	-0.00465477	0.00116772
0.050000	0.12791201	0.05834318	0.07853932	-0.00736791	-0.00482507	-0.00105922	0.09856990	0.07085539	0.06954876	-0.00073497	-0.00055369	-0.00186701	0.07960827	0.07075512	0.05332715	-0.00346498	0.00071533	-0.00348985	0.11143094	0.09328721	0.10924497	-0.00524959	-0.00900596	0.00054948	0.08193103	0.10757767	0.08502327	-0.00268486	-0.00417517	0.00104074	0.07457785	0.10025316	0.05180614	-0.00632214	-0.00378197	0.00030486
0.066666	0.12767451	0.05826123	0.07856088	-0.00588904	-0.00282086	-0.00108868	0.09852246	0.07089093	0.06951930	-0.00018604	0.00011336	-0.00027333	0.07954956	0.07078443	0.05328064	-0.00274123	0.00163746	-0.00168972	0.11130610	0.09312677	0.10927366	-0.00403812	-0.00685173	0.00173420	0.08185104	0.10747141	0.08505951	-0.00273210	-0.00326214	0.00181001	0.07453537	0.10015878	0.05176140	-0.00525439	-0.00426264	-0.00000635
0.083333	0.12758365	0.05822008	0.07853813	-0.00537986	-0.00058253	-0.00072174	0.09853736	0.07093514	0.06956328	0.00157759	0.00160296	0.00142355	0.07950928	0.07082086	0.05327602	-0.00157223	0.00223243	-0.00010449	0.11125407	0.09308613	0.10929433	-0.00206728	-0.00347504	0.00224561	0.08180258	0.10740899	0.08507275	-0.00278370	-0.00293394	0.00305740	0.07448320	0.10010184	0.05171243	-0.00556721	-0.00372087	0.00047896
0.100000	0.12761848	0.05823727	0.07847209	-0.00325391	0.00136689	-0.00072163	0.09850884	0.07099193	0.06964656	0.00260220	0.00243251	0.00376781	0.07946551	0.07087881	0.05327492	0.00004094	0.00241057	0.00133411	0.11124068	0.09307211	0.10934160	0.00027847	-0.00131749	0.00268796	0.08177475	0.10739683	0.08511619	-0.00246213	-0.00392550	0.00452278	0.07438850	0.10009259	0.05170850	-0.00612928	-0.00361269	0.00184162
0.116666	0.12760858	0.05831477	0.07845358	-0.00009447	0.00217111	-0.00071675	0.09863451	0.07102876	0.06968625	0.00227620	0.00146293	0.00623985	0.07947770	0.07090805	0.05332522	0.00166462	0.00170440	0.00255522	0.11129688	0.09309062	0.10939777	0.00201185	-0.00179176	0.00367893	0.08175536	0.10739920	0.08520312	-0.00202616	-0.00685348	0.00635954	0.07422917	0.10004513	0.05180141	-0.00652603	-0.00500711	0.00425247
