Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.13069667	0.04247847	0.06718451	-0.00359596	0.00512636	-0.00053350	0.10330164	0.05978208	0.06517317	0.00291930	0.00496159	-0.00774159	0.08401585	0.06576402	0.04813483	-0.00455132	-0.00170917	-0.00024160	0.11376289	0.06632867	0.10095416	-0.00453239	0.00246202	-0.00364264	0.07831916	0.08267463	0.08689887	-0.00242093	-0.00421202	-0.00397568	0.06666402	0.08603048	0.04881640	0.00003707	-0.00277464	-0.00082869
0.016667	0.13060702	0.04257283	0.06717519	-0.00123784	0.00378450	-0.00113413	0.10335193	0.05986964	0.06503538	0.00227184	0.00505721	-0.00730793	0.08393659	0.06571816	0.04813476	-0.00185230	-0.00169092	-0.00220478	0.11369514	0.06637574	0.10089802	-0.00455575	0.00242026	-0.00364670	0.07828300	0.08260052	0.08684376	-0.00100091	-0.00333579	-0.00468159	0.06663565	0.08596353	0.04882162	0.00140749	0.00001498	-0.00172277
0.033333	0.13059767	0.04263950	0.06716141	0.00112027	0.00244265	-0.00173476	0.10338653	0.05993782	0.06492179	0.00162438	0.00515284	-0.00687427	0.08389831	0.06570585	0.04810041	0.00084672	-0.00167266	-0.00416796	0.11361726	0.06640168	0.10083841	-0.00457911	0.00237850	-0.00365076	0.07825534	0.08254059	0.08676192	0.00041910	-0.00245956	-0.00538750	0.06668983	0.08595901	0.04877441	0.00277792	0.00280460	-0.00261684
0.050000	0.13064958	0.04266338	0.06712924	0.00014551	0.00207919	-0.00173528	0.10341010	0.06005096	0.06480820	0.00107482	0.00455744	-0.00668469	0.08393544	0.06567716	0.04800614	0.00134301	-0.00232202	-0.00459721	0.11352985	0.06645729	0.10076366	-0.00369777	0.00186805	-0.00295089	0.07825475	0.08251345	0.08665145	0.00119579	-0.00279025	-0.00514416	0.06673782	0.08606073	0.04873063	0.00339047	0.00188340	-0.00273467
0.066666	0.13072611	0.04266892	0.06708317	-0.00017852	0.00116071	-0.00182067	0.10343665	0.06011278	0.06470934	-0.00007480	0.00403158	-0.00627025	0.08398437	0.06567311	0.04793057	0.00191551	-0.00349527	-0.00540117	0.11344997	0.06648338	0.10070880	-0.00285306	0.00110332	-0.00225433	0.07831672	0.08248799	0.08655812	0.00204895	-0.00307662	-0.00540449	0.06682736	0.08614116	0.04865181	0.00475621	0.00211735	-0.00327588
0.083333	0.13070628	0.04270003	0.06704271	-0.00115075	0.00121052	-0.00223824	0.10341959	0.06018898	0.06459226	-0.00091482	0.00324616	-0.00584247	0.08409090	0.06557805	0.04778191	0.00156262	-0.00497861	-0.00538049	0.11342248	0.06651123	0.10068183	-0.00191391	0.00030581	-0.00169069	0.07837557	0.08244820	0.08647998	0.00239261	-0.00371856	-0.00524568	0.06687377	0.08618897	0.04862151	0.00513217	0.00162107	-0.00355534
0.100000	0.13062516	0.04269113	0.06702647	-0.00140660	0.00139993	-0.00329906	0.10340146	0.06022130	0.06450643	-0.00138041	0.00261949	-0.00526739	0.08407842	0.06550332	0.04771991	0.00094530	-0.00623888	-0.00509797	0.11342118	0.06649793	0.10067989	-0.00077952	0.00011992	-0.00142180	0.07842404	0.08235858	0.08639821	0.00170150	-0.00461208	-0.00484871	0.06700217	0.08613167	0.04855460	0.00488548	0.00069909	-0.00341679
0.116666	0.13053866	0.04273435	0.06699795	-0.00110127	0.00077328	-0.00402404	0.10333080	0.06025295	0.06440695	-0.00139136	0.00217817	-0.00461409	0.08405420	0.06533068	0.04763325	-0.00063394	-0.00696781	-0.00424091	0.11341835	0.06646370	0.10067729	0.00011057	0.00061978	-0.00146580	0.07844187	0.08226123	0.08631531	0.00047498	-0.00540206	-0.00456037	0.06709465	0.08612888	0.04850149	0.00422733	-0.00020903	-0.00278161
