Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.07442766	-0.04163149	0.08335435	0.02888408	-0.00272242	0.02091778	0.04855388	-0.03192626	0.07136466	0.00651092	0.00326293	0.01482396	0.03235662	-0.03149681	0.05964544	0.01087962	0.02730892	0.00642766	0.07857052	-0.00469044	0.10852262	0.00743813	0.00073249	0.00122026	0.03536111	-0.00180336	0.08597371	0.01635653	0.00306197	0.00305486	0.01310453	-0.01268042	0.05626489	-0.01488218	0.01107928	0.00469165
0.033333	0.07484023	-0.04167005	0.08367718	0.02993625	0.00064653	0.01978204	0.04851717	-0.03190935	0.07161071	0.01902979	0.01152125	0.01506648	0.03237898	-0.03110233	0.05970023	0.02551070	0.02326049	0.01519343	0.07867464	-0.00469984	0.10855408	0.00894274	0.00081331	0.00054404	0.03561933	-0.00174387	0.08601299	0.01791064	0.00415097	0.00106194	0.01281613	-0.01249313	0.05635821	-0.01144841	0.01192157	0.00523938
0.050000	0.07542732	-0.04167761	0.08403707	0.03098843	0.00401547	0.01864631	0.04883309	-0.03176121	0.07184108	0.03154866	0.01977957	0.01530899	0.03291101	-0.03057048	0.05994368	0.04014178	0.01921206	0.02395921	0.07883065	-0.00465704	0.10855469	0.01044736	0.00089414	-0.00013217	0.03591631	-0.00167161	0.08604711	0.01946474	0.00523997	-0.00093099	0.01265575	-0.01229791	0.05643059	-0.00801464	0.01276387	0.00578711
0.066666	0.07594574	-0.04164890	0.08436486	0.02885089	0.00633509	0.01684382	0.04964721	-0.03133655	0.07214504	0.02919591	0.02177458	0.01388660	0.03361681	-0.03037095	0.06042596	0.03952422	0.01868916	0.02287756	0.07902766	-0.00465621	0.10855166	0.00929914	0.00125492	-0.00043515	0.03626844	-0.00165204	0.08606528	0.01767590	0.00677708	-0.00262593	0.01256631	-0.01209130	0.05649988	-0.00766887	0.01290203	0.00697103
0.083333	0.07648671	-0.04142164	0.08463532	0.02521249	0.00852952	0.01484281	0.05038967	-0.03077773	0.07237284	0.03587065	0.02788320	0.01313412	0.03477146	-0.03006673	0.06104410	0.03768696	0.01621014	0.02159738	0.07923960	-0.00461311	0.10852069	0.00784404	0.00187897	-0.00135642	0.03662547	-0.00145408	0.08594643	0.01498543	0.00654010	-0.00377265	0.01247190	-0.01185243	0.05664410	-0.00466594	0.01296719	0.00775510
0.100000	0.07688478	-0.04123423	0.08482629	0.02026361	0.00940798	0.01277929	0.05075166	-0.03036969	0.07257561	0.03646735	0.03016198	0.01196009	0.03542698	-0.02990013	0.06148393	0.02682579	0.01555241	0.01514055	0.07937093	-0.00463039	0.10852211	0.00518894	0.00234163	-0.00224327	0.03690232	-0.00129865	0.08583740	0.01144246	0.00571594	-0.00435265	0.01239006	-0.01160548	0.05679998	-0.00140715	0.01308541	0.00795982
0.116666	0.07714728	-0.04102132	0.08500627	0.01582398	0.00840198	0.01066354	0.05132098	-0.02977741	0.07272283	0.03145974	0.02769743	0.01040381	0.03580225	-0.02961114	0.06162886	0.01035819	0.01691628	0.00571790	0.07940677	-0.00454469	0.10847003	0.00177950	0.00300216	-0.00273423	0.03699328	-0.00115789	0.08572613	0.00756578	0.00423947	-0.00412809	0.01230215	-0.01142123	0.05697591	0.00239514	0.01293944	0.00664555
