Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.06492638	-0.04609594	0.09916212	0.00610369	0.00110455	-0.00504596	0.04267749	-0.03015182	0.08186812	0.00027375	-0.00023780	-0.00300278	0.02982420	-0.02599395	0.06638795	0.00271473	-0.00241036	0.00063956	0.05296427	-0.01381105	0.12143510	0.00172375	-0.00035887	-0.00272178	0.01492569	0.00872571	0.09028385	0.00103210	-0.00251000	-0.00076443	0.01478222	-0.00592069	0.05940108	0.00045320	-0.00099981	0.00216548
0.016667	0.06504732	-0.04607946	0.09907305	0.00446992	0.00078578	-0.00345269	0.04268344	-0.03014968	0.08180043	0.00147243	-0.00144851	-0.00187465	0.02986366	-0.02602191	0.06639278	0.00373544	-0.00237309	-0.00018776	0.05298711	-0.01382135	0.12137787	0.00238382	-0.00040337	-0.00152372	0.01495163	0.00870431	0.09026365	0.00227980	-0.00244143	-0.00024788	0.01477868	-0.00594645	0.05944180	0.00228520	-0.00140464	0.00192662
0.033333	0.06511308	-0.04606269	0.09901107	0.00283615	0.00046700	-0.00185941	0.04270057	-0.03016872	0.08177786	0.00267110	-0.00265923	-0.00074651	0.02993059	-0.02607852	0.06639987	0.00475614	-0.00233583	-0.00101507	0.05302911	-0.01382538	0.12135509	0.00304389	-0.00044786	-0.00032567	0.01497448	0.00864712	0.09026270	0.00352751	-0.00237287	0.00026867	0.01481345	-0.00596050	0.05947544	0.00411719	-0.00180948	0.00168775
0.050000	0.06513117	-0.04605658	0.09898991	0.00308522	0.00026338	-0.00147410	0.04274663	-0.03023091	0.08179346	0.00333152	-0.00243180	-0.00125371	0.03001266	-0.02612057	0.06638133	0.00528536	-0.00201866	-0.00178625	0.05309055	-0.01382751	0.12136987	0.00302165	-0.00093394	-0.00033625	0.01502647	0.00857478	0.09027214	0.00424788	-0.00135364	0.00010651	0.01490262	-0.00597763	0.05948595	0.00395794	-0.00233442	0.00206035
0.066666	0.06515893	-0.04605406	0.09899900	0.00280463	-0.00004265	-0.00054706	0.04282472	-0.03029938	0.08178827	0.00434141	-0.00246447	-0.00090760	0.03011246	-0.02615032	0.06634653	0.00553466	-0.00185981	-0.00252538	0.05314761	-0.01383719	0.12138361	0.00310631	-0.00162049	0.00028473	0.01513016	0.00856972	0.09029561	0.00475835	-0.00117359	0.00041086	0.01501498	-0.00603228	0.05952223	0.00449588	-0.00242687	0.00199309
0.083333	0.06520557	-0.04606406	0.09900322	0.00336335	-0.00043990	0.00008211	0.04291504	-0.03034841	0.08176056	0.00490213	-0.00230814	-0.00064656	0.03022605	-0.02616984	0.06627963	0.00523184	-0.00178468	-0.00239209	0.05320614	-0.01386951	0.12138198	0.00277183	-0.00258311	0.00049979	0.01524625	0.00858822	0.09028798	0.00474920	-0.00131856	0.00092052	0.01509331	-0.00609880	0.05956487	0.00467352	-0.00241356	0.00201589
0.100000	0.06527831	-0.04606974	0.09899379	0.00389820	-0.00129629	0.00061300	0.04300569	-0.03035963	0.08171287	0.00467997	-0.00218075	-0.00015646	0.03033386	-0.02618552	0.06620695	0.00495821	-0.00214835	-0.00136816	0.05324824	-0.01392488	0.12138417	0.00264474	-0.00382124	0.00064761	0.01533151	0.00859950	0.09028604	0.00423530	-0.00227197	0.00151214	0.01513586	-0.00614814	0.05961386	0.00474704	-0.00239049	0.00211424
0.116666	0.06536660	-0.04608300	0.09899358	0.00415267	-0.00225321	0.00125014	0.04309067	-0.03036585	0.08171488	0.00394890	-0.00231006	0.00067629	0.03037006	-0.02622837	0.06618632	0.00461677	-0.00294841	0.00021860	0.05327735	-0.01399916	0.12138874	0.00275933	-0.00471353	0.00103068	0.01537419	0.00854487	0.09031454	0.00324560	-0.00413358	0.00234713	0.01519870	-0.00615984	0.05963681	0.00459655	-0.00233062	0.00238921
