Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11808474	0.04366774	0.06305268	0.00161987	-0.00377297	0.00214078	0.09027763	0.03869833	0.05308070	-0.00394752	0.00998274	0.00075687	0.06449299	0.03807942	0.04118161	-0.00534551	0.00774757	0.00203431	0.10234936	0.08060338	0.10045180	-0.00472320	-0.00139878	0.00222971	0.06428786	0.07308114	0.08187074	-0.00440495	0.00391112	-0.00167423	0.04975977	0.06164991	0.04716399	-0.00257106	-0.00016755	0.00700642
0.033333	0.11810915	0.04360933	0.06309603	0.00180737	-0.00481380	0.00239589	0.09019490	0.03881652	0.05309945	-0.00267283	0.00992891	0.00061959	0.06441253	0.03816431	0.04119036	-0.00447484	0.00843603	0.00245311	0.10226449	0.08056968	0.10049027	-0.00321308	-0.00030600	0.00179530	0.06419960	0.07310466	0.08185536	-0.00208051	0.00423768	-0.00185408	0.04969812	0.06162969	0.04725667	-0.00132546	0.00242372	0.00516685
0.050000	0.11814318	0.04353189	0.06312069	0.00199486	-0.00585463	0.00265100	0.09016227	0.03903272	0.05309680	-0.00139814	0.00987508	0.00048232	0.06432377	0.03836230	0.04125792	-0.00360416	0.00912448	0.00287191	0.10220597	0.08056926	0.10052072	-0.00170295	0.00078678	0.00136089	0.06416751	0.07321824	0.08180466	0.00024393	0.00456424	-0.00203394	0.04969834	0.06166792	0.04739305	-0.00007987	0.00501499	0.00332727
0.066666	0.11818256	0.04343020	0.06316969	0.00240450	-0.00626282	0.00241441	0.09015346	0.03923539	0.05311745	-0.00121110	0.00800827	0.00024343	0.06425626	0.03852133	0.04132890	-0.00299645	0.00845221	0.00258383	0.10219454	0.08060086	0.10054361	-0.00126724	0.00048407	0.00103038	0.06419185	0.07331417	0.08177340	0.00075456	0.00234728	-0.00220121	0.04968580	0.06179142	0.04742571	-0.00021201	0.00489500	0.00243801
0.083333	0.11820532	0.04329728	0.06322361	0.00345429	-0.00768385	0.00157148	0.09015443	0.03936350	0.05311238	-0.00050970	0.00660577	0.00036143	0.06423358	0.03867574	0.04135808	-0.00208721	0.00786416	0.00299159	0.10219690	0.08062276	0.10055182	-0.00004664	0.00020627	0.00065536	0.06424571	0.07339380	0.08174054	0.00206918	-0.00045590	-0.00258193	0.04973591	0.06191460	0.04744164	-0.00048252	0.00524640	0.00108531
0.100000	0.11826048	0.04318096	0.06326868	0.00466565	-0.00970964	0.00038318	0.09013811	0.03940626	0.05311479	-0.00036985	0.00434039	0.00059232	0.06421752	0.03877861	0.04137993	-0.00044361	0.00726565	0.00273523	0.10219982	0.08064263	0.10056050	0.00064351	-0.00103940	0.00035733	0.06429105	0.07334752	0.08170485	0.00241981	-0.00423418	-0.00243195	0.04973247	0.06202129	0.04741286	-0.00140014	0.00363212	0.00061302
0.116666	0.11834903	0.04303065	0.06326715	0.00610622	-0.01156284	-0.00095245	0.09013924	0.03944633	0.05311384	-0.00008065	0.00277658	0.00123563	0.06419658	0.03887245	0.04143418	0.00173487	0.00804789	0.00311653	0.10221524	0.08060525	0.10055280	0.00097320	-0.00224390	-0.00000793	0.06433171	0.07320756	0.08165129	0.00209537	-0.00765986	-0.00218772	0.04968138	0.06207166	0.04740940	-0.00300161	0.00196901	0.00095446
