Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11653462	0.04638518	0.07139973	-0.00095506	0.00029786	-0.00287791	0.09083986	0.04397034	0.05733572	-0.00408331	0.00035428	0.00594577	0.06516780	0.04104900	0.04373625	-0.00618140	-0.00611352	0.00233962	0.09280813	0.08833264	0.10117108	-0.00224804	0.00022836	0.00093148	0.05819510	0.07928792	0.07932061	-0.00475617	0.00557980	0.00120253	0.04348268	0.06228672	0.04895375	-0.00058798	0.00370053	-0.00154349
0.016667	0.11652961	0.04638819	0.07135152	-0.00154719	0.00091654	-0.00241020	0.09076113	0.04396152	0.05747405	-0.00436889	0.00054896	0.00287903	0.06506842	0.04091413	0.04377553	-0.00497842	-0.00540188	0.00238427	0.09276702	0.08833856	0.10117734	-0.00193902	-0.00006750	0.00109680	0.05811580	0.07941397	0.07933784	-0.00433279	0.00315787	0.00069626	0.04346945	0.06234933	0.04892491	-0.00019044	0.00232984	-0.00085149
0.033333	0.11649518	0.04639641	0.07130875	-0.00213933	0.00153522	-0.00194249	0.09069742	0.04397445	0.05750293	-0.00465447	0.00074365	-0.00018772	0.06497565	0.04084603	0.04381807	-0.00377545	-0.00469023	0.00242892	0.09274074	0.08833502	0.10120825	-0.00163001	-0.00036337	0.00126213	0.05804446	0.07945311	0.07935370	-0.00390941	0.00073593	0.00018999	0.04346749	0.06238872	0.04891144	0.00020711	0.00095915	-0.00015950
0.050000	0.11645380	0.04642403	0.07127284	-0.00215662	0.00120633	-0.00168265	0.09063531	0.04401543	0.05744904	-0.00535505	-0.00043547	0.00011759	0.06492040	0.04080113	0.04386331	-0.00305851	-0.00627785	0.00253770	0.09271099	0.08832492	0.10123190	-0.00136450	-0.00012856	0.00113581	0.05798300	0.07941624	0.07935958	-0.00343274	0.00102457	0.00003975	0.04348280	0.06240937	0.04891221	0.00017002	-0.00012374	0.00007132
0.066666	0.11640202	0.04648486	0.07126412	-0.00257288	0.00099132	-0.00118867	0.09053747	0.04402146	0.05739671	-0.00550775	-0.00124079	-0.00117505	0.06487700	0.04073440	0.04388548	-0.00189111	-0.00692205	0.00262349	0.09269057	0.08832079	0.10124958	-0.00110314	0.00032403	0.00100814	0.05791498	0.07939468	0.07934736	-0.00268680	-0.00024170	0.00007954	0.04347927	0.06238775	0.04892452	0.00050416	-0.00131593	0.00043675
0.083333	0.11637294	0.04649226	0.07124188	-0.00286670	0.00079861	-0.00068810	0.09041651	0.04396695	0.05740126	-0.00518771	-0.00191725	-0.00147094	0.06487320	0.04055842	0.04394668	-0.00113324	-0.00755855	0.00233843	0.09267782	0.08830903	0.10126479	-0.00111726	0.00093665	0.00065632	0.05788423	0.07942332	0.07932817	-0.00218294	-0.00033364	0.00031766	0.04349328	0.06233875	0.04894092	0.00063569	-0.00166212	0.00034811
0.100000	0.11632520	0.04648200	0.07123329	-0.00302417	0.00026299	-0.00042532	0.09030408	0.04389718	0.05740563	-0.00436531	-0.00221795	-0.00146503	0.06486041	0.04037270	0.04398667	-0.00082482	-0.00782635	0.00196376	0.09266896	0.08834725	0.10127157	-0.00107989	0.00150350	0.00047226	0.05785978	0.07942659	0.07934251	-0.00176864	0.00016924	0.00066158	0.04349343	0.06227767	0.04894990	0.00071798	-0.00123520	-0.00010213
0.116666	0.11627297	0.04646740	0.07122884	-0.00309033	-0.00021881	-0.00050698	0.09024951	0.04383653	0.05739452	-0.00329991	-0.00204203	-0.00164327	0.06485942	0.04023713	0.04403584	-0.00075046	-0.00718878	0.00140094	0.09264912	0.08838440	0.10127766	-0.00108235	0.00193932	0.00045806	0.05784787	0.07942370	0.07936756	-0.00168209	0.00046585	0.00121061	0.04352395	0.06226120	0.04894873	0.00089778	-0.00061468	-0.00045009
