Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.08478881	0.03350756	0.08260463	-0.01209655	-0.00290360	-0.00210495	0.06381281	0.04478960	0.06430784	-0.02396685	-0.01234514	0.00444034	0.04939910	0.04797468	0.05348235	-0.04078978	-0.01592840	0.01170597	0.06835888	0.06787963	0.10490981	-0.02018158	0.00146956	0.00325905	0.04189688	0.07722568	0.08365989	-0.02178583	-0.00470554	0.00530942	0.03591670	0.07265247	0.06064760	-0.01117959	0.00235789	0.00394202
0.016667	0.08459610	0.03345422	0.08258380	-0.01427321	-0.00147813	-0.00300967	0.06339380	0.04456997	0.06440449	-0.02463127	-0.01534509	0.00293077	0.04870916	0.04767123	0.05369348	-0.04015596	-0.01864444	0.00690560	0.06799439	0.06787992	0.10498939	-0.02064661	0.00165716	0.00200116	0.04150013	0.07713050	0.08377749	-0.02007954	-0.00244082	0.00182346	0.03576476	0.07263930	0.06069972	-0.01090881	0.00286036	0.00269015
0.033333	0.08434224	0.03342475	0.08252522	-0.01644987	-0.00005266	-0.00391440	0.06298873	0.04431154	0.06444879	-0.02529570	-0.01834504	0.00142120	0.04801539	0.04737275	0.05382785	-0.03952213	-0.02136049	0.00210523	0.06766511	0.06791526	0.10501831	-0.02111164	0.00184477	0.00074327	0.04117842	0.07709769	0.08380245	-0.01837326	-0.00017610	-0.00166249	0.03554688	0.07272463	0.06077139	-0.01063804	0.00336283	0.00143828
0.050000	0.08408794	0.03344935	0.08243980	-0.01894199	-0.00003856	-0.00301604	0.06260751	0.04404568	0.06443308	-0.02795488	-0.02237582	0.00279618	0.04740658	0.04709309	0.05381899	-0.04240156	-0.02722991	0.00195048	0.06736717	0.06799518	0.10498341	-0.02402140	-0.00035677	0.00273531	0.04092630	0.07715741	0.08371595	-0.02022084	0.00001997	-0.00107386	0.03534272	0.07283835	0.06080373	-0.00908594	0.00065036	0.00102880
0.066666	0.08375012	0.03345556	0.08236806	-0.02247026	0.00011437	-0.00201219	0.06215600	0.04367373	0.06443345	-0.03133796	-0.02748519	0.00384839	0.04677266	0.04665425	0.05374001	-0.04526648	-0.03265651	0.00046978	0.06696777	0.06800433	0.10498171	-0.02685304	-0.00259013	0.00458980	0.04063608	0.07711032	0.08364758	-0.02132294	0.00082318	-0.00141655	0.03519432	0.07288430	0.06076388	-0.00820137	-0.00137706	0.00088176
0.083333	0.08335136	0.03348817	0.08232523	-0.02529627	-0.00130065	-0.00099358	0.06158597	0.04310226	0.06451258	-0.03539668	-0.03227117	0.00544211	0.04597441	0.04594867	0.05370495	-0.04798888	-0.03525925	-0.00047989	0.06646600	0.06791981	0.10508210	-0.03007499	-0.00579564	0.00687922	0.04024900	0.07718775	0.08359709	-0.02343528	-0.00192967	0.00061665	0.03511729	0.07276795	0.06075078	-0.00802008	-0.00465954	0.00093600
0.100000	0.08285587	0.03346193	0.08236717	-0.02678144	-0.00323986	-0.00123580	0.06093924	0.04250373	0.06466771	-0.03842721	-0.03530842	0.00626827	0.04505864	0.04516946	0.05378105	-0.04984682	-0.03344002	-0.00222399	0.06587823	0.06777065	0.10527955	-0.03211590	-0.00872768	0.00834223	0.03978165	0.07716897	0.08365893	-0.02542411	-0.00633183	0.00358356	0.03503659	0.07263517	0.06077655	-0.00896592	-0.00737599	0.00126252
0.116666	0.08235380	0.03340102	0.08240370	-0.02681356	-0.00471024	-0.00306734	0.06020680	0.04180685	0.06483598	-0.03920684	-0.03448208	0.00535498	0.04412676	0.04450658	0.05382524	-0.04926625	-0.02667881	-0.00545636	0.06530066	0.06757226	0.10550040	-0.03223693	-0.01041014	0.00838697	0.03932270	0.07711652	0.08373684	-0.02695659	-0.01035404	0.00512975	0.03488830	0.07247534	0.06084749	-0.01056232	-0.00811699	0.00131701
