Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.08038932	0.04090389	0.08168402	-0.03679033	-0.00080249	0.00356687	0.05572855	0.04184669	0.06647401	-0.03323510	-0.01250713	-0.00711392	0.03698384	0.04530562	0.05859270	-0.03520723	-0.00333586	-0.01638158	0.06467002	0.07447132	0.10431065	-0.02230009	-0.00066363	-0.00147083	0.03496419	0.08115021	0.08585528	-0.03397441	0.01509490	-0.00477282	0.02698488	0.07499596	0.06078224	-0.02274670	0.00380186	-0.01269334
0.016667	0.07971774	0.04084897	0.08177821	-0.03349913	-0.00184011	0.00019178	0.05511257	0.04161145	0.06640393	-0.03138253	-0.00682133	-0.00772747	0.03636282	0.04519061	0.05832646	-0.02984081	0.00088346	-0.01915664	0.06428188	0.07447593	0.10430740	-0.02218710	-0.00073336	-0.00271619	0.03434158	0.08139010	0.08580722	-0.03118036	0.01143140	-0.00548179	0.02655431	0.07502633	0.06055989	-0.02307581	0.00671069	-0.01258330
0.033333	0.07920308	0.04089027	0.08175527	-0.03020794	-0.00287774	-0.00318331	0.05464350	0.04149363	0.06626639	-0.02952995	-0.00113553	-0.00834103	0.03590275	0.04524139	0.05801852	-0.02447440	0.00510277	-0.02193169	0.06393003	0.07443921	0.10425351	-0.02207411	-0.00080310	-0.00396156	0.03387418	0.08160315	0.08569673	-0.02838630	0.00776789	-0.00619075	0.02622499	0.07513103	0.06037579	-0.02340492	0.00961952	-0.01247325
0.050000	0.07874813	0.04079670	0.08170307	-0.03158403	-0.00300006	-0.00340970	0.05420520	0.04154770	0.06604846	-0.03162739	-0.00011234	-0.00387555	0.03542587	0.04535484	0.05769656	-0.02168431	0.00416083	-0.02247014	0.06353704	0.07440664	0.10418366	-0.02400598	-0.00120320	-0.00268703	0.03342621	0.08173838	0.08555121	-0.02950618	0.00440163	-0.00379493	0.02583130	0.07535168	0.06018314	-0.02538425	0.00738549	-0.01042262
0.066666	0.07830517	0.04077295	0.08153152	-0.03179697	-0.00367909	-0.00369647	0.05372252	0.04159712	0.06588937	-0.03377251	0.00196085	-0.00015680	0.03527047	0.04558289	0.05713650	-0.02070776	0.00356666	-0.02190237	0.06323328	0.07444125	0.10404534	-0.02669738	-0.00210539	-0.00131421	0.03301809	0.08177444	0.08545231	-0.02956415	-0.00079070	-0.00112229	0.02548297	0.07559326	0.05991292	-0.02816678	0.00534313	-0.00628479
0.083333	0.07774570	0.04063430	0.08146446	-0.03243306	-0.00512967	-0.00190900	0.05311820	0.04171635	0.06601426	-0.03730217	-0.00030864	0.00326471	0.03498090	0.04560099	0.05678010	-0.02276748	0.00084706	-0.02065819	0.06276397	0.07440583	0.10405596	-0.02762064	-0.00211605	-0.00018150	0.03249539	0.08169612	0.08545927	-0.03008864	-0.00495343	0.00172921	0.02490900	0.07564738	0.05979922	-0.03071002	0.00125364	-0.00223259
0.100000	0.07710885	0.04060673	0.08144254	-0.03263270	-0.00699832	0.00066474	0.05243734	0.04172045	0.06621405	-0.03817717	-0.00477379	0.00566868	0.03469717	0.04557606	0.05642611	-0.02565088	-0.00314690	-0.01836063	0.06217028	0.07433132	0.10412245	-0.02756783	-0.00291133	0.00083734	0.03190416	0.08154263	0.08558491	-0.02955567	-0.00784586	0.00301664	0.02437905	0.07559007	0.05985529	-0.03173753	-0.00410093	0.00081336
0.116666	0.07650650	0.04050003	0.08152250	-0.03194453	-0.00977602	0.00326050	0.05166699	0.04161306	0.06641971	-0.03626987	-0.00989123	0.00564074	0.03404345	0.04540033	0.05628989	-0.02949160	-0.00747255	-0.01533201	0.06163000	0.07424778	0.10421491	-0.02769990	-0.00558650	0.00161201	0.03137915	0.08133998	0.08573274	-0.02784713	-0.00986561	0.00250985	0.02371278	0.07540920	0.06003406	-0.03166768	-0.00932958	0.00230215
