Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10688880	0.05654924	0.06947001	0.03464276	-0.03310435	0.01240270	0.08867222	0.06843430	0.05826177	0.01475761	-0.01735922	0.03388163	0.07721531	0.06748892	0.04550877	0.00348685	-0.00900402	0.05188216	0.09358674	0.08876755	0.10768312	0.01277336	-0.03526195	0.01764044	0.05744800	0.10289497	0.07215448	-0.00490366	0.00416269	0.04323087	0.05842108	0.08783267	0.04099257	0.00637111	-0.00024118	0.04817017
0.033333	0.10709499	0.05584045	0.06986009	0.04041725	-0.02147363	0.00708844	0.08896101	0.06811530	0.05885700	0.00843513	-0.01441827	0.03077154	0.07736871	0.06729744	0.04636526	0.00025950	-0.00515791	0.04532650	0.09379452	0.08817771	0.10799835	0.00788059	-0.02965552	0.01696415	0.05752011	0.10304199	0.07281185	-0.00797390	0.00354746	0.03801085	0.05859778	0.08783244	0.04176687	0.00357875	-0.00044614	0.04033142
0.050000	0.10813499	0.05561066	0.06978910	0.04619174	-0.00984291	0.00177418	0.08909689	0.06791296	0.05933917	0.00211266	-0.01147733	0.02766145	0.07727011	0.06725331	0.04716833	-0.00296784	-0.00131179	0.03877084	0.09397309	0.08768616	0.10823886	0.00298781	-0.02404908	0.01628785	0.05722663	0.10304750	0.07352024	-0.01104415	0.00293222	0.03279084	0.05858174	0.08784980	0.04251043	0.00078639	-0.00065111	0.03249267
0.066666	0.10910264	0.05550754	0.06972612	0.03413795	-0.00794770	0.00381501	0.08907007	0.06769826	0.05978894	0.00103210	-0.00847563	0.02497130	0.07718977	0.06723948	0.04777558	-0.00192099	0.00061520	0.03440925	0.09400056	0.08723369	0.10853498	0.00087988	-0.01868781	0.01454110	0.05695808	0.10299906	0.07413963	-0.00865156	0.00700965	0.02596698	0.05856625	0.08776966	0.04305936	0.00026945	0.00146766	0.02691973
0.083333	0.10995878	0.05565939	0.06968614	0.02674840	-0.00102276	0.00104983	0.08896671	0.06760760	0.06019057	-0.00242946	-0.00347437	0.01878761	0.07707594	0.06730582	0.04828030	-0.00192487	0.00454416	0.02496510	0.09389219	0.08703008	0.10878766	-0.00338623	-0.01104732	0.01151339	0.05675818	0.10308255	0.07448132	-0.00926916	0.00882085	0.01697886	0.05853498	0.08780440	0.04335548	-0.00206533	0.00243434	0.01806650
0.100000	0.10990500	0.05554749	0.06991011	0.01318449	0.00049014	0.00143335	0.08891317	0.06752995	0.06053049	-0.00323658	-0.00001624	0.01219706	0.07711287	0.06738213	0.04864239	0.00030026	0.00654190	0.01552290	0.09381491	0.08691677	0.10899591	-0.00720973	-0.00523364	0.00845011	0.05679603	0.10338467	0.07461654	-0.00719343	0.01018595	0.00760637	0.05856189	0.08787253	0.04354605	-0.00258229	0.00276541	0.01040591
0.116666	0.10980477	0.05558363	0.06998081	0.00085704	-0.00135892	0.00205365	0.08886307	0.06764533	0.06067486	-0.00164990	0.00176915	0.00520675	0.07714637	0.06753865	0.04886334	0.00373369	0.00671132	0.00682364	0.09367589	0.08695634	0.10907846	-0.00946004	-0.00177634	0.00511697	0.05668755	0.10368247	0.07462650	-0.00479972	0.00981167	0.00041004	0.05847409	0.08801642	0.04363956	-0.00254280	0.00192513	0.00490826
