Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11137755	0.05473279	0.06615562	0.00490872	-0.00023622	-0.00122454	0.09235649	0.07026815	0.05507648	0.00129562	-0.00469567	-0.00484105	0.07455305	0.07011668	0.04848609	0.00310609	-0.00360498	-0.00493484	0.09722362	0.08760224	0.10348591	0.00097029	-0.00289590	-0.00003882	0.05756976	0.10497087	0.07196733	0.00084730	-0.00784013	-0.00506876	0.05964635	0.09151299	0.04104762	0.00692951	-0.00122455	-0.00368587
0.033333	0.11145228	0.05471661	0.06613067	0.00441694	-0.00074376	-0.00001766	0.09240260	0.07020200	0.05496824	-0.00069291	-0.00625695	-0.00249513	0.07460069	0.07007573	0.04840539	0.00205056	-0.00469008	-0.00387659	0.09725288	0.08756551	0.10347722	0.00009477	-0.00347817	0.00084803	0.05759390	0.10486027	0.07187484	0.00041228	-0.00806275	-0.00336954	0.05975315	0.09155063	0.04094867	0.00557633	-0.00188448	-0.00243322
0.050000	0.11153470	0.05472519	0.06612115	0.00392517	-0.00125129	0.00118923	0.09238777	0.07009611	0.05494085	-0.00268144	-0.00781822	-0.00014922	0.07464506	0.06997634	0.04832723	0.00099503	-0.00577519	-0.00281834	0.09724410	0.08750081	0.10349087	-0.00078075	-0.00406043	0.00173487	0.05758797	0.10470572	0.07181605	-0.00002274	-0.00828538	-0.00167031	0.05986257	0.09145013	0.04093768	0.00422315	-0.00254442	-0.00118057
0.066666	0.11160691	0.05469599	0.06616436	0.00358404	-0.00122570	0.00063855	0.09229244	0.06995312	0.05497024	-0.00228134	-0.00755671	-0.00072200	0.07465697	0.06987316	0.04828753	0.00038710	-0.00597029	-0.00292135	0.09721987	0.08741945	0.10353585	-0.00060357	-0.00394670	0.00138965	0.05758766	0.10455544	0.07180365	0.00010371	-0.00773083	-0.00168216	0.05994527	0.09139735	0.04095051	0.00321054	-0.00163586	-0.00225942
0.083333	0.11165252	0.05466941	0.06620339	0.00326489	-0.00099795	0.00018321	0.09222764	0.06977855	0.05501074	-0.00271973	-0.00748406	-0.00113458	0.07465124	0.06975983	0.04827814	0.00021707	-0.00679529	-0.00370048	0.09719343	0.08734349	0.10358105	-0.00070446	-0.00443684	0.00119415	0.05757824	0.10441831	0.07181320	0.00045099	-0.00756881	-0.00174884	0.05995381	0.09133974	0.04094807	0.00208863	-0.00224174	-0.00271226
0.100000	0.11168519	0.05462034	0.06622057	0.00265558	-0.00085758	-0.00089322	0.09220270	0.06964915	0.05499912	-0.00216336	-0.00699419	-0.00317036	0.07462070	0.06965072	0.04823634	0.00046298	-0.00785812	-0.00571883	0.09718232	0.08728810	0.10360168	-0.00036910	-0.00480754	0.00051465	0.05758047	0.10432286	0.07180749	0.00123706	-0.00760093	-0.00287653	0.05996627	0.09139000	0.04086027	0.00130702	-0.00313153	-0.00410083
0.116666	0.11174194	0.05463012	0.06616776	0.00170220	-0.00117811	-0.00198484	0.09216716	0.06956348	0.05491645	-0.00188281	-0.00651556	-0.00530133	0.07460915	0.06953462	0.04814706	0.00039477	-0.00935145	-0.00827211	0.09719160	0.08721107	0.10359166	-0.00012916	-0.00518928	-0.00013951	0.05760785	0.10421280	0.07174560	0.00180696	-0.00808481	-0.00418449	0.05996806	0.09137156	0.04076425	0.00112625	-0.00469388	-0.00520764
