Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.09210157	0.04029761	0.05955651	-0.00606543	0.00711764	0.01167161	0.06967241	0.03671443	0.04876484	-0.01389472	0.05281362	0.01378344	0.05426048	0.03294906	0.04139218	-0.01215483	0.08232924	0.00791238	0.08570342	0.06062736	0.09583411	0.00493666	-0.02486244	-0.00214369	0.04846007	0.06544545	0.07337407	0.02920285	-0.00651020	-0.01380222	0.03706909	0.05142026	0.04888735	-0.04429326	-0.00998205	-0.00648203
0.033333	0.09198475	0.04040515	0.05978652	-0.00287154	0.00403652	0.00875778	0.06934623	0.03760919	0.04904520	-0.00729743	0.04254716	0.00989013	0.05406245	0.03435444	0.04153161	-0.01080622	0.06741200	0.00653646	0.08581888	0.06021189	0.09577830	0.00337401	-0.02291878	-0.00197031	0.04899052	0.06540299	0.07314201	0.02555474	-0.00989516	-0.01405371	0.03630878	0.05121032	0.04877799	-0.03554288	-0.00889547	-0.00305605
0.050000	0.09195420	0.04053606	0.05991918	0.00032235	0.00095539	0.00584396	0.06931982	0.03838481	0.04918531	-0.00070013	0.03228070	0.00599681	0.05386400	0.03557681	0.04160811	-0.00945760	0.05249476	0.00516053	0.08585653	0.05982518	0.09577540	0.00181136	-0.02097513	-0.00179694	0.04939786	0.06520564	0.07292014	0.02190662	-0.01328012	-0.01430521	0.03570546	0.05114092	0.04869641	-0.02679249	-0.00780889	0.00036992
0.066666	0.09197331	0.04048935	0.05998255	0.00328695	0.00152121	0.00633412	0.06938376	0.03882145	0.04920274	0.00162028	0.03007990	0.00561681	0.05371672	0.03628445	0.04168158	-0.00822743	0.05081035	0.00281003	0.08583967	0.05949078	0.09574579	0.00341402	-0.01970670	-0.00179318	0.04968415	0.06489643	0.07267671	0.02112073	-0.01066596	-0.01279780	0.03532262	0.05100476	0.04872948	-0.02183519	-0.00572198	0.00097875
0.083333	0.09201540	0.04043265	0.05999739	0.00692937	0.00072828	0.00477679	0.06942357	0.03913345	0.04927447	0.00701777	0.02412282	0.00191402	0.05359774	0.03681583	0.04183681	-0.00585996	0.04300675	0.00059340	0.08586090	0.05916177	0.09570859	0.00416478	-0.01689858	-0.00214749	0.05002686	0.06462757	0.07241514	0.01670432	-0.00912160	-0.01056269	0.03501571	0.05084247	0.04883618	-0.01344016	-0.00183032	0.00208110
0.100000	0.09218969	0.04043471	0.06012490	0.00811245	0.00119329	0.00241098	0.06955700	0.03944038	0.04934945	0.00839304	0.02129753	-0.00159370	0.05349478	0.03744999	0.04173481	-0.00390740	0.03948557	-0.00146825	0.08595534	0.05891168	0.09566675	0.00493871	-0.01421686	-0.00472536	0.05035043	0.06453620	0.07222751	0.01367193	-0.00397654	-0.00969663	0.03491525	0.05081221	0.04889848	-0.00850033	0.00289922	0.00034059
0.116666	0.09245162	0.04050567	0.06023612	0.00905096	0.00218454	-0.00135720	0.06977520	0.03984663	0.04933488	0.00937860	0.02052213	-0.00592528	0.05347964	0.03823829	0.04165724	-0.00283986	0.03852405	-0.00565501	0.08612614	0.05867381	0.09563193	0.00529727	-0.01227613	-0.00886507	0.05055370	0.06453758	0.07217184	0.01078806	0.00178923	-0.00981923	0.03487701	0.05090864	0.04892444	-0.00542166	0.00844365	-0.00369552
