Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.09049509	0.03269885	0.05947528	-0.00020895	0.01759618	-0.00906253	0.06840575	0.03893679	0.04563433	-0.00082366	0.00473533	-0.01398824	0.05288617	0.03926821	0.03667020	0.01371834	0.00225224	-0.01210136	0.08059614	0.04514148	0.09533385	-0.00267369	0.01204272	-0.00420729	0.04070130	0.05296700	0.07692853	-0.00341674	-0.00155446	-0.01154200	0.03551095	0.05180134	0.04659218	-0.00175693	0.01296373	-0.01962616
0.016667	0.09049836	0.03302540	0.05930272	-0.00199132	0.01382438	-0.00869252	0.06836088	0.03905993	0.04537544	0.00022978	0.00162710	-0.01463106	0.05308713	0.03930038	0.03650013	0.01409439	0.00394364	-0.01605443	0.08057799	0.04538789	0.09525649	-0.00299023	0.01042992	-0.00331768	0.04061798	0.05295306	0.07674936	0.00103411	-0.00279029	-0.01335209	0.03544907	0.05200179	0.04629521	0.00205961	0.00617212	-0.01976528
0.033333	0.09047043	0.03323781	0.05918903	-0.00377370	0.01005259	-0.00832250	0.06839666	0.03906213	0.04515768	0.00128322	-0.00148113	-0.01527388	0.05334333	0.03929155	0.03624705	0.01447044	0.00563505	-0.02000749	0.08051126	0.04551433	0.09520790	-0.00330677	0.00881713	-0.00242808	0.04064772	0.05289459	0.07651028	0.00548495	-0.00402612	-0.01516218	0.03550343	0.05216417	0.04592058	0.00587615	-0.00061948	-0.01990440
0.050000	0.09038026	0.03337586	0.05904015	-0.00412745	0.00905627	-0.00788839	0.06844387	0.03896564	0.04491771	0.00064563	-0.00127471	-0.01619051	0.05366373	0.03961143	0.03576149	0.01160861	-0.00038807	-0.01846030	0.08041430	0.04563253	0.09516574	-0.00211899	0.00919409	-0.00237961	0.04077072	0.05282024	0.07624324	0.00615096	-0.00553089	-0.01572935	0.03562548	0.05214383	0.04556213	0.00592148	-0.00407880	-0.01930328
0.066666	0.09029942	0.03346040	0.05892044	-0.00496613	0.00637409	-0.00764755	0.06845988	0.03893065	0.04464798	0.00022080	-0.00334937	-0.01692732	0.05379955	0.03952676	0.03549643	0.00739693	-0.00302299	-0.02123983	0.08038266	0.04576949	0.09515230	-0.00182700	0.00790500	-0.00289333	0.04094115	0.05273504	0.07598592	0.00768974	-0.00861227	-0.01724418	0.03580910	0.05192427	0.04529663	0.00608990	-0.01093506	-0.01864986
0.083333	0.09019171	0.03356739	0.05877292	-0.00468379	0.00490705	-0.00810654	0.06845609	0.03889739	0.04429593	-0.00062082	-0.00401277	-0.01795936	0.05397322	0.03948839	0.03512768	0.00188566	-0.00568821	-0.02333633	0.08040125	0.04594253	0.09512373	-0.00110336	0.00702378	-0.00411095	0.04113671	0.05260744	0.07565496	0.00798540	-0.01112272	-0.01854576	0.03595154	0.05166993	0.04497068	0.00516681	-0.01720117	-0.01727374
0.100000	0.09011060	0.03364091	0.05868459	-0.00351855	0.00390812	-0.00816253	0.06841744	0.03885059	0.04401798	-0.00035964	-0.00455120	-0.01851633	0.05389441	0.03906740	0.03488957	-0.00169399	-0.00943881	-0.02523697	0.08040541	0.04608960	0.09505370	-0.00112642	0.00559504	-0.00535270	0.04121306	0.05235801	0.07538471	0.00866819	-0.01297729	-0.02046884	0.03598532	0.05139198	0.04470395	0.00523228	-0.02071206	-0.01754626
0.116666	0.09005627	0.03370833	0.05851823	-0.00209228	0.00265387	-0.00778147	0.06837123	0.03873860	0.04368972	0.00068650	-0.00586050	-0.01779979	0.05374290	0.03902529	0.03432267	-0.00138468	-0.00914188	-0.02798470	0.08038440	0.04613340	0.09491151	-0.00186507	0.00372972	-0.00636789	0.04130979	0.05206423	0.07500176	0.00970135	-0.01421820	-0.02223437	0.03596083	0.05096465	0.04441449	0.00633399	-0.02120876	-0.01923023
