Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10120479	0.04657815	0.06995946	0.00388564	-0.00326700	0.00064742	0.08078435	0.05130029	0.06006829	0.00278344	-0.00425232	-0.00383744	0.06977954	0.04977412	0.04645496	-0.00051540	-0.00075335	-0.00202094	0.07186081	0.06236054	0.10527174	-0.00004880	-0.00277759	0.00068609	0.04437122	0.07920014	0.08309344	0.00143651	-0.00258670	0.00054531	0.04502773	0.06333348	0.04806477	-0.00124850	-0.00164208	0.00086245
0.033333	0.10129540	0.04651774	0.06993486	-0.00024721	-0.00403428	0.00102707	0.08087280	0.05125076	0.05998253	-0.00175127	-0.00699813	-0.00160386	0.06978358	0.04977750	0.04643655	-0.00230514	-0.01520841	0.00282393	0.07187399	0.06231412	0.10527017	-0.00165113	-0.00219607	0.00001006	0.04439604	0.07917093	0.08309387	0.00143007	-0.00359641	-0.00117817	0.04500997	0.06330984	0.04807007	-0.00131552	-0.00455374	0.00105489
0.050000	0.10127536	0.04647106	0.06997883	-0.00438007	-0.00480156	0.00140671	0.08081866	0.05111569	0.05996676	-0.00628597	-0.00974395	0.00062973	0.06973860	0.04956054	0.04645438	-0.00409489	-0.02966347	0.00766880	0.07183670	0.06227912	0.10527968	-0.00325346	-0.00161455	-0.00066597	0.04439647	0.07911617	0.08309191	0.00142363	-0.00460612	-0.00290164	0.04498861	0.06326527	0.04808415	-0.00138254	-0.00746540	0.00124734
0.066666	0.10117657	0.04637564	0.07003976	-0.00601514	-0.00487613	-0.00028622	0.08066833	0.05095222	0.05998319	-0.00679883	-0.01032558	0.00092555	0.06967039	0.04903618	0.04656520	-0.00403477	-0.03498246	0.01035128	0.07177252	0.06224214	0.10529020	-0.00340754	-0.00116714	-0.00216533	0.04445613	0.07897069	0.08304127	-0.00024289	-0.00337989	-0.00392230	0.04497131	0.06310702	0.04811684	-0.00100872	-0.00711600	0.00002624
0.083333	0.10103066	0.04627579	0.07005557	-0.00870608	-0.00534717	-0.00109062	0.08048574	0.05071612	0.06007335	-0.00935186	-0.01153856	0.00227231	0.06954139	0.04818752	0.04683438	-0.00376409	-0.04225800	0.01286072	0.07168484	0.06224079	0.10524862	-0.00411944	-0.00108514	-0.00363500	0.04447459	0.07894334	0.08295036	-0.00225921	-0.00287512	-0.00534775	0.04492176	0.06289286	0.04816383	-0.00060221	-0.00803735	-0.00127696
0.100000	0.10083539	0.04618497	0.06997247	-0.00927478	-0.00509249	-0.00217804	0.08031352	0.05049631	0.06009016	-0.01004562	-0.01315674	0.00343250	0.06945996	0.04720399	0.04718404	-0.00225545	-0.04602175	0.01395844	0.07160491	0.06224030	0.10515250	-0.00429617	-0.00166696	-0.00476366	0.04441746	0.07888881	0.08281821	-0.00452781	-0.00182465	-0.00651556	0.04493117	0.06276080	0.04810773	-0.00037411	-0.00867407	-0.00283945
0.116666	0.10065244	0.04609374	0.06988709	-0.00876300	-0.00429608	-0.00281018	0.08018301	0.05032403	0.06013199	-0.00943948	-0.01730445	0.00514468	0.06944404	0.04650944	0.04741920	0.00042901	-0.04961905	0.01488772	0.07155535	0.06222964	0.10502825	-0.00444850	-0.00271321	-0.00507603	0.04429685	0.07891060	0.08270924	-0.00639925	-0.00163127	-0.00764790	0.04494015	0.06267858	0.04802522	0.00076922	-0.00966376	-0.00443503
