Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10244767	0.04628605	0.06525927	-0.00092145	-0.00236197	0.00180484	0.08230828	0.05118044	0.05474979	-0.00333489	-0.00850932	0.00456119	0.07340853	0.04930650	0.04027200	-0.00505420	-0.01270430	0.00408465	0.07467093	0.06388082	0.10432021	-0.00217856	-0.00575541	0.00017811	0.04892535	0.08105193	0.08088981	-0.00047961	-0.00092119	-0.00206356	0.04689299	0.06416392	0.04681591	0.00013117	-0.00265145	0.00088306
0.033333	0.10244198	0.04624173	0.06530279	-0.00115648	-0.00151769	0.00056550	0.08225219	0.05097236	0.05486982	-0.00243277	-0.00669247	0.00382149	0.07328218	0.04907549	0.04031608	-0.00244417	-0.01160004	0.00444634	0.07462902	0.06380787	0.10431961	-0.00132926	-0.00524553	-0.00043139	0.04893474	0.08103763	0.08086414	-0.00121896	-0.00230872	-0.00105925	0.04690480	0.06411582	0.04683150	0.00057556	-0.00181877	0.00086155
0.050000	0.10241104	0.04621775	0.06530775	-0.00139151	-0.00067340	-0.00067383	0.08220829	0.05092176	0.05488138	-0.00153065	-0.00487562	0.00308180	0.07328566	0.04889467	0.04042144	0.00016585	-0.01049579	0.00480803	0.07461002	0.06370944	0.10431596	-0.00047997	-0.00473564	-0.00104089	0.04889511	0.08101024	0.08082789	-0.00195830	-0.00369625	-0.00005495	0.04688499	0.06408438	0.04683894	0.00101995	-0.00098609	0.00084004
0.066666	0.10238679	0.04621217	0.06528012	-0.00090506	-0.00113739	0.00054598	0.08218917	0.05092554	0.05489211	-0.00116464	-0.00650561	0.00357510	0.07330529	0.04875570	0.04049353	0.00059102	-0.01133916	0.00488311	0.07460342	0.06357706	0.10431097	-0.00016470	-0.00219685	-0.00146833	0.04885641	0.08093789	0.08083250	-0.00182665	-0.00349083	0.00045262	0.04692634	0.06408257	0.04686067	0.00060842	-0.00047222	0.00057681
0.083333	0.10235811	0.04621963	0.06524067	-0.00033137	-0.00187606	0.00219018	0.08217802	0.05078667	0.05499279	-0.00067484	-0.00573485	0.00270588	0.07335364	0.04856680	0.04059803	0.00201077	-0.01156785	0.00484461	0.07461976	0.06355467	0.10426240	0.00023913	0.00006329	-0.00159093	0.04881199	0.08083718	0.08085821	-0.00175263	-0.00329678	0.00106499	0.04695175	0.06406975	0.04687611	0.00073014	0.00060436	0.00040164
0.100000	0.10235347	0.04621070	0.06525931	0.00030823	-0.00240603	0.00407485	0.08218734	0.05063849	0.05506840	-0.00055466	-0.00598941	0.00226286	0.07338414	0.04837929	0.04064813	0.00221384	-0.01261619	0.00394856	0.07462990	0.06360088	0.10421532	0.00027649	0.00273031	-0.00150074	0.04878594	0.08076130	0.08090083	-0.00092468	-0.00252434	0.00127588	0.04695670	0.06408445	0.04687174	0.00077790	0.00070978	0.00004977
0.116666	0.10238922	0.04611896	0.06540998	0.00067998	-0.00206855	0.00554027	0.08217928	0.05046989	0.05512194	-0.00032436	-0.00560489	0.00109634	0.07341722	0.04811860	0.04074815	0.00246693	-0.01361079	0.00279746	0.07464197	0.06372202	0.10418750	0.00012204	0.00491580	-0.00107699	0.04877289	0.08075239	0.08092815	0.00001170	-0.00096895	0.00088659	0.04695142	0.06412495	0.04687248	0.00068028	0.00004508	-0.00043150
