Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10223746	0.04224021	0.06920467	-0.01139619	-0.00412076	-0.01618645	0.08209643	0.04632583	0.05797374	0.00117436	-0.02912926	-0.04680978	0.07117553	0.04431596	0.04450485	0.01432875	-0.03261059	-0.05944628	0.07016688	0.05615243	0.10267156	-0.01553020	-0.02843088	-0.01500177	0.04191785	0.06781363	0.08173448	0.00508107	-0.06637171	-0.05470208	0.04513897	0.05584159	0.04652332	0.01281686	-0.04710849	-0.05029991
0.033333	0.10213666	0.04215837	0.06887483	-0.01131651	0.00067972	-0.01205658	0.08218095	0.04579809	0.05702661	-0.00329332	-0.01852218	-0.03329540	0.07150235	0.04371898	0.04338849	0.00724266	-0.02185350	-0.04265266	0.06996237	0.05560678	0.10235541	-0.01274166	-0.01704998	-0.01016069	0.04207770	0.06660783	0.08064336	0.00135474	-0.04543032	-0.03655262	0.04544784	0.05493791	0.04550638	0.00657244	-0.03137582	-0.03377261
0.050000	0.10185112	0.04218356	0.06871223	-0.01123682	0.00548020	-0.00792670	0.08207598	0.04547514	0.05660649	-0.00776100	-0.00791510	-0.01978102	0.07155155	0.04335646	0.04273092	0.00015657	-0.01109640	-0.02585904	0.06966773	0.05536909	0.10222423	-0.00995312	-0.00566908	-0.00531962	0.04203483	0.06584938	0.08016991	-0.00237158	-0.02448892	-0.01840316	0.04548344	0.05448562	0.04506920	0.00032803	-0.01564315	-0.01724531
0.066666	0.10159983	0.04224966	0.06865527	-0.00740885	0.00808956	-0.00804237	0.08190519	0.04543873	0.05641462	-0.00647749	-0.00493802	-0.01717852	0.07150103	0.04326186	0.04246750	-0.00006851	-0.00756615	-0.02136300	0.06952827	0.05534174	0.10221738	-0.00670205	0.00023166	-0.00603019	0.04195342	0.06562912	0.08001836	-0.00071256	-0.01536077	-0.01421997	0.04540262	0.05434940	0.04495679	0.00133860	-0.01025064	-0.01420375
0.083333	0.10147611	0.04248254	0.06856690	-0.00384165	0.01060931	-0.00561646	0.08167473	0.04550434	0.05629799	-0.00594555	0.00152097	-0.00862047	0.07135427	0.04328432	0.04232374	-0.00196171	-0.00005599	-0.01000818	0.06938555	0.05545047	0.10219577	-0.00225847	0.01009708	-0.00419596	0.04183121	0.06559651	0.08001419	-0.00004804	0.00313358	-0.00369487	0.04531739	0.05436417	0.04493215	-0.00013404	0.00093384	-0.00437736
0.100000	0.10151791	0.04276218	0.06843898	0.00104297	0.01134065	-0.00481127	0.08157910	0.04564291	0.05615181	-0.00317463	0.00472587	-0.00595930	0.07130785	0.04337098	0.04224234	-0.00054501	0.00360745	-0.00531042	0.06947164	0.05572698	0.10209491	0.00162513	0.01470274	-0.00342236	0.04187021	0.06579234	0.08005220	0.00258775	0.01303503	-0.00004958	0.04533505	0.05449182	0.04488961	0.00129311	0.00541037	-0.00186390
0.116666	0.10162894	0.04297154	0.06833908	0.00472499	0.01099839	-0.00377392	0.08162425	0.04570267	0.05606779	0.00014793	0.00575008	-0.00423755	0.07135042	0.04345787	0.04218579	0.00156262	0.00527254	-0.00339608	0.06956555	0.05612601	0.10196407	0.00445591	0.01678693	-0.00248236	0.04200509	0.06621317	0.08003505	0.00554310	0.01731257	0.00184593	0.04544897	0.05465645	0.04486182	0.00314384	0.00657466	-0.00135817
