Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10158244	0.03890500	0.07107785	0.00080668	-0.00258328	-0.00866804	0.07926117	0.04266546	0.05896375	0.00143886	-0.00054769	-0.02477687	0.06810094	0.04304472	0.04508343	0.01555333	-0.00099302	-0.02426459	0.06880806	0.05415555	0.10504466	-0.00695824	-0.00756606	-0.01029548	0.04248455	0.07097603	0.08411349	-0.00314991	-0.01328492	-0.02402423	0.04398999	0.05818267	0.04828591	0.00402070	-0.00198423	-0.02697922
0.033333	0.10162099	0.03884288	0.07093019	-0.00124008	-0.00050146	-0.00829901	0.07929493	0.04264456	0.05849066	0.00353628	-0.00144918	-0.01990721	0.06846684	0.04312086	0.04462738	0.01332527	-0.00490466	-0.02160338	0.06868999	0.05399680	0.10490061	-0.00514941	-0.00683821	-0.01019601	0.04244760	0.07071428	0.08367611	-0.00242137	-0.01319205	-0.02076373	0.04409009	0.05802559	0.04786945	0.00339502	-0.00479637	-0.02316387
0.050000	0.10158343	0.03884945	0.07077438	-0.00328684	0.00158035	-0.00792998	0.07932625	0.04264243	0.05819683	0.00563370	-0.00235067	-0.01503755	0.06856690	0.04293374	0.04431173	0.01109720	-0.00881631	-0.01894217	0.06859435	0.05390051	0.10470593	-0.00334059	-0.00611036	-0.01009654	0.04238953	0.07054763	0.08332956	-0.00169283	-0.01309918	-0.01750323	0.04412405	0.05820651	0.04735733	0.00276934	-0.00760851	-0.01934853
0.066666	0.10151708	0.03888408	0.07068423	-0.00321885	0.00237119	-0.00952486	0.07941642	0.04262358	0.05800578	0.00602199	-0.00122278	-0.01703949	0.06868435	0.04275139	0.04406305	0.01222496	-0.00874381	-0.01965180	0.06856244	0.05384123	0.10452750	-0.00275166	-0.00778378	-0.00862583	0.04234191	0.07032838	0.08313762	-0.00048630	-0.01446666	-0.01874372	0.04412505	0.05796316	0.04715520	0.00434644	-0.00787604	-0.02048886
0.083333	0.10140158	0.03896000	0.07053945	-0.00352812	0.00394107	-0.01070220	0.07959647	0.04250975	0.05784387	0.00609668	0.00150679	-0.01857921	0.06890653	0.04255545	0.04373103	0.01103346	-0.00977514	-0.01859199	0.06852722	0.05374392	0.10434530	-0.00148610	-0.00805664	-0.00760063	0.04235563	0.07011514	0.08285005	0.00040731	-0.01580360	-0.01779746	0.04418661	0.05773605	0.04690102	0.00523629	-0.01145604	-0.01851573
0.100000	0.10135131	0.03903047	0.07034694	-0.00303974	0.00502208	-0.01217597	0.07973827	0.04248859	0.05756465	0.00572192	0.00255250	-0.02001034	0.06918138	0.04241691	0.04341365	0.01156532	-0.00829903	-0.01894325	0.06853228	0.05354035	0.10428438	-0.00104987	-0.00788798	-0.00658582	0.04239517	0.06981063	0.08253153	0.00103038	-0.01665431	-0.01824852	0.04432089	0.05753725	0.04658328	0.00659731	-0.01451222	-0.01717885
0.116666	0.10131546	0.03912458	0.07007669	-0.00239008	0.00613845	-0.01332661	0.07980871	0.04265215	0.05704283	0.00477483	0.00130021	-0.01815391	0.06938736	0.04228502	0.04304723	0.01111754	-0.00722312	-0.01877162	0.06851604	0.05333991	0.10421729	-0.00108272	-0.00696805	-0.00545038	0.04244958	0.06946716	0.08216537	0.00123270	-0.01621025	-0.01839116	0.04447566	0.05729671	0.04620895	0.00706711	-0.01369536	-0.01667717
