Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10300190	0.04547288	0.06650197	0.00057250	-0.00202545	-0.00797122	0.08293277	0.05257202	0.05984857	-0.00308027	-0.00648376	-0.00771775	0.06879821	0.04989586	0.04666823	-0.00227009	0.00139734	-0.00793041	0.07371685	0.06226857	0.10070673	-0.00551103	-0.00200230	-0.00025466	0.04263636	0.07642598	0.08583745	0.00096715	-0.00223373	-0.00755935	0.04328697	0.06247403	0.04926806	0.00099531	-0.00162358	-0.00641814
0.033333	0.10302036	0.04542863	0.06638050	-0.00083529	-0.00104115	-0.00704038	0.08289506	0.05247465	0.05969201	-0.00256197	-0.00446523	-0.00713638	0.06875691	0.04991158	0.04653488	-0.00033997	0.00049945	-0.00782929	0.07362524	0.06222998	0.10070833	-0.00546949	-0.00258454	-0.00037260	0.04265530	0.07637230	0.08571610	-0.00011992	-0.00240550	-0.00671337	0.04330390	0.06244018	0.04914155	0.00123192	-0.00351024	-0.00433558
0.050000	0.10301155	0.04542431	0.06624206	-0.00224308	-0.00005685	-0.00610954	0.08283616	0.05237030	0.05960782	-0.00204366	-0.00244669	-0.00655501	0.06873140	0.04993783	0.04641927	0.00159015	-0.00039844	-0.00772816	0.07353908	0.06219443	0.10069966	-0.00542796	-0.00316679	-0.00049055	0.04264908	0.07634996	0.08559907	-0.00120698	-0.00257728	-0.00586739	0.04333311	0.06241672	0.04907187	0.00146853	-0.00539690	-0.00225303
0.066666	0.10295094	0.04541728	0.06614427	-0.00220180	0.00027940	-0.00559396	0.08279140	0.05235047	0.05949486	-0.00102044	-0.00179539	-0.00674534	0.06879845	0.04992707	0.04625372	0.00101969	-0.00082741	-0.00677387	0.07343555	0.06213602	0.10068308	-0.00504105	-0.00348903	-0.00004161	0.04265258	0.07630667	0.08547275	-0.00182719	-0.00300796	-0.00540214	0.04333695	0.06227900	0.04907106	0.00230216	-0.00489758	-0.00337060
0.083333	0.10288557	0.04544777	0.06606764	-0.00242938	0.00076687	-0.00528688	0.08278147	0.05234845	0.05941019	-0.00001498	-0.00079204	-0.00696103	0.06884941	0.04989022	0.04616016	0.00165135	-0.00140960	-0.00668946	0.07335599	0.06208308	0.10067375	-0.00465037	-0.00411635	0.00045296	0.04256852	0.07627408	0.08544295	-0.00249130	-0.00367073	-0.00532875	0.04337925	0.06217518	0.04906518	0.00295005	-0.00540242	-0.00417826
0.100000	0.10284446	0.04546875	0.06601208	-0.00149433	0.00072891	-0.00518805	0.08280578	0.05238156	0.05926682	0.00058387	-0.00076765	-0.00733544	0.06888990	0.04985193	0.04606356	0.00201129	-0.00190050	-0.00677894	0.07328220	0.06198846	0.10069010	-0.00398634	-0.00443140	0.00101053	0.04251766	0.07617498	0.08536990	-0.00332405	-0.00455500	-0.00487795	0.04344361	0.06205548	0.04901025	0.00339413	-0.00589597	-0.00551930
0.116666	0.10281227	0.04547911	0.06593202	0.00004433	-0.00010291	-0.00479253	0.08285166	0.05236671	0.05914658	0.00056297	-0.00177867	-0.00748632	0.06885339	0.04981607	0.04599358	0.00188690	-0.00172985	-0.00710969	0.07322148	0.06192382	0.10072059	-0.00318148	-0.00411905	0.00133925	0.04246957	0.07611579	0.08527467	-0.00358248	-0.00516778	-0.00490857	0.04352800	0.06202753	0.04883432	0.00378733	-0.00583843	-0.00663099
