Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.17840941	0.06823792	0.05935663	0.00692773	0.00342374	0.01647859	0.14369321	0.08228606	0.04261023	-0.00113458	-0.00762626	0.01299569	0.12358730	0.09609023	0.03057620	0.00445740	0.01600670	0.00317255	0.15263897	0.09903216	0.08692247	-0.00861954	-0.00315731	0.01447855	0.12180274	0.11319839	0.06546279	0.00050426	-0.00381732	0.00372504	0.10730575	0.11770576	0.02893181	-0.00671792	0.00134867	0.00172887
0.033333	0.17848429	0.06824360	0.05965459	0.00497954	0.00262522	0.01463207	0.14368807	0.08216018	0.04284309	-0.00175417	-0.00742684	0.01036589	0.12368494	0.09637062	0.03062807	0.00279756	0.01288628	0.00225888	0.15252839	0.09894165	0.08714833	-0.00882048	-0.00173696	0.01246271	0.12180533	0.11312097	0.06552798	-0.00037238	-0.00332707	0.00289367	0.10720107	0.11770515	0.02897500	-0.00513466	0.00108675	0.00125662
0.050000	0.17863303	0.06835857	0.05986599	0.00303136	0.00182670	0.01278555	0.14364311	0.08203240	0.04300910	-0.00237376	-0.00722743	0.00773608	0.12371638	0.09657600	0.03066619	0.00113771	0.00976585	0.00134520	0.15234543	0.09895003	0.08738121	-0.00902142	-0.00031661	0.01044687	0.12180261	0.11306699	0.06558223	-0.00124902	-0.00283682	0.00206229	0.10709251	0.11775897	0.02896903	-0.00355141	0.00082482	0.00078437
0.066666	0.17867963	0.06840003	0.06010081	0.00189156	0.00083596	0.01119780	0.14360228	0.08191155	0.04312440	-0.00233137	-0.00692501	0.00666759	0.12370648	0.09672899	0.03070062	0.00120376	0.00804111	0.00051048	0.15217254	0.09897388	0.08756399	-0.00793192	-0.00128132	0.00870913	0.12178606	0.11304811	0.06560884	-0.00182633	-0.00386091	0.00171159	0.10703424	0.11777245	0.02899847	-0.00336827	0.00034955	0.00042967
0.083333	0.17867057	0.06838701	0.06024380	0.00058100	-0.00000205	0.00869376	0.14354700	0.08180230	0.04319198	-0.00225463	-0.00608678	0.00441130	0.12370764	0.09683304	0.03068638	0.00044625	0.00455974	-0.00021258	0.15203948	0.09897362	0.08767344	-0.00734690	-0.00251059	0.00663253	0.12175488	0.11300300	0.06561439	-0.00202765	-0.00481309	0.00057839	0.10703937	0.11776760	0.02899416	-0.00321699	-0.00052031	0.00034469
0.100000	0.17859909	0.06831161	0.06039743	-0.00039138	-0.00131202	0.00625222	0.14351214	0.08169046	0.04325492	-0.00162788	-0.00496054	0.00287985	0.12372316	0.09687214	0.03066253	0.00043739	0.00157603	-0.00044109	0.15195824	0.09892952	0.08773267	-0.00592204	-0.00503941	0.00496699	0.12166835	0.11290010	0.06564010	-0.00163146	-0.00617004	-0.00041094	0.10701015	0.11774416	0.02899029	-0.00287765	-0.00158825	0.00015358
0.116666	0.17860986	0.06831097	0.06046113	0.00012554	-0.00184738	0.00351743	0.14348470	0.08161420	0.04329040	-0.00072770	-0.00385580	0.00166234	0.12373865	0.09689637	0.03063086	0.00034828	-0.00093729	-0.00048271	0.15188222	0.09881535	0.08778432	-0.00410760	-0.00700011	0.00354765	0.12164590	0.11277242	0.06562096	-0.00098292	-0.00701132	-0.00099179	0.10693137	0.11771554	0.02899388	-0.00264567	-0.00232515	-0.00030412
