Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.17693730	0.06984821	0.05456245	-0.00668402	0.00466133	0.00001509	0.14419612	0.08889709	0.04510581	-0.00537554	0.00670767	0.00364495	0.12524834	0.09681981	0.03847435	-0.00023782	0.01447438	0.00329274	0.14688770	0.09516694	0.08878315	-0.00530230	0.00491964	0.00036925	0.11801363	0.11898209	0.07447845	0.00071567	0.02270313	-0.00197821	0.10854797	0.11786846	0.03758077	0.00683884	0.01275887	0.00166411
0.016667	0.17681049	0.06992383	0.05456219	-0.00473591	0.00441560	0.00001688	0.14406972	0.08897087	0.04518858	-0.00351952	0.00746462	0.00243970	0.12521833	0.09705935	0.03854930	-0.00065401	0.01193834	0.00319363	0.14675388	0.09519440	0.08882336	-0.00343279	0.00686469	0.00038780	0.11802776	0.11939511	0.07443035	0.00003330	0.01650727	-0.00032589	0.10866831	0.11807806	0.03761765	0.00465097	0.01036074	0.00093397
0.033333	0.17673770	0.07000075	0.05455766	-0.00278779	0.00416988	0.00001866	0.14404000	0.08913387	0.04520868	-0.00166350	0.00822156	0.00123445	0.12523918	0.09727769	0.03857959	-0.00107021	0.00940230	0.00309452	0.14672618	0.09534939	0.08879995	-0.00156329	0.00880975	0.00040636	0.11803622	0.11967009	0.07443192	-0.00064906	0.01031142	0.00132643	0.10875420	0.11827327	0.03762321	0.00246310	0.00796262	0.00020383
0.050000	0.17669813	0.07006086	0.05456034	-0.00248545	0.00408282	-0.00075855	0.14405341	0.08930327	0.04521358	-0.00213907	0.00725291	0.00099643	0.12523191	0.09743296	0.03861108	-0.00151821	0.00846848	0.00271724	0.14675696	0.09552108	0.08877822	-0.00258171	0.00682841	0.00129998	0.11800437	0.11977612	0.07447302	-0.00040259	0.00889391	0.00077099	0.10877451	0.11838938	0.03761623	0.00168566	0.00690280	-0.00032907
0.066666	0.17671351	0.07014334	0.05457240	-0.00189305	0.00301288	-0.00232006	0.14403477	0.08942443	0.04521901	-0.00150636	0.00662288	-0.00054151	0.12519495	0.09749893	0.03868972	-0.00146688	0.00692925	0.00100527	0.14674169	0.09574699	0.08879570	-0.00178725	0.00503848	0.00031453	0.11799174	0.11983825	0.07452420	-0.00061855	0.00437377	0.00005864	0.10877007	0.11845991	0.03762165	-0.00007518	0.00444261	-0.00162809
0.083333	0.17668357	0.07018803	0.05453572	-0.00204452	0.00140276	-0.00404414	0.14398782	0.08950476	0.04523148	-0.00206479	0.00455605	-0.00168762	0.12511413	0.09759185	0.03874868	-0.00190385	0.00539569	-0.00060026	0.14665043	0.09575771	0.08889474	-0.00206054	0.00136991	-0.00078116	0.11797947	0.11987796	0.07454868	-0.00086766	0.00157979	-0.00162706	0.10875504	0.11851741	0.03759356	-0.00118785	0.00205682	-0.00250367
0.100000	0.17664953	0.07024226	0.05444331	-0.00267700	-0.00019245	-0.00522685	0.14393595	0.08957072	0.04520477	-0.00257687	0.00226536	-0.00258579	0.12510888	0.09769007	0.03869862	-0.00196853	0.00398101	-0.00230412	0.14658923	0.09572998	0.08889018	-0.00240200	-0.00280694	-0.00155267	0.11798713	0.11993282	0.07447679	-0.00139952	-0.00004359	-0.00296311	0.10872686	0.11855348	0.03753536	-0.00162449	0.00038613	-0.00304203
0.116666	0.17656611	0.07017037	0.05428577	-0.00333154	-0.00149415	-0.00558587	0.14389986	0.08960679	0.04510808	-0.00206076	0.00047125	-0.00363832	0.12509622	0.09780125	0.03859599	-0.00144818	0.00282974	-0.00436589	0.14657409	0.09561144	0.08877920	-0.00196666	-0.00586441	-0.00238013	0.11797134	0.11989502	0.07437433	-0.00178792	-0.00114643	-0.00376099	0.10869693	0.11853858	0.03744224	-0.00150756	-0.00096292	-0.00347215
