Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.18493190	0.07519189	0.05624851	0.00108324	0.00054095	0.01090250	0.14692210	0.08377930	0.04477777	-0.00341081	0.00273672	0.02300804	0.12297846	0.09350088	0.03666109	-0.00196074	0.02079923	0.01663082	0.15938470	0.10226010	0.08856482	0.00109658	-0.00022017	0.00295275	0.12391227	0.11294571	0.07299671	-0.00015911	0.00947423	0.00567822	0.10846485	0.11813644	0.03933436	-0.01354264	0.00602162	0.00043990
0.033333	0.18496025	0.07519979	0.05645671	0.00172735	0.00198060	0.00964247	0.14686234	0.08381822	0.04518727	-0.00221149	0.00297436	0.02021053	0.12294494	0.09385622	0.03693056	-0.00111178	0.02124899	0.01562594	0.15940759	0.10224639	0.08863339	0.00046805	0.00056550	0.00277029	0.12391073	0.11311678	0.07310234	0.00046045	0.00891346	0.00384451	0.10826864	0.11824861	0.03935203	-0.01359170	0.00853929	-0.00246138
0.050000	0.18497759	0.07522213	0.05659630	0.00237145	0.00342024	0.00838244	0.14684007	0.08385518	0.04549811	-0.00101217	0.00321200	0.01741301	0.12294495	0.09417751	0.03717693	-0.00026282	0.02169875	0.01462106	0.15941198	0.10226864	0.08866082	-0.00016049	0.00135117	0.00258782	0.12393353	0.11324989	0.07315812	0.00108000	0.00835269	0.00201081	0.10804743	0.11837116	0.03931004	-0.01364076	0.01105697	-0.00536267
0.066666	0.18501274	0.07529690	0.05670957	0.00297160	0.00338086	0.00898989	0.14678796	0.08394687	0.04578673	0.00037551	0.00161183	0.01625878	0.12289366	0.09456356	0.03747551	0.00118934	0.02017152	0.01163089	0.15941222	0.10229959	0.08868799	-0.00032000	0.00172970	0.00333918	0.12392514	0.11338160	0.07318747	0.00272853	0.00800605	0.00131108	0.10774987	0.11854128	0.03920842	-0.00993736	0.01228643	-0.00611827
0.083333	0.18506493	0.07537886	0.05683852	0.00408033	0.00352209	0.00877676	0.14682943	0.08399267	0.04600739	0.00149280	0.00030425	0.01405397	0.12294498	0.09494776	0.03766568	0.00179172	0.01807291	0.00849668	0.15938501	0.10232002	0.08873881	-0.00013903	0.00244969	0.00384355	0.12395643	0.11352013	0.07317966	0.00319855	0.00690709	0.00066482	0.10752816	0.11880790	0.03905671	-0.00713295	0.01291511	-0.00681088
0.100000	0.18516317	0.07546423	0.05700255	0.00537412	0.00289907	0.00870861	0.14688881	0.08397197	0.04622671	0.00216068	-0.00130851	0.01225664	0.12301845	0.09525208	0.03776010	0.00171077	0.01521109	0.00538068	0.15937456	0.10237464	0.08882786	0.00059806	0.00280102	0.00451134	0.12406671	0.11364687	0.07316066	0.00270059	0.00581397	0.00101503	0.10751110	0.11910485	0.03888598	-0.00385793	0.01222638	-0.00575209
0.116666	0.18523523	0.07548858	0.05718876	0.00585886	0.00193958	0.00860292	0.14695138	0.08389463	0.04643123	0.00205622	-0.00307274	0.01086042	0.12308425	0.09544679	0.03776210	0.00061266	0.01106825	0.00340329	0.15937449	0.10242545	0.08892452	0.00120387	0.00321531	0.00517974	0.12418590	0.11373444	0.07316395	0.00251402	0.00497172	0.00176065	0.10755809	0.11930756	0.03879296	-0.00052467	0.01039170	-0.00372560
