Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10074374	0.03867656	0.08517477	0.00153199	0.00841103	0.00125524	0.08340052	0.04226499	0.06700679	-0.00337364	0.00217724	0.00352116	0.06107982	0.04848089	0.05470961	-0.00401068	-0.00415655	0.00192140	0.07734513	0.06878325	0.10989606	0.00066690	0.00517855	0.00322935	0.04634529	0.07742986	0.08686737	-0.00242195	0.00547132	-0.00243180	0.04117594	0.07001544	0.06039464	0.00051020	-0.00074335	-0.00229479
0.033333	0.10078685	0.03881406	0.08520273	0.00063971	0.00613826	0.00101656	0.08337141	0.04228508	0.06706562	-0.00369029	0.00063434	0.00348152	0.06101314	0.04838781	0.05476627	-0.00357003	-0.00450177	0.00168879	0.07734533	0.06888176	0.10994093	0.00065603	0.00369699	0.00285254	0.04631562	0.07748587	0.08684991	-0.00316781	0.00372002	-0.00238002	0.04120283	0.07002757	0.06035725	0.00095498	-0.00124299	-0.00255057
0.050000	0.10077965	0.03893204	0.08521389	-0.00025258	0.00386549	0.00077788	0.08327427	0.04232689	0.06712212	-0.00400694	-0.00090855	0.00344188	0.06094378	0.04834432	0.05475674	-0.00312939	-0.00484699	0.00145618	0.07736447	0.06894254	0.10999305	0.00064515	0.00221544	0.00247573	0.04624621	0.07758462	0.08678465	-0.00391367	0.00196871	-0.00232824	0.04119850	0.06997634	0.06031553	0.00139976	-0.00174262	-0.00280635
0.066666	0.10075748	0.03898368	0.08521167	-0.00022605	0.00245274	0.00086923	0.08320057	0.04231724	0.06717446	-0.00342397	-0.00205456	0.00328166	0.06089421	0.04828199	0.05478675	-0.00340118	-0.00593860	0.00174760	0.07739425	0.06895592	0.11005951	0.00011440	0.00185338	0.00162308	0.04619746	0.07765288	0.08673128	-0.00424651	-0.00034709	-0.00161514	0.04119962	0.06993985	0.06027928	0.00261360	-0.00100449	-0.00254064
0.083333	0.10075762	0.03899952	0.08524020	-0.00069004	0.00034150	0.00063040	0.08314075	0.04223649	0.06724522	-0.00297097	-0.00353563	0.00271813	0.06087314	0.04815919	0.05481016	-0.00307330	-0.00673323	0.00159832	0.07738579	0.06896895	0.11006617	0.00001442	0.00001345	0.00131038	0.04609389	0.07761607	0.08670695	-0.00422019	-0.00218776	-0.00130617	0.04126197	0.06991082	0.06020139	0.00335354	-0.00113938	-0.00169686
0.100000	0.10074511	0.03896939	0.08525300	-0.00038669	-0.00086476	0.00063755	0.08310769	0.04215218	0.06728683	-0.00197553	-0.00453249	0.00214119	0.06080179	0.04802576	0.05485380	-0.00309178	-0.00719949	0.00158938	0.07736599	0.06898586	0.11006098	-0.00031576	-0.00149340	0.00070244	0.04601629	0.07747883	0.08672190	-0.00373218	-0.00344967	-0.00108563	0.04134737	0.06991105	0.06017039	0.00384660	-0.00130464	-0.00102388
0.116666	0.10074193	0.03892008	0.08526380	0.00013940	-0.00121847	0.00054609	0.08309463	0.04205108	0.06732351	-0.00108287	-0.00441901	0.00163571	0.06073416	0.04785881	0.05490562	-0.00373406	-0.00673530	0.00151698	0.07735082	0.06896041	0.11005602	-0.00063576	-0.00238185	-0.00000928	0.04594700	0.07738971	0.08671889	-0.00320272	-0.00364551	-0.00129961	0.04145790	0.06994908	0.06017141	0.00353883	-0.00124235	-0.00052244
