Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.09622221	0.04059826	0.08559461	-0.00163656	-0.00211176	-0.00088010	0.08173658	0.04351864	0.06519087	-0.00231729	-0.00511905	-0.00016317	0.05826624	0.04462317	0.05051225	0.00112283	-0.00456281	-0.00239684	0.06639673	0.06735763	0.10909757	-0.00243229	-0.00292187	-0.00009228	0.03505462	0.07460668	0.08318870	0.00017958	-0.00476165	-0.00030086	0.03872775	0.06816097	0.05794901	0.00095489	-0.00196517	-0.00217705
0.033333	0.09619173	0.04057837	0.08558565	-0.00166476	-0.00328561	-0.00026889	0.08170322	0.04346421	0.06518149	-0.00297436	-0.00555678	0.00027090	0.05826372	0.04458205	0.05043248	0.00154842	-0.00533505	-0.00053443	0.06634927	0.06732847	0.10909861	-0.00171841	-0.00412749	0.00039362	0.03506738	0.07454118	0.08317410	-0.00043843	-0.00502156	-0.00050560	0.03870132	0.06813172	0.05794511	0.00216746	-0.00201189	-0.00285790
0.050000	0.09616319	0.04051935	0.08556674	-0.00169296	-0.00445945	0.00034232	0.08165713	0.04334432	0.06518282	-0.00363143	-0.00599450	0.00070498	0.05832048	0.04445588	0.05046291	0.00197402	-0.00610728	0.00132798	0.06632058	0.06725574	0.10909362	-0.00100453	-0.00533311	0.00087951	0.03505846	0.07445320	0.08317953	-0.00105644	-0.00528148	-0.00071034	0.03878154	0.06809344	0.05786659	0.00338003	-0.00205860	-0.00353876
0.066666	0.09614404	0.04042052	0.08557887	-0.00180465	-0.00380275	0.00031814	0.08158387	0.04321646	0.06521425	-0.00322164	-0.00461530	0.00007425	0.05833846	0.04434296	0.05049539	0.00205827	-0.00554525	0.00097191	0.06631327	0.06712002	0.10912842	-0.00096079	-0.00411207	0.00051916	0.03502377	0.07432912	0.08316983	-0.00051161	-0.00449570	-0.00080407	0.03885061	0.06804699	0.05779352	0.00260823	-0.00182842	-0.00272810
0.083333	0.09611244	0.04032721	0.08560237	-0.00145224	-0.00372093	0.00043363	0.08150641	0.04312345	0.06523011	-0.00307781	-0.00345030	-0.00036787	0.05840040	0.04422263	0.05056915	0.00207306	-0.00565330	0.00146922	0.06631737	0.06703836	0.10913520	-0.00046123	-0.00317131	0.00025474	0.03499578	0.07426628	0.08314709	-0.00030331	-0.00366328	-0.00100132	0.03893878	0.06803647	0.05771452	0.00247060	-0.00144188	-0.00272568
0.100000	0.09606786	0.04027530	0.08562206	-0.00107751	-0.00328743	0.00060898	0.08146106	0.04310244	0.06521208	-0.00256688	-0.00190214	-0.00100691	0.05841567	0.04417378	0.05056256	0.00135825	-0.00516514	0.00124615	0.06629674	0.06698926	0.10915600	0.00016011	-0.00107650	-0.00034891	0.03500308	0.07422097	0.08311702	0.00004267	-0.00199151	-0.00142571	0.03893507	0.06799828	0.05772118	0.00206538	-0.00066888	-0.00234944
0.116666	0.09605513	0.04026112	0.08561264	-0.00080277	-0.00267022	0.00074130	0.08143999	0.04311234	0.06517340	-0.00176252	-0.00085973	-0.00151355	0.05845280	0.04409809	0.05055455	0.00028335	-0.00454279	0.00090018	0.06629745	0.06701495	0.10912568	0.00077263	0.00078090	-0.00081048	0.03502996	0.07418362	0.08310939	0.00055419	-0.00060305	-0.00150465	0.03893640	0.06799475	0.05770588	0.00194876	-0.00001259	-0.00196556
