Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10650023	0.03936564	0.07118346	0.00593482	-0.00257184	0.01073998	0.08396403	0.04361884	0.06087060	0.00856466	0.00772297	0.00832583	0.06638627	0.04101618	0.04669128	0.00944089	0.02090116	0.00399420	0.09586975	0.07728148	0.11090805	-0.00385532	-0.01570689	0.00169133	0.06193648	0.08218201	0.07935080	0.00913333	-0.01128227	-0.00878874	0.05398878	0.07316877	0.04953147	-0.00649159	0.00118178	-0.00119092
0.033333	0.10661716	0.03932881	0.07139141	0.00413956	-0.00259572	0.00900399	0.08412641	0.04372204	0.06101271	0.00749993	0.00706038	0.00689744	0.06656058	0.04131320	0.04676596	0.00652696	0.01883097	0.00455899	0.09582257	0.07704131	0.11095183	-0.00330852	-0.01399984	0.00098482	0.06209135	0.08200240	0.07920294	0.00805325	-0.01073335	-0.00715080	0.05387959	0.07314735	0.04953109	-0.00600482	0.00231051	-0.00036970
0.050000	0.10668029	0.03928067	0.07151579	0.00234430	-0.00261960	0.00726800	0.08424605	0.04388551	0.06113350	0.00643520	0.00639780	0.00546905	0.06668372	0.04171047	0.04682878	0.00361302	0.01676078	0.00512378	0.09574679	0.07676924	0.11096092	-0.00276172	-0.01229280	0.00027832	0.06222566	0.08180971	0.07906964	0.00697318	-0.01018443	-0.00551286	0.05377546	0.07322863	0.04950037	-0.00551805	0.00343924	0.00045153
0.066666	0.10669625	0.03921426	0.07162610	0.00276421	-0.00239010	0.00759184	0.08431414	0.04399247	0.06121235	0.00731818	0.00666634	0.00551852	0.06668548	0.04197684	0.04691818	0.00441303	0.01592948	0.00531100	0.09568548	0.07657451	0.11093748	-0.00191291	-0.01107574	0.00081797	0.06234271	0.08165331	0.07898658	0.00653970	-0.00998326	-0.00523163	0.05367727	0.07330099	0.04949465	-0.00568534	0.00361969	0.00137238
0.083333	0.10669713	0.03920621	0.07170115	0.00289534	-0.00229537	0.00758502	0.08441950	0.04405206	0.06127341	0.00697642	0.00773344	0.00535105	0.06670311	0.04220268	0.04701201	0.00444712	0.01562591	0.00557445	0.09567276	0.07640754	0.11094611	-0.00104804	-0.00924021	0.00077073	0.06242841	0.08147371	0.07895226	0.00587965	-0.00936203	-0.00431118	0.05362201	0.07338320	0.04953816	-0.00593421	0.00519054	0.00238094
0.100000	0.10674250	0.03916402	0.07183744	0.00400422	-0.00118915	0.00797435	0.08456527	0.04414692	0.06133835	0.00687434	0.00925636	0.00546076	0.06676377	0.04235132	0.04713116	0.00544453	0.01617639	0.00547359	0.09568372	0.07630317	0.11097629	-0.00010248	-0.00757694	0.00098918	0.06250962	0.08134758	0.07888162	0.00515366	-0.00830441	-0.00365248	0.05351831	0.07340460	0.04961815	-0.00609663	0.00683832	0.00329598
0.116666	0.10683801	0.03913272	0.07200206	0.00516935	0.00020938	0.00789843	0.08472440	0.04432607	0.06146473	0.00674876	0.01116876	0.00542621	0.06691459	0.04265025	0.04721074	0.00624197	0.01744385	0.00502454	0.09569088	0.07618491	0.11101126	0.00022411	-0.00655803	0.00094891	0.06260490	0.08118234	0.07880934	0.00451151	-0.00687952	-0.00361921	0.05339904	0.07354233	0.04967485	-0.00663007	0.00850640	0.00363875
