Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.10805430	0.03554473	0.07329516	0.03403513	-0.01153835	0.00180327	0.08329742	0.04238769	0.06346682	0.03447196	-0.03807431	0.02312606	0.06453951	0.05356292	0.04260641	0.00586937	-0.04386044	0.02733454	0.09905438	0.07362952	0.10727758	0.02831612	0.02567007	0.00453843	0.06769392	0.08224083	0.07414971	0.03366115	0.00865645	-0.01056612	0.05298571	0.08261852	0.04891749	0.04603603	-0.01211901	0.00324752
0.016667	0.10871177	0.03535692	0.07330262	0.02359683	-0.00465332	-0.00031471	0.08390762	0.04176096	0.06385077	0.02712126	-0.02555943	0.01541539	0.06464951	0.05291869	0.04301016	0.00338876	-0.03849835	0.02354240	0.09952112	0.07407571	0.10735610	0.02235786	0.02076083	0.00209772	0.06829988	0.08240520	0.07395111	0.02409952	0.00857260	-0.00916850	0.05380278	0.08245340	0.04893089	0.03403915	-0.00815238	0.00309014
0.033333	0.10905623	0.03522620	0.07334606	0.01315852	0.00223172	-0.00243270	0.08435329	0.04126002	0.06415057	0.01977057	-0.01304455	0.00770471	0.06470990	0.05218896	0.04346062	0.00090815	-0.03313626	0.01975026	0.09991983	0.07442769	0.10739841	0.01639961	0.01585158	-0.00034299	0.06869663	0.08251823	0.07381500	0.01453789	0.00848874	-0.00777088	0.05437376	0.08226182	0.04902159	0.02204228	-0.00418575	0.00293277
0.050000	0.10916924	0.03530034	0.07329915	0.01028873	0.00376464	-0.00295853	0.08462625	0.04106851	0.06425525	0.01649666	-0.00788094	0.00419562	0.06469714	0.05150754	0.04385909	0.00037380	-0.02540692	0.01482342	0.10019841	0.07465086	0.10739669	0.01218134	0.01340365	-0.00116427	0.06888510	0.08265635	0.07371278	0.01084567	0.00781666	-0.00748898	0.05467201	0.08216149	0.04911912	0.01721821	-0.00150741	0.00100561
0.066666	0.10921276	0.03551991	0.07318038	0.00285500	0.00596513	-0.00375488	0.08482270	0.04120139	0.06417991	0.01008865	-0.00052443	-0.00152577	0.06466629	0.05122015	0.04401948	-0.00151426	-0.01852389	0.00941588	0.10030442	0.07482395	0.10730869	0.00610883	0.00817097	-0.00196298	0.06891063	0.08281232	0.07359187	0.00352444	0.00563795	-0.00586289	0.05476742	0.08223864	0.04911340	0.00796670	0.00006579	-0.00016267
0.083333	0.10922979	0.03573552	0.07307265	-0.00010364	0.00479158	-0.00413103	0.08492792	0.04139791	0.06404509	0.00615841	0.00209610	-0.00487553	0.06463110	0.05113997	0.04404590	-0.00300263	-0.01333149	0.00430072	0.10031417	0.07493025	0.10723773	0.00161179	0.00397445	-0.00181191	0.06889708	0.08294617	0.07347365	-0.00074391	0.00233986	-0.00465767	0.05480293	0.08237851	0.04905170	0.00271979	-0.00140761	-0.00138861
0.100000	0.10918595	0.03578303	0.07303215	-0.00173473	-0.00000350	-0.00321952	0.08497719	0.04144982	0.06394286	0.00316521	-0.00046173	-0.00563519	0.06459746	0.05108888	0.04402968	-0.00441434	-0.01289404	0.00182849	0.10026136	0.07495857	0.10720960	-0.00111428	0.00001941	-0.00089694	0.06885110	0.08296507	0.07340378	-0.00305632	-0.00232165	-0.00342862	0.05479135	0.08240557	0.04897614	0.00052655	-0.00585465	-0.00142782
0.116666	0.10914784	0.03571144	0.07300328	-0.00368258	-0.00607629	-0.00168503	0.08501396	0.04137045	0.06385805	0.00044551	-0.00539163	-0.00525104	0.06451532	0.05087921	0.04402322	-0.00601562	-0.01654622	0.00208878	0.10023254	0.07492296	0.10724095	-0.00232057	-0.00373566	0.00022076	0.06879628	0.08286594	0.07337945	-0.00440089	-0.00706165	-0.00215125	0.05479827	0.08224330	0.04895305	-0.00039786	-0.01122829	-0.00043579
