Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.09840137	0.03219395	0.07611500	-0.00231792	-0.02306836	-0.05932883	0.07983601	0.04224464	0.06786067	0.01626316	-0.02348322	-0.08165503	0.06615188	0.04027118	0.05198460	0.02734080	-0.02479712	-0.09871198	0.08058484	0.06187823	0.11655317	-0.02521365	-0.03694290	-0.03540362	0.04203965	0.07424551	0.08707768	0.00296063	-0.07696325	-0.09240589	0.05020054	0.06874681	0.05980428	0.01835292	-0.04914702	-0.07361610
0.033333	0.09826603	0.03183519	0.07516024	-0.00177429	-0.01685239	-0.04854191	0.07994962	0.04187477	0.06658524	0.01632824	-0.01793276	-0.07246687	0.06641810	0.03986779	0.05049475	0.03322711	-0.01273484	-0.09383768	0.08019400	0.06131889	0.11595556	-0.02525086	-0.03192892	-0.02951403	0.04192250	0.07296366	0.08568674	0.00792797	-0.06764737	-0.08561265	0.05037649	0.06793715	0.05873025	0.02045293	-0.04004665	-0.07062306
0.050000	0.09839088	0.03147432	0.07422074	-0.00123065	-0.01063642	-0.03775500	0.08043364	0.04151212	0.06520941	0.01639332	-0.01238230	-0.06327870	0.06716153	0.03949561	0.04873648	0.03911343	-0.00067257	-0.08896337	0.07976133	0.06069409	0.11543157	-0.02528808	-0.02691494	-0.02362443	0.04225117	0.07180950	0.08402883	0.01289531	-0.05833149	-0.07881940	0.05088722	0.06720296	0.05735534	0.02255294	-0.03094629	-0.06763002
0.066666	0.09834281	0.03135429	0.07367742	-0.00099138	-0.00737854	-0.03266746	0.08073433	0.04136410	0.06415201	0.01307180	-0.00941766	-0.05526467	0.06792740	0.03973259	0.04714145	0.03394923	-0.00161876	-0.07778090	0.07929037	0.06024246	0.11505636	-0.02305099	-0.02209929	-0.02138992	0.04248550	0.07083073	0.08270600	0.01185131	-0.05091747	-0.07079271	0.05126404	0.06675719	0.05615481	0.02024759	-0.02648159	-0.06015784
0.083333	0.09831004	0.03130327	0.07331126	-0.00136938	-0.00090586	-0.02268141	0.08094781	0.04123880	0.06341826	0.00953592	-0.00440143	-0.04250230	0.06863830	0.03986626	0.04592616	0.02974075	0.00205868	-0.06376547	0.07888518	0.05993603	0.11485021	-0.02197565	-0.01481518	-0.01665994	0.04282075	0.07010365	0.08162040	0.01087251	-0.03983167	-0.05950876	0.05168324	0.06641553	0.05520626	0.01631719	-0.01922406	-0.05095544
0.100000	0.09824004	0.03137777	0.07305674	-0.00389417	0.00340271	-0.01381388	0.08095957	0.04128240	0.06283532	0.00465335	-0.00136821	-0.03029703	0.06902710	0.04005200	0.04504226	0.02289401	0.00131274	-0.04793609	0.07859950	0.05981020	0.11459873	-0.02156668	-0.00813934	-0.01216383	0.04289671	0.06957053	0.08084515	0.00676497	-0.03094097	-0.04816439	0.05188997	0.06624918	0.05453166	0.01031056	-0.01509747	-0.03991165
0.116666	0.09824183	0.03147573	0.07286175	-0.00679406	0.00448866	-0.00312836	0.08098765	0.04129834	0.06249779	0.00122756	-0.00058428	-0.01731533	0.06918441	0.03986808	0.04455756	0.01579749	-0.00373829	-0.02965022	0.07831652	0.05975376	0.11438866	-0.02169979	-0.00381553	-0.00675144	0.04301764	0.06921982	0.08019413	0.00390872	-0.02318857	-0.03728013	0.05200959	0.06605939	0.05403114	0.00594987	-0.01328149	-0.02859931
