Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11776858	0.11679211	0.10290894	0.00621150	-0.00907961	0.00090018	0.10965507	0.08952084	0.09447732	0.00393515	0.00140653	0.00291419	0.10084885	0.07525225	0.08419838	0.00514886	-0.00216749	0.00591623	0.08827066	0.13398288	0.13371508	0.00252997	-0.00106276	0.00232742	0.07542273	0.09640630	0.11831999	0.00679686	0.00746953	-0.00011820	0.07603223	0.06569990	0.09232827	0.00202608	0.00405079	-0.00175473
0.016667	0.11786342	0.11664112	0.10291429	0.00526810	-0.00834550	0.00120432	0.10971856	0.08954148	0.09452267	0.00314446	0.00182704	0.00297659	0.10093485	0.07521549	0.08429538	0.00449249	-0.00203290	0.00566664	0.08831293	0.13396087	0.13374962	0.00244730	-0.00002593	0.00220791	0.07553436	0.09651986	0.11831912	0.00568765	0.00801537	-0.00055030	0.07606591	0.06576535	0.09229895	0.00184984	0.00395605	-0.00153937
0.033333	0.11796247	0.11650093	0.10294116	0.00432471	-0.00761139	0.00150845	0.10977632	0.08957389	0.09457418	0.00235376	0.00224755	0.00303899	0.10101251	0.07518460	0.08439064	0.00383613	-0.00189830	0.00541704	0.08835366	0.13395992	0.13379061	0.00236464	0.00101090	0.00208841	0.07563520	0.09666181	0.11831006	0.00457844	0.00856120	-0.00098240	0.07609766	0.06583598	0.09227224	0.00167359	0.00386132	-0.00132401
0.050000	0.11804549	0.11637042	0.10297737	0.00331317	-0.00698424	0.00106380	0.10981550	0.08961266	0.09463014	0.00176710	0.00243236	0.00277263	0.10107361	0.07514628	0.08448420	0.00345358	-0.00158460	0.00495812	0.08839389	0.13398394	0.13383015	0.00231733	0.00131406	0.00178181	0.07571329	0.09681609	0.11829270	0.00396048	0.00830095	-0.00121758	0.07612542	0.06589534	0.09224956	0.00164584	0.00382637	-0.00123222
0.066666	0.11808096	0.11626505	0.10300366	0.00212134	-0.00607780	0.00074737	0.10983398	0.08965983	0.09467842	0.00097655	0.00266117	0.00245855	0.10112312	0.07512382	0.08456771	0.00275851	-0.00133500	0.00426354	0.08843004	0.13402246	0.13385789	0.00229993	0.00178248	0.00149400	0.07575604	0.09696334	0.11826634	0.00322019	0.00814959	-0.00152145	0.07614826	0.06596226	0.09223577	0.00161343	0.00351453	-0.00113130
0.083333	0.11809076	0.11617595	0.10300670	0.00101321	-0.00524553	0.00016186	0.10983501	0.08970882	0.09471767	0.00040598	0.00261729	0.00204251	0.10116065	0.07510427	0.08463380	0.00219815	-0.00112854	0.00352075	0.08846654	0.13406548	0.13387479	0.00242298	0.00166715	0.00115738	0.07578824	0.09709550	0.11823413	0.00288275	0.00756338	-0.00159730	0.07617117	0.06602043	0.09221932	0.00163470	0.00297473	-0.00102874
0.100000	0.11808978	0.11609868	0.10299382	0.00037767	-0.00444813	-0.00040919	0.10982996	0.08975846	0.09474223	0.00003289	0.00250303	0.00164629	0.10119312	0.07509834	0.08468056	0.00181538	-0.00085861	0.00281521	0.08850449	0.13409708	0.13388668	0.00276924	0.00127383	0.00087507	0.07582887	0.09721318	0.11820185	0.00292578	0.00709112	-0.00156031	0.07620171	0.06607609	0.09220241	0.00164699	0.00238013	-0.00089880
0.116666	0.11809241	0.11602937	0.10298058	0.00026703	-0.00360978	-0.00077568	0.10983251	0.08979445	0.09476201	-0.00019901	0.00244928	0.00130196	0.10121668	0.07507837	0.08471448	0.00155699	-0.00059400	0.00225068	0.08854921	0.13410759	0.13390160	0.00333839	0.00083991	0.00064068	0.07588702	0.09731784	0.11817888	0.00319356	0.00698413	-0.00151534	0.07623185	0.06610519	0.09218035	0.00150070	0.00174423	-0.00070088
