Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11132448	0.10886233	0.11062784	0.00678546	0.00066314	-0.00046205	0.10677842	0.08722610	0.09434612	-0.00413945	0.00382526	0.00450017	0.10071157	0.07533896	0.08054587	-0.00442533	0.00399468	0.00891987	0.08527984	0.10199556	0.14601892	0.00405764	0.00351646	-0.00251965	0.07585718	0.06751462	0.11904030	-0.00493782	0.00467641	0.00422122	0.07991336	0.06469043	0.07993255	0.00337889	0.00380737	0.00535114
0.016667	0.11143362	0.10887095	0.11062557	0.00636312	-0.00011534	-0.00034422	0.10670156	0.08727533	0.09443357	-0.00449585	0.00313440	0.00402802	0.10062615	0.07539178	0.08071217	-0.00408904	0.00317172	0.00828113	0.08534685	0.10205878	0.14597976	0.00414470	0.00196160	-0.00219316	0.07574687	0.06757911	0.11912543	-0.00390196	0.00240416	0.00398198	0.07995434	0.06474749	0.08003181	0.00330114	0.00204452	0.00480654
0.033333	0.11154405	0.10887519	0.11061473	0.00594078	-0.00089381	-0.00022639	0.10663501	0.08734185	0.09449243	-0.00485225	0.00244354	0.00355588	0.10056528	0.07545795	0.08083806	-0.00375276	0.00234877	0.00764239	0.08541295	0.10209149	0.14594099	0.00423176	0.00040673	-0.00186668	0.07569903	0.06763910	0.11918263	-0.00286610	0.00013191	0.00374274	0.08001974	0.06479657	0.08010622	0.00322339	0.00028167	0.00426194
0.050000	0.11164737	0.10885977	0.11060632	0.00535025	-0.00135392	0.00019282	0.10656554	0.08739918	0.09453760	-0.00534280	0.00122678	0.00399956	0.10052031	0.07551344	0.08094769	-0.00432065	0.00098762	0.00823918	0.08548899	0.10208893	0.14590389	0.00388765	-0.00059583	-0.00126936	0.07568499	0.06764898	0.11922461	-0.00433994	-0.00172318	0.00452628	0.08009564	0.06479769	0.08016779	0.00191566	-0.00075370	0.00464922
0.066666	0.11173343	0.10882417	0.11060742	0.00457996	-0.00184742	0.00070777	0.10646228	0.08741044	0.09459225	-0.00549587	0.00041634	0.00405894	0.10045300	0.07552128	0.08106576	-0.00440819	-0.00021815	0.00834580	0.08556132	0.10206998	0.14588544	0.00340560	-0.00240685	-0.00043191	0.07564753	0.06759200	0.11929218	-0.00542904	-0.00349463	0.00490708	0.08013385	0.06476074	0.08022546	0.00059948	-0.00186340	0.00483194
0.083333	0.11179794	0.10877520	0.11062845	0.00377895	-0.00192125	0.00124246	0.10635010	0.08737606	0.09467535	-0.00536645	0.00011504	0.00413591	0.10036366	0.07547737	0.08122835	-0.00438852	-0.00093602	0.00843703	0.08561838	0.10201150	0.14588462	0.00284289	-0.00356404	0.00046738	0.07553030	0.06746041	0.11940008	-0.00668316	-0.00401957	0.00528237	0.08012000	0.06468415	0.08031582	-0.00078485	-0.00200466	0.00503721
0.100000	0.11184758	0.10873388	0.11065985	0.00320536	-0.00163269	0.00139848	0.10624732	0.08733875	0.09476501	-0.00466188	0.00033107	0.00385606	0.10026230	0.07542145	0.08139536	-0.00390226	-0.00092119	0.00788208	0.08565201	0.10192964	0.14590843	0.00240971	-0.00411080	0.00103087	0.07535197	0.06735279	0.11951389	-0.00681321	-0.00353148	0.00512334	0.08006360	0.06463140	0.08042143	-0.00144885	-0.00141357	0.00490015
0.116666	0.11189295	0.10871453	0.11069795	0.00305132	-0.00095409	0.00108269	0.10618205	0.08736134	0.09483589	-0.00325573	0.00111852	0.00294605	0.10019926	0.07540497	0.08154243	-0.00276757	-0.00008687	0.00629483	0.08567362	0.10183349	0.14594132	0.00233226	-0.00391790	0.00113883	0.07518940	0.06731319	0.11960944	-0.00533404	-0.00218277	0.00414705	0.08001089	0.06462514	0.08052104	-0.00101742	-0.00034742	0.00417815
