Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11478347	0.11020172	0.11472866	-0.00003878	0.00447838	-0.00920899	0.10981206	0.08639360	0.09999785	-0.00053551	0.00118293	-0.00761531	0.10270042	0.07440877	0.08832173	0.00055883	0.00643621	-0.01665923	0.09242979	0.09678848	0.14836425	0.00308891	0.00460992	-0.00400671	0.07487006	0.06270430	0.12449486	0.01904745	0.00832501	-0.01756936	0.07951898	0.06426474	0.08690173	0.00887707	0.00586616	-0.01772645
0.033333	0.11477493	0.11027474	0.11458164	-0.00019245	0.00360177	-0.00859875	0.10979218	0.08640212	0.09989192	-0.00044055	0.00157089	-0.00756542	0.10270334	0.07451069	0.08806329	-0.00004917	0.00547754	-0.01539505	0.09246986	0.09686537	0.14829747	0.00303538	0.00458302	-0.00386329	0.07515819	0.06283930	0.12421594	0.01673973	0.00713113	-0.01602783	0.07964180	0.06435237	0.08662140	0.00768456	0.00553454	-0.01631795
0.050000	0.11478458	0.11034133	0.11443031	-0.00034612	0.00272517	-0.00798851	0.10980193	0.08644459	0.09974092	-0.00034560	0.00195884	-0.00751554	0.10271957	0.07461525	0.08777796	-0.00065718	0.00451887	-0.01413087	0.09253343	0.09694269	0.14823246	0.00298185	0.00455612	-0.00371987	0.07549403	0.06297596	0.12392440	0.01443202	0.00593724	-0.01448630	0.07981148	0.06446605	0.08632110	0.00649205	0.00520291	-0.01490945
0.066666	0.11477301	0.11038204	0.11429055	-0.00061419	0.00234020	-0.00718004	0.10978768	0.08647234	0.09960636	-0.00051223	0.00215159	-0.00671468	0.10268725	0.07467800	0.08753847	-0.00058543	0.00411426	-0.01282671	0.09258802	0.09701531	0.14817078	0.00233159	0.00455601	-0.00355938	0.07571260	0.06304595	0.12367908	0.01327930	0.00590677	-0.01344295	0.07990985	0.06453587	0.08607574	0.00560927	0.00535121	-0.01407182
0.083333	0.11476928	0.11040907	0.11417900	-0.00125960	0.00164226	-0.00610004	0.10979302	0.08651718	0.09949126	-0.00130278	0.00219320	-0.00584333	0.10268331	0.07474404	0.08734139	-0.00107564	0.00313429	-0.01114783	0.09263375	0.09709436	0.14811239	0.00128512	0.00437019	-0.00319244	0.07590543	0.06314449	0.12348875	0.01124066	0.00515515	-0.01212956	0.07999353	0.06462710	0.08586904	0.00416891	0.00515370	-0.01298939
0.100000	0.11474203	0.11041962	0.11409297	-0.00200138	0.00116416	-0.00502976	0.10977059	0.08655275	0.09941751	-0.00247982	0.00184336	-0.00489900	0.10264882	0.07477324	0.08719709	-0.00143417	0.00232567	-0.00976205	0.09264661	0.09716918	0.14805821	-0.00011329	0.00405764	-0.00263819	0.07602778	0.06320586	0.12332617	0.00955723	0.00467675	-0.01107168	0.08001751	0.06470025	0.08569001	0.00270055	0.00486331	-0.01225454
0.116666	0.11470552	0.11044206	0.11402689	-0.00229151	0.00070405	-0.00418274	0.10973325	0.08659668	0.09935668	-0.00341838	0.00128232	-0.00446943	0.10264755	0.07482155	0.08705721	-0.00162267	0.00157621	-0.00908036	0.09263068	0.09723964	0.14801528	-0.00124019	0.00348979	-0.00204638	0.07619891	0.06331048	0.12314764	0.00855226	0.00399651	-0.01058497	0.08006709	0.06480225	0.08549044	0.00171286	0.00437917	-0.01200491
