Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.10455593	0.07484984	0.08848180	-0.00815872	-0.01692093	-0.00127953	0.08764718	0.07856368	0.06193569	-0.00980653	-0.00945847	-0.00108196	0.07842766	0.07459258	0.03972171	-0.00757232	-0.01182051	0.00017051	0.06960751	0.12042215	0.11366656	-0.00506131	-0.01726638	0.00253988	0.04521101	0.12184501	0.06565069	-0.00619723	-0.01297222	0.00280851	0.06285691	0.09876268	0.03284246	-0.00699299	-0.01470456	0.00223507
0.016667	0.10441979	0.07456730	0.08847562	-0.00702943	-0.01640378	-0.00303784	0.08753294	0.07845087	0.06186697	-0.01012180	-0.01067970	-0.00109312	0.07830677	0.07442009	0.03973695	-0.00668811	-0.01081672	-0.00137900	0.06953415	0.12015778	0.11372208	-0.00506358	-0.02009474	0.00162163	0.04510634	0.12161213	0.06572086	-0.00470685	-0.01412457	0.00246272	0.06271690	0.09850690	0.03291213	-0.00497172	-0.01182434	0.00017423
0.033333	0.10430367	0.07428994	0.08841763	-0.00590014	-0.01588664	-0.00479614	0.08734582	0.07823155	0.06188405	-0.01043708	-0.01190093	-0.00110427	0.07818762	0.07420609	0.03970416	-0.00580391	-0.00981294	-0.00292850	0.06944091	0.11981859	0.11373872	-0.00506586	-0.02292310	0.00070337	0.04501647	0.12139320	0.06573910	-0.00321647	-0.01527692	0.00211694	0.06265280	0.09829487	0.03290270	-0.00295044	-0.00894412	-0.00188661
0.050000	0.10419656	0.07403660	0.08832039	-0.00431271	-0.01581753	-0.00515549	0.08706918	0.07799962	0.06196058	-0.00644619	-0.01088650	-0.00383829	0.07809356	0.07403386	0.03963789	-0.00537703	-0.00837944	-0.00310525	0.06934634	0.11941666	0.11374585	-0.00391053	-0.02239061	0.00013933	0.04496641	0.12116213	0.06576019	-0.00253365	-0.01648839	0.00262656	0.06263698	0.09818777	0.03281894	-0.00191265	-0.00907562	-0.00099048
0.066666	0.10413218	0.07377159	0.08820726	-0.00254114	-0.01530813	-0.00589194	0.08695380	0.07779272	0.06184899	-0.00348126	-0.01049444	-0.00472128	0.07800801	0.07390746	0.03957799	-0.00461919	-0.00658459	-0.00370059	0.06926474	0.11894641	0.11372986	-0.00208360	-0.02170989	-0.00109636	0.04497033	0.12085850	0.06579306	-0.00126791	-0.01694317	0.00265514	0.06259236	0.09809048	0.03276512	0.00049018	-0.00820387	-0.00115838
0.083333	0.10410690	0.07352395	0.08810061	-0.00103593	-0.01407185	-0.00526680	0.08699065	0.07766464	0.06168054	0.00042584	-0.00899743	-0.00586706	0.07796479	0.07383841	0.03948793	-0.00365505	-0.00457315	-0.00325992	0.06923382	0.11857632	0.11373223	0.00073664	-0.01954146	-0.00179273	0.04494520	0.12051282	0.06587452	0.00010453	-0.01672435	0.00351289	0.06260268	0.09797563	0.03277554	0.00177067	-0.00753953	-0.00048097
0.100000	0.10415438	0.07326736	0.08799729	0.00010204	-0.01231243	-0.00356784	0.08710687	0.07753117	0.06151466	0.00367218	-0.00744756	-0.00591623	0.07788002	0.07378693	0.03945084	-0.00244179	-0.00337092	-0.00243417	0.06927632	0.11828805	0.11366804	0.00345347	-0.01747053	-0.00141770	0.04496039	0.12021426	0.06592932	0.00111146	-0.01628059	0.00524400	0.06267588	0.09779434	0.03280129	0.00283116	-0.00680907	0.00000218
0.116666	0.10413925	0.07305640	0.08794563	0.00058517	-0.01130257	-0.00167821	0.08720800	0.07742506	0.06145153	0.00490082	-0.00619567	-0.00433685	0.07785030	0.07374507	0.03939619	-0.00134253	-0.00313190	-0.00153365	0.06937452	0.11810275	0.11362325	0.00546931	-0.01687924	0.00008144	0.04495360	0.11998448	0.06599238	0.00176555	-0.01563592	0.00712990	0.06275390	0.09763763	0.03283612	0.00340251	-0.00601100	0.00015110
