Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12148515	0.07882851	0.07276530	0.00037749	-0.01706141	-0.00053525	0.09677669	0.07852955	0.05420679	0.00407783	-0.01564084	-0.01731417	0.08044624	0.07248927	0.03737052	0.00558256	-0.01836344	-0.02078512	0.09985916	0.12234422	0.11123793	-0.00724855	-0.00909615	0.00915237	0.06348290	0.11759155	0.07483844	-0.00723346	-0.01492670	0.00359496	0.06026681	0.09579406	0.03677338	-0.00251348	-0.02198709	0.01425847
0.016667	0.12149817	0.07854280	0.07278343	-0.00091374	-0.01446052	-0.00280404	0.09680916	0.07826879	0.05400063	0.00321956	-0.01144034	-0.02049920	0.08049492	0.07215897	0.03711139	0.00370973	-0.01253513	-0.02378849	0.09977469	0.12222774	0.11139265	-0.00940587	-0.00792752	0.00508772	0.06336783	0.11733772	0.07493292	-0.00866782	-0.01177651	-0.00157670	0.06019928	0.09544257	0.03707253	-0.00159614	-0.01790627	0.00648415
0.033333	0.12146939	0.07829852	0.07272743	-0.00220497	-0.01185962	-0.00507282	0.09689511	0.07805999	0.05359591	0.00236128	-0.00723983	-0.02368422	0.08060683	0.07194743	0.03665239	0.00183691	-0.00670682	-0.02679187	0.09958554	0.12206221	0.11148897	-0.01156320	-0.00675890	0.00102308	0.06322502	0.11714494	0.07489033	-0.01010217	-0.00862632	-0.00674835	0.06019457	0.09512523	0.03715158	-0.00067881	-0.01382546	-0.00129017
0.050000	0.12142787	0.07809278	0.07259621	-0.00539122	-0.00922337	-0.00433026	0.09697289	0.07794587	0.05309346	-0.00092656	-0.00488820	-0.02075908	0.08066870	0.07186910	0.03608505	-0.00138347	-0.00470119	-0.02364883	0.09933381	0.12190303	0.11149338	-0.01309732	-0.00305874	-0.00160762	0.06304490	0.11700182	0.07472762	-0.01122095	-0.00394890	-0.00962429	0.06020401	0.09487562	0.03705782	-0.00178854	-0.00878583	-0.00370636
0.066666	0.12139288	0.07796988	0.07248681	-0.01131301	-0.00441750	-0.00407329	0.09696618	0.07793685	0.05272064	-0.00587007	-0.00113525	-0.01876203	0.08063281	0.07189237	0.03566850	-0.00550347	-0.00095260	-0.02187572	0.09917498	0.12186266	0.11142465	-0.01865655	0.00248854	-0.00627647	0.06284919	0.11691900	0.07454014	-0.01410672	0.00549192	-0.01712310	0.06020335	0.09474840	0.03689229	-0.00290514	-0.00131716	-0.01060965
0.083333	0.12121786	0.07790911	0.07241729	-0.01746870	0.00061922	-0.00207920	0.09682873	0.07797681	0.05244225	-0.01259879	0.00216187	-0.01329640	0.08045182	0.07193013	0.03536880	-0.01016993	0.00078243	-0.01662488	0.09890497	0.12193409	0.11126187	-0.02478628	0.01027275	-0.01054760	0.06262395	0.11699453	0.07425682	-0.01792270	0.01577197	-0.02414679	0.06014359	0.09480009	0.03670858	-0.00474190	0.00517482	-0.01577406
0.100000	0.12080271	0.07797209	0.07241219	-0.02289304	0.00504440	0.00024743	0.09655607	0.07803044	0.05231114	-0.01862019	0.00475751	-0.00793332	0.08023506	0.07195588	0.03516823	-0.01303123	0.00137620	-0.01103329	0.09845934	0.12218020	0.11106233	-0.03180848	0.01702535	-0.01382237	0.06231721	0.11738455	0.07381891	-0.02123076	0.02405057	-0.03044528	0.06001694	0.09502341	0.03644259	-0.00630851	0.00916157	-0.02010698
0.116666	0.12026925	0.07814162	0.07245744	-0.02581863	0.00798068	0.00156832	0.09612924	0.07810022	0.05223146	-0.02162916	0.00629662	-0.00479233	0.07994070	0.07194863	0.03502295	-0.01314716	0.00154429	-0.00750321	0.09776675	0.12257442	0.11078010	-0.03727857	0.02058544	-0.01538376	0.06190193	0.11803786	0.07315176	-0.02263415	0.02819989	-0.03451018	0.05987748	0.09530286	0.03604307	-0.00720625	0.01025576	-0.02319496
