Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12302091	0.03689919	0.10145977	0.00283939	-0.00056062	0.00141401	0.11698822	0.05013518	0.09120234	0.00066631	0.00190931	0.00078153	0.11296594	0.06278893	0.07873832	0.00368783	-0.00231330	-0.00008661	0.12750611	0.02202382	0.13647549	0.00301794	0.00046204	0.00099339	0.12081550	0.03403375	0.11791079	0.00271426	-0.00007028	-0.00092373	0.11449680	0.05802123	0.08605332	-0.00002746	0.00148969	-0.00045963
0.016667	0.12306702	0.03689156	0.10148033	0.00270479	-0.00060976	0.00126444	0.11700578	0.05016574	0.09121349	0.00058316	0.00220244	0.00091061	0.11303046	0.06275229	0.07873484	0.00393571	-0.00260309	-0.00025593	0.12755710	0.02203055	0.13649289	0.00311495	0.00036473	0.00117258	0.12085560	0.03402961	0.11789569	0.00283242	0.00021257	-0.00117526	0.11449359	0.05804666	0.08604194	0.00022933	0.00146404	-0.00057467
0.033333	0.12311363	0.03687844	0.10150795	0.00257020	-0.00065889	0.00111487	0.11700820	0.05020113	0.09123142	0.00050001	0.00249556	0.00103970	0.11309160	0.06270802	0.07873522	0.00418359	-0.00289289	-0.00042524	0.12760864	0.02203759	0.13650985	0.00321196	0.00026741	0.00135176	0.12090924	0.03403494	0.11787836	0.00295059	0.00049541	-0.00142679	0.11449875	0.05807042	0.08603828	0.00048612	0.00143840	-0.00068970
0.050000	0.12315447	0.03686841	0.10152446	0.00244246	-0.00072958	0.00110697	0.11701666	0.05024929	0.09124746	0.00049275	0.00253809	0.00119005	0.11316068	0.06265797	0.07872493	0.00435946	-0.00283213	-0.00045370	0.12766427	0.02204490	0.13653392	0.00335955	0.00016032	0.00142225	0.12096260	0.03404618	0.11785089	0.00297436	0.00061671	-0.00133154	0.11450858	0.05809562	0.08602586	0.00046984	0.00148634	-0.00078190
0.066666	0.12319931	0.03685672	0.10153705	0.00227177	-0.00091508	0.00104227	0.11701944	0.05029165	0.09126876	0.00028607	0.00278655	0.00137806	0.11323700	0.06260360	0.07871564	0.00451507	-0.00273128	-0.00052128	0.12771364	0.02204305	0.13656066	0.00366294	0.00006932	0.00141316	0.12100668	0.03405970	0.11782237	0.00312434	0.00085952	-0.00128251	0.11452450	0.05811622	0.08601142	0.00054322	0.00153971	-0.00086531
0.083333	0.12322992	0.03684291	0.10155229	0.00213847	-0.00117288	0.00093740	0.11703797	0.05034008	0.09129142	0.00001892	0.00289343	0.00143432	0.11332256	0.06255227	0.07870203	0.00451727	-0.00257663	-0.00056919	0.12777963	0.02204160	0.13658912	0.00397736	-0.00000748	0.00118353	0.12105652	0.03407281	0.11779689	0.00294791	0.00091030	-0.00117559	0.11453191	0.05814289	0.08599060	0.00050593	0.00154660	-0.00095696
0.100000	0.12326426	0.03682353	0.10157139	0.00201483	-0.00142623	0.00093174	0.11703380	0.05038720	0.09132323	-0.00037465	0.00292863	0.00141588	0.11339930	0.06251891	0.07869516	0.00436051	-0.00248944	-0.00053860	0.12784705	0.02203989	0.13661371	0.00422211	0.00001079	0.00084639	0.12111182	0.03409494	0.11778782	0.00264314	0.00085425	-0.00100483	0.11453768	0.05817291	0.08597460	0.00035718	0.00153425	-0.00095353
0.116666	0.12329578	0.03679216	0.10158991	0.00199680	-0.00153790	0.00102651	0.11702565	0.05044134	0.09134839	-0.00094623	0.00301979	0.00132770	0.11347140	0.06248740	0.07868864	0.00403991	-0.00246625	-0.00044931	0.12792967	0.02204048	0.13661925	0.00439780	0.00020023	0.00048176	0.12116668	0.03410869	0.11777385	0.00239861	0.00079433	-0.00082627	0.11454273	0.05819977	0.08596161	0.00026275	0.00145397	-0.00081461
