Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12259224	0.03800088	0.10086250	0.00675077	-0.00322101	0.00230570	0.11641841	0.05043169	0.09184530	0.00507338	-0.00266190	0.00117317	0.11289386	0.06447540	0.07890895	0.00510602	-0.00829473	0.00395527	0.12785372	0.02261950	0.13691102	0.00428969	-0.00240835	0.00106603	0.12069339	0.03553776	0.11810679	-0.00004210	-0.00142439	-0.00046767	0.11484943	0.05850798	0.08662617	-0.00036907	0.00114585	-0.00131179
0.016667	0.12269145	0.03794524	0.10089277	0.00615346	-0.00246842	0.00315094	0.11648066	0.05038709	0.09185217	0.00618095	-0.00464337	0.00259862	0.11294242	0.06433970	0.07896522	0.00592413	-0.01169537	0.00523279	0.12793596	0.02258380	0.13693418	0.00303091	-0.00130998	0.00046939	0.12069329	0.03552854	0.11810938	-0.00001632	-0.00149456	-0.00139811	0.11484943	0.05852786	0.08660926	-0.00012964	0.00179284	-0.00231453
0.033333	0.12280989	0.03790756	0.10094655	0.00555614	-0.00171584	0.00399617	0.11660279	0.05032599	0.09189786	0.00728852	-0.00662484	0.00402407	0.11307662	0.06416800	0.07904978	0.00674224	-0.01509602	0.00651031	0.12798753	0.02255298	0.13694203	0.00177213	-0.00021162	-0.00012726	0.12069309	0.03549528	0.11808205	0.00000946	-0.00156472	-0.00232854	0.11483901	0.05855265	0.08657474	0.00010978	0.00243983	-0.00331727
0.050000	0.12291196	0.03787071	0.10102969	0.00477700	-0.00104778	0.00375108	0.11674274	0.05018882	0.09198850	0.00707354	-0.00706176	0.00379005	0.11321477	0.06386276	0.07919178	0.00628902	-0.01637797	0.00633987	0.12799132	0.02254960	0.13692969	0.00191332	0.00060983	0.00002801	0.12069246	0.03544490	0.11803040	0.00014063	-0.00043461	-0.00205987	0.11483847	0.05859793	0.08650744	0.00044726	0.00278176	-0.00287776
0.066666	0.12298123	0.03786860	0.10110613	0.00403134	-0.00011148	0.00369062	0.11687761	0.05005100	0.09207580	0.00744148	-0.00811282	0.00395482	0.11332903	0.06358190	0.07930114	0.00719733	-0.01960636	0.00666457	0.12800522	0.02257326	0.13691641	0.00128471	0.00171236	-0.00008762	0.12069198	0.03543324	0.11797231	0.00020195	0.00042016	-0.00202411	0.11484923	0.05865229	0.08642747	0.00088215	0.00340240	-0.00229564
0.083333	0.12301694	0.03787694	0.10117114	0.00307144	0.00076074	0.00299108	0.11698730	0.04988237	0.09214754	0.00691275	-0.00819390	0.00320197	0.11339230	0.06321046	0.07942060	0.00759288	-0.02107338	0.00584973	0.12803170	0.02262695	0.13691716	0.00103690	0.00242036	-0.00002228	0.12069903	0.03546463	0.11793970	0.00023127	0.00144140	-0.00154328	0.11487429	0.05871766	0.08637623	0.00135560	0.00396166	-0.00122525
0.100000	0.12306260	0.03789986	0.10120849	0.00221928	0.00147084	0.00194941	0.11709709	0.04975341	0.09218301	0.00596567	-0.00735217	0.00184034	0.11351653	0.06284440	0.07951354	0.00773146	-0.02057860	0.00421041	0.12806518	0.02268204	0.13692942	0.00096299	0.00269939	0.00001818	0.12070984	0.03552690	0.11793257	0.00035644	0.00228829	-0.00101909	0.11490150	0.05878672	0.08638776	0.00163895	0.00433113	-0.00023007
0.116666	0.12310652	0.03793313	0.10123141	0.00188877	0.00184352	0.00100073	0.11720736	0.04962995	0.09220528	0.00514975	-0.00606767	0.00054348	0.11369365	0.06243489	0.07958625	0.00799897	-0.01856031	0.00245267	0.12807947	0.02273101	0.13693549	0.00081756	0.00259227	-0.00009514	0.12070963	0.03556945	0.11793082	0.00050426	0.00249789	-0.00080973	0.11493447	0.05885952	0.08642458	0.00161917	0.00432588	0.00027068
