Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12280145	0.03823825	0.10187753	0.00782158	-0.00403864	0.00513898	0.11663473	0.04955996	0.09198312	0.00562137	-0.00568599	0.00602806	0.11323895	0.06124033	0.07955705	0.00543831	-0.00653316	0.00560338	0.12662487	0.02495660	0.13630708	-0.00028335	0.00110208	0.00024505	0.11969262	0.03667701	0.11528286	-0.00061278	0.00161162	0.00244458	0.11484357	0.05969230	0.08393300	-0.00053499	0.00089551	0.00227892
0.016667	0.12293897	0.03817100	0.10196888	0.00688213	-0.00253302	0.00413755	0.11672962	0.04946276	0.09208736	0.00504324	-0.00370929	0.00478150	0.11332178	0.06112065	0.07965484	0.00478687	-0.00366648	0.00382507	0.12661229	0.02498014	0.13630803	-0.00068844	0.00186817	0.00028476	0.11967798	0.03670437	0.11532007	-0.00032522	0.00184246	0.00200809	0.11482161	0.05970360	0.08396875	0.00030086	0.00118766	0.00151925
0.033333	0.12305200	0.03812332	0.10203623	0.00594268	-0.00102740	0.00313611	0.11681388	0.04939655	0.09216800	0.00446511	-0.00173258	0.00353494	0.11341102	0.06105786	0.07972203	0.00413542	-0.00079980	0.00204676	0.12660784	0.02500625	0.13631563	-0.00109353	0.00263425	0.00032447	0.11967652	0.03673529	0.11535820	-0.00003766	0.00207330	0.00157159	0.11483352	0.05972357	0.08400054	0.00113670	0.00147982	0.00075959
0.050000	0.12314203	0.03810723	0.10208175	0.00571276	0.00001227	0.00271724	0.11688754	0.04937269	0.09222253	0.00398790	-0.00047410	0.00286957	0.11349034	0.06106233	0.07974819	0.00341584	0.00053099	0.00117440	0.12659878	0.02503979	0.13632484	-0.00184954	0.00364219	0.00019476	0.11968052	0.03676923	0.11538716	-0.00008889	0.00248651	0.00108071	0.11487162	0.05975456	0.08401246	0.00091747	0.00150867	0.00020418
0.066666	0.12321984	0.03812931	0.10211286	0.00491986	0.00174419	0.00181467	0.11694841	0.04938963	0.09225147	0.00324768	0.00160564	0.00163831	0.11353049	0.06110938	0.07974067	0.00254811	0.00306414	-0.00038427	0.12656586	0.02511161	0.13632734	-0.00251704	0.00485239	0.00006579	0.11968122	0.03680624	0.11540070	-0.00018187	0.00314034	0.00046961	0.11489770	0.05978540	0.08400348	0.00116207	0.00193343	-0.00072200
0.083333	0.12330526	0.03817740	0.10213856	0.00426253	0.00310586	0.00123442	0.11699657	0.04944177	0.09226808	0.00252944	0.00296011	0.00065301	0.11355334	0.06118482	0.07971615	0.00152130	0.00445809	-0.00139073	0.12650092	0.02521178	0.13632584	-0.00307084	0.00579128	-0.00022814	0.11968189	0.03686265	0.11539629	-0.00069667	0.00368727	-0.00002403	0.11490824	0.05980740	0.08398189	0.00084032	0.00228844	-0.00156142
0.100000	0.12337755	0.03824627	0.10215288	0.00376103	0.00386877	0.00084393	0.11702707	0.04951536	0.09227081	0.00173175	0.00349106	-0.00009429	0.11357300	0.06128290	0.07968087	0.00074860	0.00482487	-0.00189480	0.12642936	0.02533597	0.13632075	-0.00342788	0.00605234	-0.00048883	0.11967090	0.03693843	0.11538444	-0.00133101	0.00404861	-0.00026595	0.11491539	0.05984747	0.08394685	0.00030119	0.00236430	-0.00199661
0.116666	0.12343547	0.03833063	0.10216103	0.00336589	0.00404238	0.00058007	0.11705737	0.04959545	0.09226233	0.00105948	0.00330064	-0.00056364	0.11358149	0.06138150	0.07964382	0.00044782	0.00450035	-0.00196670	0.12637456	0.02545177	0.13631047	-0.00324072	0.00545493	-0.00055664	0.11964378	0.03702240	0.11537508	-0.00175041	0.00410119	-0.00022162	0.11492160	0.05990052	0.08390437	-0.00007108	0.00202813	-0.00188005
