Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12159427	0.04065813	0.10427237	0.00192285	0.00121868	-0.00121568	0.11707271	0.05086223	0.09364758	0.00400094	-0.00074752	-0.00027236	0.11308784	0.06401291	0.07951738	0.00100885	0.00123173	-0.00064746	0.12480236	0.02734808	0.13760942	0.00079304	0.00312427	-0.00091143	0.11987858	0.03809636	0.11499184	0.00095774	0.00236702	-0.00174992	0.11551005	0.05723153	0.08445489	0.00144717	-0.00147271	-0.00089620
0.016667	0.12162565	0.04067573	0.10425089	0.00184134	0.00076689	-0.00058696	0.11713941	0.05084685	0.09364642	0.00341804	-0.00055108	0.00001632	0.11310939	0.06403496	0.07950424	0.00081271	0.00127897	-0.00020184	0.12481473	0.02740048	0.13759375	0.00071861	0.00291619	-0.00057221	0.11989357	0.03812829	0.11496343	0.00038915	0.00241076	-0.00156418	0.11553624	0.05720004	0.08444013	0.00086010	-0.00218847	-0.00047006
0.033333	0.12165746	0.04069247	0.10424005	0.00175983	0.00031510	0.00004176	0.11720026	0.05083994	0.09364253	0.00283514	-0.00035465	0.00030499	0.11312007	0.06405286	0.07950290	0.00061658	0.00132621	0.00024378	0.12482724	0.02744950	0.13758346	0.00064418	0.00270810	-0.00023298	0.11990611	0.03817480	0.11493623	-0.00017945	0.00245449	-0.00137844	0.11555078	0.05717204	0.08443159	0.00027303	-0.00290423	-0.00004392
0.050000	0.12169059	0.04070333	0.10424093	0.00182182	-0.00015883	0.00044972	0.11724370	0.05083766	0.09364267	0.00271746	-0.00034934	0.00069738	0.11312613	0.06407873	0.07950466	0.00086096	0.00123356	0.00065491	0.12483796	0.02749380	0.13757953	0.00046771	0.00251184	-0.00001080	0.11989680	0.03822633	0.11491237	-0.00030909	0.00195783	-0.00110861	0.11555478	0.05713291	0.08442793	0.00002835	-0.00373689	0.00034053
0.066666	0.12171024	0.04068879	0.10425979	0.00214391	-0.00082415	0.00110850	0.11727712	0.05083262	0.09366146	0.00240308	-0.00026509	0.00117694	0.11313122	0.06409825	0.07952406	0.00114184	0.00112396	0.00143082	0.12484926	0.02753457	0.13758557	0.00020746	0.00216282	0.00032164	0.11988264	0.03825781	0.11489467	-0.00053182	0.00147345	-0.00073415	0.11554175	0.05705639	0.08444158	-0.00029206	-0.00450546	0.00093252
0.083333	0.12174213	0.04066839	0.10428337	0.00269325	-0.00165228	0.00154373	0.11730868	0.05082831	0.09368771	0.00214630	-0.00032937	0.00160404	0.11315426	0.06412110	0.07954587	0.00149772	0.00086699	0.00218415	0.12484962	0.02756960	0.13759436	-0.00005733	0.00181877	0.00055470	0.11986382	0.03827610	0.11488477	-0.00064105	0.00067987	-0.00039585	0.11553089	0.05695838	0.08446212	-0.00037491	-0.00500066	0.00146237
0.100000	0.12178808	0.04063442	0.10431883	0.00347388	-0.00240100	0.00164029	0.11735359	0.05082333	0.09372439	0.00199606	-0.00045730	0.00184865	0.11318857	0.06413113	0.07959254	0.00174929	0.00037942	0.00280124	0.12484331	0.02759434	0.13760878	-0.00027824	0.00144317	0.00064135	0.11985631	0.03827276	0.11488807	-0.00068300	-0.00021003	-0.00006307	0.11552009	0.05685235	0.08449378	-0.00027131	-0.00507411	0.00182134
0.116666	0.12185864	0.04059273	0.10435164	0.00427825	-0.00285284	0.00146103	0.11738776	0.05081611	0.09375927	0.00193477	-0.00049748	0.00187223	0.11323269	0.06414011	0.07965312	0.00179891	-0.00013158	0.00326203	0.12483300	0.02761572	0.13761972	-0.00038352	0.00108341	0.00053726	0.11985726	0.03826879	0.11488874	-0.00077024	-0.00126344	0.00032283	0.11552380	0.05677613	0.08453207	-0.00014488	-0.00477843	0.00202679
