Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12297498	0.03940032	0.10530272	0.00205812	-0.00752886	0.00488373	0.11680199	0.05069501	0.09434338	-0.00220881	-0.00944991	0.01189635	0.11278653	0.06384014	0.08024240	-0.00699068	-0.01057882	0.01618708	0.12488905	0.02634403	0.13845418	0.00435835	-0.00607961	0.00041194	0.11934696	0.03669324	0.11665223	-0.00386757	-0.01989833	0.00883408	0.11562247	0.05794202	0.08629457	-0.00268557	-0.01161120	0.00974629
0.016667	0.12300122	0.03927439	0.10537849	0.00305326	-0.00672365	0.00468114	0.11674356	0.05053446	0.09452277	0.00191533	-0.00886217	0.01282548	0.11263802	0.06366319	0.08048977	-0.00237511	-0.00789467	0.01682847	0.12496386	0.02624655	0.13845858	0.00486756	-0.00570821	0.00063569	0.11926495	0.03635929	0.11678771	-0.00047922	-0.01644614	0.00964414	0.11556877	0.05775120	0.08643742	0.00052862	-0.01029235	0.01160708
0.033333	0.12305059	0.03915665	0.10546307	0.00404840	-0.00591845	0.00447856	0.11676791	0.05037792	0.09475541	0.00603946	-0.00827442	0.01375461	0.11259502	0.06351221	0.08079430	0.00224047	-0.00521051	0.01746986	0.12504119	0.02614439	0.13847151	0.00537677	-0.00533681	0.00085943	0.11924897	0.03606227	0.11696053	0.00290913	-0.01299396	0.01045421	0.11555999	0.05756254	0.08664568	0.00374281	-0.00897350	0.01346787
0.050000	0.12314546	0.03906729	0.10554426	0.00366253	-0.00563179	0.00402009	0.11692819	0.05025982	0.09500057	0.00605559	-0.00866191	0.01345815	0.11271724	0.06345033	0.08110654	0.00172552	-0.00445297	0.01683998	0.12513402	0.02605475	0.13848490	0.00563206	-0.00498271	0.00097558	0.11935055	0.03587732	0.11713790	0.00286014	-0.01198885	0.01050074	0.11567024	0.05743378	0.08689003	0.00367606	-0.00864874	0.01353046
0.066666	0.12321153	0.03898234	0.10560526	0.00348908	-0.00484310	0.00340962	0.11708751	0.05013080	0.09523238	0.00724538	-0.00843521	0.01326551	0.11279998	0.06341904	0.08138373	0.00282035	-0.00264068	0.01611727	0.12522843	0.02597905	0.13850768	0.00587175	-0.00428657	0.00111282	0.11944348	0.03573306	0.11733012	0.00397617	-0.00947714	0.01038596	0.11577900	0.05730520	0.08713963	0.00439299	-0.00742571	0.01374116
0.083333	0.12328170	0.03890883	0.10565661	0.00256182	-0.00419525	0.00262932	0.11725070	0.04997803	0.09545790	0.00649179	-0.00799905	0.01212836	0.11288399	0.06340782	0.08165389	0.00160114	-0.00153296	0.01434771	0.12534662	0.02591130	0.13852546	0.00573414	-0.00350366	0.00111156	0.11954165	0.03561237	0.11751000	0.00382298	-0.00769022	0.00948511	0.11589661	0.05719267	0.08738977	0.00373127	-0.00628047	0.01250268
0.100000	0.12330378	0.03883619	0.10569027	0.00172653	-0.00370802	0.00203882	0.11731283	0.04981907	0.09564750	0.00525026	-0.00726610	0.01080767	0.11284259	0.06336874	0.08187671	0.00010151	-0.00087090	0.01271052	0.12544289	0.02585629	0.13854972	0.00536980	-0.00293016	0.00102230	0.11955921	0.03546561	0.11767226	0.00337647	-0.00650766	0.00822268	0.11591136	0.05707549	0.08759149	0.00258946	-0.00525424	0.01077958
0.116666	0.12331390	0.03878540	0.10571603	0.00135903	-0.00325830	0.00177582	0.11736500	0.04969428	0.09582062	0.00453154	-0.00599117	0.00947546	0.11281297	0.06335241	0.08207087	-0.00042062	-0.00022285	0.01140524	0.12553188	0.02582237	0.13856266	0.00482598	-0.00255380	0.00085645	0.11959135	0.03536230	0.11778839	0.00309148	-0.00574856	0.00688902	0.11591979	0.05700078	0.08774909	0.00181866	-0.00418007	0.00907756
