Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.10898545	0.10328714	0.09557526	-0.00567405	0.00773649	0.00118994	0.10445254	0.07549133	0.08307036	-0.00172869	0.00545377	0.00004903	0.10040917	0.05704756	0.07430068	-0.01293705	0.00635988	0.00456931	0.06725360	0.12780832	0.10941686	0.00414038	-0.00906061	-0.00404624	0.06162967	0.08523656	0.09307967	0.01027072	-0.00400422	-0.00293044	0.07202171	0.05881453	0.08358244	-0.01156439	-0.00505954	0.00192159
0.016667	0.10889147	0.10341895	0.09558870	-0.00600929	0.00920113	0.00091553	0.10443104	0.07558368	0.08306923	-0.00311272	0.00573481	0.00087351	0.10019615	0.05713982	0.07437555	-0.01242561	0.00608864	0.00557745	0.06731593	0.12766783	0.10935563	0.00479022	-0.00866849	-0.00401975	0.06178401	0.08517835	0.09303506	0.01042948	-0.00365318	-0.00203424	0.07182286	0.05872662	0.08360945	-0.00977177	-0.00452435	0.00169852
0.033333	0.10879235	0.10357009	0.09561520	-0.00634453	0.01066577	0.00064112	0.10437303	0.07569603	0.08308339	-0.00449674	0.00601585	0.00169799	0.09998088	0.05727999	0.07446302	-0.01191416	0.00581740	0.00658559	0.06740187	0.12750757	0.10928294	0.00544006	-0.00827636	-0.00399327	0.06197878	0.08509833	0.09299691	0.01058823	-0.00330215	-0.00113804	0.07165663	0.05865898	0.08363956	-0.00797916	-0.00398915	0.00147544
0.050000	0.10868911	0.10373400	0.09561814	-0.00622603	0.01216785	0.00063211	0.10430268	0.07575536	0.08309949	-0.00503639	0.00788550	0.00222930	0.09979248	0.05734691	0.07457414	-0.01172052	0.00751975	0.00692862	0.06749564	0.12736690	0.10921183	0.00587857	-0.00788200	-0.00370530	0.06215770	0.08505407	0.09296983	0.01062379	-0.00339368	-0.00020612	0.07154398	0.05859068	0.08367043	-0.00712662	-0.00326277	0.00085023
0.066666	0.10856728	0.10395901	0.09563157	-0.00557373	0.01396572	0.00077408	0.10418463	0.07588603	0.08317491	-0.00535289	0.00966907	0.00294951	0.09959624	0.05743832	0.07471955	-0.01093764	0.00964437	0.00767167	0.06759930	0.12724625	0.10914702	0.00707864	-0.00734161	-0.00340653	0.06233641	0.08500662	0.09297784	0.01105214	-0.00347359	0.00103146	0.07143472	0.05852776	0.08369338	-0.00474704	-0.00230879	0.00069853
0.083333	0.10846238	0.10422405	0.09562469	-0.00435883	0.01554793	0.00132449	0.10407232	0.07606655	0.08322205	-0.00480605	0.01128574	0.00400403	0.09942043	0.05758627	0.07485121	-0.00999648	0.01158410	0.00868599	0.06771061	0.12713899	0.10910174	0.00862188	-0.00626052	-0.00278169	0.06249380	0.08495817	0.09301869	0.01199237	-0.00404471	0.00323628	0.07136497	0.05850256	0.08367892	-0.00175149	-0.00164260	0.00218452
0.100000	0.10839124	0.10451578	0.09564975	-0.00287485	0.01694012	0.00204113	0.10398133	0.07632428	0.08329333	-0.00412000	0.01196166	0.00523543	0.09924357	0.05786788	0.07498740	-0.00944011	0.01264342	0.00988189	0.06785534	0.12702841	0.10905509	0.00991523	-0.00444868	-0.00208975	0.06269992	0.08488874	0.09307140	0.01272752	-0.00487668	0.00635641	0.07132362	0.05849931	0.08366897	0.00079599	-0.00118915	0.00538049
0.116666	0.10837813	0.10479626	0.09569298	-0.00141293	0.01781199	0.00289382	0.10395043	0.07656049	0.08335903	-0.00347884	0.01106069	0.00667467	0.09911419	0.05815413	0.07513706	-0.00952736	0.01198872	0.01145077	0.06805082	0.12693757	0.10902321	0.01079634	-0.00227542	-0.00105054	0.06291623	0.08479751	0.09315712	0.01306859	-0.00598656	0.01074486	0.07138028	0.05849518	0.08373835	0.00245062	-0.00141543	0.01074490
