Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10351986	0.10754155	0.09565130	0.00218981	-0.00773258	-0.01490260	0.09869079	0.07913566	0.08533955	0.03608193	0.00513004	-0.03328906	0.09277637	0.06009439	0.07348176	0.08604553	-0.00569996	0.00539528	0.06044604	0.12637532	0.10604662	-0.00161222	0.01454426	0.00560461	0.05488466	0.08512577	0.08988933	-0.01232089	-0.00554515	0.01016151	0.06264418	0.05740353	0.08065391	0.07247666	0.04340446	0.00013899
0.033333	0.10353904	0.10738871	0.09540598	0.00298017	-0.00688638	-0.01387669	0.09928568	0.07914630	0.08479210	0.03201386	0.00616531	-0.02770979	0.09426469	0.05988117	0.07362353	0.07528476	-0.00337345	0.00641520	0.06040886	0.12659875	0.10613661	-0.00143789	0.01405841	0.00382194	0.05467355	0.08503703	0.09005819	-0.01202875	-0.00249201	0.00566194	0.06391674	0.05799213	0.08070580	0.06291548	0.03976212	-0.00141487
0.050000	0.10360306	0.10730072	0.09517426	0.00377053	-0.00604017	-0.01285078	0.09984090	0.07931638	0.08430272	0.02794579	0.00720057	-0.02213051	0.09551616	0.05991961	0.07367901	0.06452400	-0.00104694	0.00743511	0.06040014	0.12683983	0.10621607	-0.00126357	0.01357255	0.00203927	0.05448810	0.08495702	0.09018304	-0.01173661	0.00056114	0.00116237	0.06493617	0.05878642	0.08064359	0.05335430	0.03611978	-0.00296873
0.066666	0.10368987	0.10719998	0.09493805	0.00324187	-0.00613718	-0.01104046	0.10032294	0.07948181	0.08392813	0.02423322	0.00507085	-0.01775343	0.09655230	0.06000635	0.07376698	0.05863984	-0.00537470	0.00987280	0.06037488	0.12711953	0.10624453	-0.00111007	0.01056497	0.00141472	0.05425802	0.08502886	0.09016927	-0.01098645	0.00055772	-0.00035901	0.06578183	0.05954665	0.08054581	0.04810286	0.02636196	-0.00143104
0.083333	0.10374417	0.10712908	0.09477410	0.00269008	-0.00534153	-0.00811900	0.10064927	0.07962569	0.08371695	0.01746028	0.00484305	-0.01040511	0.09731974	0.06000820	0.07392672	0.04284425	-0.00600361	0.01023621	0.06036064	0.12728618	0.10622623	-0.00091985	0.00672611	0.00038415	0.05411418	0.08506486	0.09009042	-0.01040159	0.00153833	-0.00333709	0.06642786	0.05991594	0.08048464	0.03518160	0.01616978	-0.00165746
0.100000	0.10379381	0.10700875	0.09463824	0.00095021	-0.00504526	-0.00445628	0.10091989	0.07956465	0.08361153	0.00944991	0.00291423	-0.00298688	0.09810596	0.05970363	0.07424104	0.02597361	-0.00923015	0.01018107	0.06033613	0.12738502	0.10620560	-0.00112486	0.00187539	-0.00002299	0.05392996	0.08514307	0.08996999	-0.00944415	0.00163057	-0.00513362	0.06706217	0.05995036	0.08052536	0.02235038	0.00216789	-0.00061374
0.116666	0.10379784	0.10691402	0.09460714	-0.00152317	-0.00470465	-0.00036985	0.10102671	0.07958994	0.08362179	0.00008512	-0.00012919	0.00374173	0.09850522	0.05943048	0.07446745	0.00911731	-0.01395714	0.00959654	0.06033338	0.12732236	0.10620979	-0.00145054	-0.00310504	0.00036124	0.05379608	0.08512305	0.08989804	-0.00796768	0.00137285	-0.00571678	0.06736227	0.05980260	0.08056986	0.00853035	-0.01311915	0.00126970
