Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11000707	0.10609727	0.09226634	0.00439552	-0.01348523	-0.00694732	0.10376274	0.07888258	0.08239866	0.01071793	-0.00229065	-0.02048013	0.09877652	0.05869585	0.07411885	0.03642663	0.00293021	-0.00330110	0.06645817	0.12617505	0.10687403	-0.00140839	-0.00725883	0.00414798	0.06476296	0.08539350	0.09038831	0.00603242	-0.01121656	0.00260436	0.06883925	0.05790662	0.08130834	0.03083692	0.00504341	-0.00386627
0.033333	0.11007709	0.10586758	0.09215210	0.00365899	-0.01257246	-0.00714767	0.10392507	0.07884756	0.08206018	0.00902097	-0.00250564	-0.01984798	0.09938984	0.05872529	0.07409506	0.03493323	-0.00021167	-0.00335255	0.06643898	0.12606050	0.10694445	-0.00210644	-0.00633361	0.00360714	0.06489176	0.08520457	0.09044531	0.00491405	-0.01061913	0.00197165	0.06936517	0.05798227	0.08125920	0.02903614	0.00223630	-0.00278012
0.050000	0.11014579	0.10567604	0.09204039	0.00292246	-0.01165968	-0.00734801	0.10409864	0.07881746	0.08173985	0.00732402	-0.00272063	-0.01921583	0.09994463	0.05877863	0.07400307	0.03343983	-0.00335356	-0.00340400	0.06639428	0.12594871	0.10700383	-0.00280448	-0.00540840	0.00306630	0.06493391	0.08504661	0.09045518	0.00379568	-0.01002170	0.00133895	0.06981856	0.05805887	0.08118486	0.02723537	-0.00057081	-0.00169397
0.066666	0.11019512	0.10545098	0.09189636	0.00246660	-0.01029976	-0.00661212	0.10423525	0.07874240	0.08137549	0.00560364	-0.00190564	-0.01731574	0.10055707	0.05870624	0.07392135	0.03058762	-0.00380398	-0.00242540	0.06635702	0.12584797	0.10705804	-0.00355167	-0.00451626	0.00280620	0.06500571	0.08483863	0.09049047	0.00336570	-0.00851497	0.00084881	0.07032242	0.05802760	0.08115803	0.02490314	-0.00073524	-0.00109021
0.083333	0.11022013	0.10529904	0.09178521	0.00177630	-0.00917949	-0.00601827	0.10429548	0.07870533	0.08111116	0.00358438	-0.00141282	-0.01538774	0.10103671	0.05853796	0.07389716	0.02754062	-0.00415511	-0.00178032	0.06629132	0.12578739	0.10709102	-0.00447741	-0.00371547	0.00253034	0.06503946	0.08471434	0.09049087	0.00255671	-0.00729661	0.00046421	0.07069018	0.05793043	0.08116794	0.02245759	-0.00099874	-0.00050426
0.100000	0.11023751	0.10517325	0.09168542	0.00102431	-0.00843998	-0.00529485	0.10430907	0.07870088	0.08086882	0.00168395	-0.00054006	-0.01325020	0.10146729	0.05841702	0.07389867	0.02424715	-0.00298583	-0.00077021	0.06620191	0.12576003	0.10712358	-0.00524922	-0.00327141	0.00247636	0.06508979	0.08461850	0.09049276	0.00203819	-0.00599949	0.00050169	0.07103615	0.05787468	0.08119132	0.01951754	-0.00014875	-0.00011012
0.116666	0.11025333	0.10506973	0.09163059	0.00037294	-0.00839512	-0.00502708	0.10430673	0.07870830	0.08070847	0.00037082	-0.00008296	-0.01153809	0.10178868	0.05838377	0.07390749	0.02151192	-0.00127066	-0.00006437	0.06609984	0.12571956	0.10716373	-0.00575578	-0.00333594	0.00262619	0.06512034	0.08455674	0.09048614	0.00148390	-0.00500040	0.00067376	0.07131363	0.05789968	0.08119223	0.01660473	0.00084540	0.00015009
