Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11453708	0.06140164	0.10743072	0.00034928	0.00332295	-0.03562689	0.11522989	0.04553790	0.08238599	0.00574498	0.04944881	-0.05175757	0.10466283	0.04926221	0.05897934	0.02496498	0.00843390	-0.05653059	0.06682957	0.04881004	0.12334241	0.01309091	-0.02932005	-0.02070979	0.06028464	0.04069786	0.07815368	0.05345649	-0.02554792	-0.02462878	0.08231574	0.05158146	0.05922171	0.00001326	-0.00741982	-0.05792041
0.033333	0.11456661	0.06148114	0.10681929	0.00152171	0.00085898	-0.03303780	0.11540093	0.04643798	0.08149555	0.00389905	0.04526157	-0.04988437	0.10514093	0.04947691	0.05798736	0.02233596	0.01142871	-0.05308202	0.06706873	0.04835449	0.12298650	0.01119044	-0.02913148	-0.02014705	0.06120107	0.04033405	0.07769383	0.05005536	-0.02335140	-0.02305770	0.08236503	0.05148133	0.05819510	-0.00074432	-0.00536153	-0.05179266
0.050000	0.11456424	0.06148712	0.10626727	0.00269414	-0.00160499	-0.03044871	0.11540584	0.04714550	0.08067823	0.00205313	0.04107432	-0.04801118	0.10548384	0.04958501	0.05713511	0.01970694	0.01442352	-0.04963345	0.06724282	0.04784308	0.12266210	0.00928998	-0.02894290	-0.01958430	0.06202760	0.03988818	0.07735606	0.04665423	-0.02115489	-0.02148663	0.08231899	0.05136224	0.05736189	-0.00150189	-0.00330325	-0.04566490
0.066666	0.11458406	0.06141242	0.10576755	0.00437153	-0.00189624	-0.03032421	0.11533745	0.04776009	0.07987539	0.00427352	0.04259937	-0.04873593	0.10572357	0.04975773	0.05633348	0.02189328	0.01972823	-0.05013866	0.06739362	0.04728605	0.12232378	0.00921305	-0.02671485	-0.01967505	0.06280711	0.03943255	0.07702467	0.04588924	-0.01598661	-0.02254413	0.08222156	0.05126627	0.05663586	0.00105512	-0.00082428	-0.04527635
0.083333	0.11468697	0.06136901	0.10536252	0.00541756	-0.00451704	-0.02988108	0.11542519	0.04835160	0.07918077	0.00250102	0.04148206	-0.04986027	0.10602561	0.05013397	0.05561443	0.02053243	0.02483437	-0.04960017	0.06747817	0.04690130	0.12203939	0.00869527	-0.02598969	-0.02023962	0.06344534	0.03924476	0.07669725	0.04393260	-0.01230724	-0.02277424	0.08223332	0.05132244	0.05606191	0.00160069	0.00168870	-0.04337045
0.100000	0.11483543	0.06130587	0.10485239	0.00513291	-0.00667323	-0.03042691	0.11557540	0.04913371	0.07831150	-0.00068382	0.04157238	-0.05181855	0.10648169	0.05070535	0.05474593	0.01774340	0.02974196	-0.04994819	0.06763765	0.04650990	0.12169407	0.00836808	-0.02481843	-0.02082244	0.06420247	0.03916677	0.07626620	0.04139883	-0.00916058	-0.02341537	0.08234130	0.05140134	0.05531415	0.00091244	0.00465240	-0.04348467
0.116666	0.11498019	0.06121809	0.10434090	0.00278414	-0.00823829	-0.03171341	0.11568798	0.04990366	0.07742961	-0.00649008	0.04147010	-0.05380443	0.10690305	0.05132214	0.05387403	0.01309191	0.03214557	-0.04972478	0.06779189	0.04617646	0.12134366	0.00750258	-0.02389645	-0.02139864	0.06491089	0.03917450	0.07583385	0.03775318	-0.00791009	-0.02338501	0.08247679	0.05152681	0.05456813	-0.00202195	0.00675985	-0.04431802
