Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10956848	0.09558041	0.10456689	0.01084347	0.00247118	-0.01452124	0.09773317	0.07512601	0.09170002	0.01033858	-0.00789362	-0.00988070	0.09261584	0.06330776	0.07829086	0.01098101	-0.00338334	-0.01160935	0.07776825	0.10190082	0.13473588	0.00439325	-0.00103493	-0.01033884	0.06207989	0.07741897	0.11291592	0.00166655	-0.01989741	0.00408264	0.05974646	0.06829389	0.08108419	0.03564639	0.01664604	-0.02113455
0.033333	0.10970330	0.09560046	0.10436014	0.01119648	0.00072889	-0.01832425	0.09786385	0.07498951	0.09156870	0.01359774	-0.01429869	-0.01131025	0.09273253	0.06326433	0.07812188	0.01263169	-0.01066048	-0.01259928	0.07780869	0.10185225	0.13457739	0.00800732	-0.00040122	-0.01115803	0.06207281	0.07716808	0.11292374	0.00809919	-0.02137260	0.00613446	0.06022063	0.06851094	0.08073312	0.04073286	0.01727349	-0.01857303
0.050000	0.10993378	0.09564301	0.10404172	0.01154949	-0.00101339	-0.02212727	0.09811563	0.07478578	0.09136099	0.01685689	-0.02070376	-0.01273980	0.09299941	0.06311181	0.07789384	0.01428237	-0.01793762	-0.01358921	0.07795096	0.10186860	0.13438541	0.01162139	0.00023250	-0.01197723	0.06219071	0.07675505	0.11306587	0.01453182	-0.02284778	0.00818628	0.06097196	0.06886581	0.08040170	0.04581933	0.01790095	-0.01601151
0.066666	0.11018702	0.09564345	0.10360827	0.00966117	-0.00241124	-0.02160796	0.09845793	0.07442262	0.09109115	0.01611843	-0.02360618	-0.01129881	0.09331315	0.06275886	0.07763344	0.01173855	-0.02025292	-0.01262700	0.07820718	0.10192433	0.13415524	0.01107820	-0.00109781	-0.01120006	0.06251706	0.07627730	0.11326969	0.01380965	-0.01820631	0.00556829	0.06192191	0.06923350	0.08012509	0.04042492	0.01647214	-0.01535910
0.083333	0.11031592	0.09555620	0.10320342	0.00886455	-0.00358017	-0.02183990	0.09876155	0.07392306	0.09089424	0.01658197	-0.02756867	-0.01027178	0.09352354	0.06231932	0.07741446	0.01034435	-0.02462544	-0.01147550	0.07844073	0.10189123	0.13396581	0.01147286	-0.00138768	-0.01052637	0.06288882	0.07591338	0.11342682	0.01486073	-0.01414048	0.00387096	0.06266010	0.06944422	0.07998133	0.03755964	0.01695982	-0.01442453
0.100000	0.11041607	0.09543578	0.10280378	0.00720068	-0.00461696	-0.01897890	0.09904960	0.07333627	0.09073824	0.01533969	-0.02883446	-0.00712994	0.09363876	0.06179658	0.07722501	0.00789243	-0.02605508	-0.00846438	0.07865623	0.10183271	0.13378507	0.00963505	-0.00250530	-0.00854287	0.06317738	0.07577670	0.11342413	0.01356249	-0.00887025	0.00110377	0.06321047	0.06967439	0.07974914	0.03055572	0.01575495	-0.01291060
0.116666	0.11048115	0.09534956	0.10252639	0.00583852	-0.00541805	-0.01439816	0.09924407	0.07283980	0.09065222	0.01359703	-0.02773497	-0.00306540	0.09367699	0.06137809	0.07709787	0.00638163	-0.02504832	-0.00468927	0.07876970	0.10175206	0.13366751	0.00701490	-0.00416269	-0.00547717	0.06328908	0.07578259	0.11334832	0.01119607	-0.00538802	-0.00074867	0.06350880	0.06990640	0.07951122	0.02274670	0.01329759	-0.01046259
