Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11049357	0.09221371	0.11409499	0.00428455	0.00498282	-0.01853559	0.09798102	0.07544664	0.09901141	0.00014652	-0.00090514	-0.01243999	0.09216257	0.06677669	0.08304486	0.00291654	-0.00767517	-0.00904146	0.07760172	0.08726633	0.14044857	-0.00331310	-0.00180726	-0.00686000	0.06097934	0.06945324	0.11338106	-0.00677784	0.00424133	-0.00550351	0.06008724	0.06276784	0.08140326	-0.00101602	0.00951145	-0.00880006
0.033333	0.11055739	0.09228282	0.11380545	-0.00015467	0.00287735	-0.02381029	0.09800848	0.07539819	0.09881802	-0.00155636	-0.00402378	-0.01696392	0.09224893	0.06662394	0.08290033	0.00533270	-0.01233083	-0.01226065	0.07754771	0.08722677	0.14035951	-0.00579583	-0.00110507	-0.00979815	0.06091211	0.06950452	0.11330877	-0.01177707	0.00276023	-0.00635194	0.06010478	0.06289919	0.08129558	0.00340117	0.01235207	-0.01019243
0.050000	0.11059259	0.09235432	0.11341500	-0.00459390	0.00077188	-0.02908498	0.09797691	0.07536779	0.09854443	-0.00325923	-0.00714242	-0.02148786	0.09229116	0.06645917	0.08270608	0.00774886	-0.01698650	-0.01547983	0.07746534	0.08721024	0.14019126	-0.00827856	-0.00040289	-0.01273630	0.06070632	0.06956455	0.11319409	-0.01677630	0.00127912	-0.00720038	0.06011574	0.06310901	0.08110609	0.00781835	0.01519269	-0.01158480
0.066666	0.11051771	0.09237689	0.11287679	-0.00546171	-0.00057288	-0.03081621	0.09790384	0.07529238	0.09813707	-0.00178308	-0.01115591	-0.02285858	0.09240924	0.06620348	0.08241030	0.01061585	-0.02058972	-0.01687578	0.07732225	0.08722354	0.13993241	-0.00846453	-0.00043947	-0.01261746	0.06034205	0.06960067	0.11305051	-0.01636964	-0.00142474	-0.00599986	0.06023081	0.06344585	0.08083761	0.01172566	0.01506551	-0.00959806
0.083333	0.11028083	0.09232035	0.11231442	-0.00538292	-0.00188232	-0.03462943	0.09777544	0.07505758	0.09771885	0.00014395	-0.01516885	-0.02613901	0.09258972	0.06576504	0.08211932	0.01347271	-0.02417123	-0.01992587	0.07710560	0.08722056	0.13967812	-0.00789671	0.00042457	-0.01396073	0.05999402	0.06960324	0.11291220	-0.01819286	-0.00458294	-0.00501270	0.06046449	0.06367601	0.08067501	0.01579501	0.01752175	-0.00936713
0.100000	0.11010419	0.09222864	0.11167029	-0.00295670	-0.00289222	-0.03610528	0.09780512	0.07469588	0.09721921	0.00336212	-0.01880429	-0.02748653	0.09293250	0.06523978	0.08173753	0.01495863	-0.02652935	-0.02152418	0.07692199	0.08721058	0.13944268	-0.00545765	0.00092119	-0.01436187	0.05968851	0.06945064	0.11285047	-0.01739542	-0.00689871	-0.00378621	0.06088904	0.06397220	0.08056339	0.01793997	0.01812823	-0.00876251
0.116666	0.11007357	0.09217602	0.11106610	0.00142169	-0.00378964	-0.03552737	0.09790918	0.07428841	0.09677397	0.00717971	-0.02218699	-0.02660426	0.09324478	0.06473621	0.08136901	0.01445280	-0.02811391	-0.02133251	0.07684477	0.08722523	0.13924199	-0.00155558	0.00043288	-0.01419811	0.05944917	0.06925930	0.11284087	-0.01452981	-0.00826161	-0.00277178	0.06125326	0.06424745	0.08050793	0.01788182	0.01657116	-0.00855490
