Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.10861883	0.09077448	0.10554907	0.00051074	0.00242718	0.00547001	0.09091720	0.08011249	0.09700996	-0.00506899	-0.00207786	0.01462994	0.08873639	0.06707401	0.08630555	-0.00313987	-0.00261382	0.01657343	0.08069779	0.08699716	0.13257676	0.00524068	-0.00447625	0.00879850	0.05667982	0.06576320	0.11676747	-0.00274659	-0.00083104	0.02000794	0.05824828	0.06504391	0.08219008	-0.00518443	-0.00771395	0.02205407
0.016667	0.10861325	0.09081297	0.10563070	0.00162766	0.00315161	0.00449741	0.09082051	0.08006785	0.09723480	-0.00264959	-0.00101455	0.01226423	0.08866214	0.06702068	0.08655441	0.00007018	-0.00083462	0.01333577	0.08076005	0.08691747	0.13270922	0.00617223	-0.00361362	0.00800061	0.05660478	0.06573568	0.11706524	-0.00060786	0.00085295	0.01766689	0.05813129	0.06491715	0.08253675	-0.00263472	-0.00406647	0.01986318
0.033333	0.10864647	0.09085965	0.10572039	0.00274458	0.00387603	0.00352481	0.09077409	0.08005212	0.09746849	-0.00023019	0.00004876	0.00989851	0.08866652	0.06700493	0.08681671	0.00328024	0.00094459	0.01009811	0.08088242	0.08685521	0.13286059	0.00710378	-0.00275099	0.00720273	0.05661199	0.06575065	0.11740261	0.00153088	0.00253693	0.01532583	0.05810335	0.06483237	0.08289751	-0.00008501	-0.00041899	0.01767229
0.050000	0.10871165	0.09093349	0.10578648	0.00255806	0.00382078	0.00247208	0.09079133	0.08006960	0.09764921	0.00042863	-0.00003841	0.00731467	0.08875520	0.06703943	0.08700836	0.00440186	0.00160929	0.00630452	0.08102940	0.08682044	0.13299103	0.00634054	-0.00293129	0.00615636	0.05667721	0.06581670	0.11769077	0.00152534	0.00244399	0.01176444	0.05814243	0.06482778	0.08320531	-0.00019683	0.00210226	0.01509311
0.066666	0.10877518	0.09101707	0.10580830	0.00284699	0.00394912	0.00081770	0.09084128	0.08009133	0.09773134	0.00203040	0.00015240	0.00317146	0.08887335	0.06709190	0.08706535	0.00747743	0.00324139	0.00035431	0.08114801	0.08679328	0.13307962	0.00600076	-0.00309577	0.00477159	0.05672397	0.06589191	0.11785569	0.00291602	0.00268889	0.00657244	0.05817692	0.06492059	0.08343127	0.00106391	0.00639031	0.01107608
0.083333	0.10881518	0.09108519	0.10580516	0.00240118	0.00378480	-0.00117448	0.09088577	0.08009084	0.09774543	0.00296266	-0.00029057	-0.00219052	0.08899196	0.06714536	0.08701450	0.00969146	0.00442492	-0.00731855	0.08122955	0.08674918	0.13313121	0.00496464	-0.00408133	0.00286729	0.05675654	0.06593982	0.11790125	0.00410856	0.00144136	-0.00059471	0.05818370	0.06506872	0.08356943	0.00129005	0.01030695	0.00631760
0.100000	0.10884770	0.09113994	0.10577265	0.00124831	0.00321062	-0.00287642	0.09093694	0.08008405	0.09768087	0.00337945	-0.00125789	-0.00783599	0.08917401	0.06723401	0.08684342	0.01119335	0.00532059	-0.01557744	0.08128774	0.08667178	0.13317153	0.00406494	-0.00607944	0.00098616	0.05680650	0.06596423	0.11784811	0.00640369	-0.00131798	-0.00862919	0.05818269	0.06527619	0.08363893	0.00153002	0.01309840	0.00165810
0.116666	0.10886951	0.09118363	0.10570672	-0.00030946	0.00238956	-0.00425825	0.09098220	0.08004651	0.09751966	0.00371718	-0.00242495	-0.01358861	0.08938500	0.06732354	0.08654209	0.01265207	0.00604434	-0.02378060	0.08134100	0.08656394	0.13318151	0.00366306	-0.00885140	-0.00072390	0.05689871	0.06593388	0.11766527	0.01046999	-0.00519613	-0.01719620	0.05821031	0.06553098	0.08362150	0.00289322	0.01409041	-0.00338839
