Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.10444331	0.08814649	0.11181710	-0.00377124	0.00173100	-0.00514278	0.09131973	0.07578985	0.09638391	0.00672138	-0.00128896	-0.01048338	0.08796262	0.06493278	0.08113744	0.00616814	-0.00570609	-0.01001783	0.07253373	0.08228313	0.13374317	0.00682517	-0.00184332	-0.00533389	0.05581547	0.05765592	0.10806941	0.01777110	-0.00758642	-0.01062170	0.05960775	0.06459332	0.07904020	0.00967836	-0.00552392	-0.00429055
0.016667	0.10436285	0.08816984	0.11174463	-0.00368179	0.00037909	-0.00699590	0.09140455	0.07574737	0.09623402	0.00759783	-0.00099108	-0.01394821	0.08802460	0.06480210	0.08100765	0.00816535	-0.00622476	-0.01377767	0.07262906	0.08224214	0.13366708	0.00663179	-0.00228190	-0.00737476	0.05609129	0.05749372	0.10793540	0.01956914	-0.00618442	-0.01517041	0.05975567	0.06448687	0.07899921	0.01041707	-0.00518272	-0.00696081
0.033333	0.10431758	0.08818675	0.11162817	-0.00359235	-0.00097283	-0.00884902	0.09154852	0.07574617	0.09600110	0.00847429	-0.00069320	-0.01741304	0.08818153	0.06472988	0.08076871	0.01016256	-0.00674344	-0.01753751	0.07275780	0.08221463	0.13354585	0.00643841	-0.00272048	-0.00941563	0.05642769	0.05740688	0.10767473	0.02136718	-0.00478242	-0.01971912	0.05993444	0.06440225	0.07887232	0.01115578	-0.00484152	-0.00963107
0.050000	0.10427492	0.08817557	0.11146247	-0.00445252	-0.00186422	-0.00870693	0.09173104	0.07576683	0.09567089	0.00710814	-0.00144952	-0.01695859	0.08841824	0.06467270	0.08042131	0.00818997	-0.00866897	-0.01652985	0.07288396	0.08218408	0.13336845	0.00550358	-0.00348238	-0.00924643	0.05680905	0.05739339	0.10728323	0.02088959	-0.00644325	-0.01848068	0.06015034	0.06435990	0.07866592	0.01037980	-0.00642723	-0.00891052
0.066666	0.10420426	0.08811700	0.11126717	-0.00495700	-0.00270938	-0.00877097	0.09186113	0.07573388	0.09530491	0.00631246	-0.00132748	-0.01692246	0.08858700	0.06448898	0.08005584	0.00719919	-0.00950106	-0.01625097	0.07296935	0.08211138	0.13316219	0.00483399	-0.00406628	-0.00941064	0.05719534	0.05729895	0.10685591	0.02067293	-0.00682629	-0.01786101	0.06032672	0.06426049	0.07846324	0.00961021	-0.00779770	-0.00884585
0.083333	0.10409542	0.08803726	0.11111449	-0.00551423	-0.00296765	-0.00817552	0.09194237	0.07567592	0.09500101	0.00489639	-0.00129764	-0.01540518	0.08868201	0.06426364	0.07977941	0.00530036	-0.01019735	-0.01443787	0.07301880	0.08202115	0.13299346	0.00395713	-0.00468159	-0.00882242	0.05754745	0.05714266	0.10655162	0.01961446	-0.00782290	-0.01525509	0.06048962	0.06411410	0.07831753	0.00812597	-0.00929698	-0.00730804
0.100000	0.10397366	0.08797248	0.11099873	-0.00585957	-0.00251290	-0.00770564	0.09197138	0.07563576	0.09479601	0.00402262	-0.00061527	-0.01390716	0.08867852	0.06404707	0.07961188	0.00410085	-0.00952616	-0.01281706	0.07306451	0.08192668	0.13287644	0.00328300	-0.00504231	-0.00819545	0.05783815	0.05695098	0.10638057	0.01873536	-0.00811114	-0.01294428	0.06059797	0.06389434	0.07823561	0.00691690	-0.00997100	-0.00602158
0.116666	0.10388073	0.08794761	0.11092585	-0.00600877	-0.00149519	-0.00810481	0.09202291	0.07563855	0.09465025	0.00375585	0.00058212	-0.01358034	0.08871161	0.06391104	0.07948749	0.00410693	-0.00750262	-0.01266898	0.07312464	0.08185287	0.13278389	0.00278586	-0.00515798	-0.00818338	0.05810877	0.05680341	0.10629422	0.01834124	-0.00752063	-0.01244800	0.06067892	0.06369501	0.07819141	0.00629299	-0.00961058	-0.00614489
