Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11137039	0.08643583	0.10828236	-0.00033520	0.00217088	-0.00275050	0.09905624	0.06763131	0.09569698	0.00479838	-0.00429978	-0.00418538	0.08952632	0.05638508	0.08585308	0.00832099	0.00319493	-0.00467652	0.08059822	0.09946042	0.14241976	0.00590912	-0.00942744	0.00091993	0.06168270	0.07060108	0.12250284	0.00604218	-0.00137203	-0.00716216	0.07012503	0.05703992	0.09117638	0.00882733	0.00729268	-0.00619608
0.033333	0.11135657	0.08648448	0.10823688	0.00054226	0.00026420	-0.00180044	0.09912492	0.06757329	0.09563806	0.00560338	-0.00687542	-0.00281298	0.08964716	0.05643656	0.08579039	0.00831153	0.00162878	-0.00391313	0.08068202	0.09932790	0.14243294	0.00656429	-0.01281900	0.00226379	0.06175170	0.07060285	0.12240028	0.00732615	-0.00250922	-0.00656898	0.07023576	0.05716301	0.09107742	0.00993047	0.00460481	-0.00537807
0.050000	0.11136892	0.08649318	0.10820049	0.00141971	-0.00164249	-0.00085038	0.09922682	0.06746422	0.09557282	0.00640838	-0.00945106	-0.00144058	0.08980564	0.05648293	0.08570456	0.00830207	0.00006262	-0.00314975	0.08079597	0.09911470	0.14246315	0.00721946	-0.01621055	0.00360766	0.06189483	0.07055101	0.12226925	0.00861011	-0.00364640	-0.00597580	0.07043183	0.05725636	0.09097700	0.01103361	0.00191695	-0.00456007
0.066666	0.11140074	0.08643539	0.10819321	0.00116460	-0.00141986	-0.00034124	0.09933966	0.06727818	0.09554531	0.00612936	-0.00946436	-0.00035387	0.08995449	0.05646320	0.08564392	0.00744297	0.00005905	-0.00210476	0.08093679	0.09879419	0.14253749	0.00616691	-0.01585427	0.00390129	0.06208194	0.07045038	0.12216427	0.00722828	-0.00247211	-0.00492549	0.07064646	0.05726705	0.09090552	0.00954647	0.00110226	-0.00394502
0.083333	0.11144570	0.08637433	0.10819878	0.00086021	-0.00174881	0.00060968	0.09946747	0.06706367	0.09556295	0.00578871	-0.00984349	0.00102181	0.09008322	0.05642909	0.08562122	0.00664691	-0.00005452	-0.00090886	0.08107213	0.09846839	0.14262277	0.00508027	-0.01625190	0.00466207	0.06222335	0.07038188	0.12208276	0.00590824	-0.00152920	-0.00360412	0.07084114	0.05724071	0.09084927	0.00811003	-0.00025161	-0.00284438
0.100000	0.11146683	0.08633875	0.10822010	-0.00009287	-0.00078466	0.00110861	0.09956581	0.06688077	0.09561509	0.00473386	-0.00845890	0.00192468	0.09017378	0.05640610	0.08563454	0.00549691	0.00089331	0.00003815	0.08114018	0.09817629	0.14271680	0.00323066	-0.01431188	0.00472637	0.06230836	0.07037993	0.12205181	0.00288139	0.00095979	-0.00231368	0.07094964	0.05719657	0.09081240	0.00537062	-0.00025699	-0.00192785
0.116666	0.11144815	0.08634266	0.10824912	-0.00152369	0.00126768	0.00106350	0.09963056	0.06675068	0.09566476	0.00325461	-0.00592033	0.00190792	0.09023824	0.05643043	0.08566115	0.00420952	0.00279305	0.00023399	0.08116041	0.09797046	0.14279112	0.00107170	-0.01087622	0.00409381	0.06232014	0.07041761	0.12203711	-0.00049329	0.00411859	-0.00169099	0.07099277	0.05718759	0.09079312	0.00246325	0.00085634	-0.00155006
