Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10981655	0.09011994	0.11034438	0.01296585	-0.00087880	0.00134495	0.09848437	0.07412107	0.09808011	0.00064105	0.00190281	0.00078488	0.08887886	0.06228245	0.08795626	-0.00921357	0.01012931	-0.00392535	0.07884853	0.10650482	0.14006416	-0.00324113	-0.00122011	-0.00155971	0.06073012	0.07584891	0.12157803	-0.01216807	0.01045142	-0.00882070	0.06834300	0.05568700	0.09156797	-0.01841035	-0.00260514	-0.00521535
0.033333	0.11002821	0.09010687	0.11036706	0.01199086	-0.00212745	0.00102148	0.09849255	0.07417028	0.09808486	0.00197881	-0.00004806	0.00058115	0.08869688	0.06248891	0.08787739	-0.00521111	0.00685005	-0.00364335	0.07879194	0.10649215	0.14003302	-0.00237019	-0.00203960	-0.00080154	0.06048911	0.07604085	0.12142845	-0.00837422	0.00774692	-0.00809404	0.06802072	0.05570555	0.09145499	-0.01296138	-0.00431927	-0.00409709
0.050000	0.11024068	0.09007759	0.11038421	0.01101588	-0.00337609	0.00069801	0.09851780	0.07415885	0.09810596	0.00331656	-0.00199892	0.00037741	0.08862124	0.06257778	0.08783081	-0.00120864	0.00357080	-0.00336134	0.07875418	0.10645486	0.14001873	-0.00149925	-0.00285910	-0.00004336	0.06037136	0.07616232	0.12129278	-0.00458037	0.00504242	-0.00736739	0.06778436	0.05556158	0.09141556	-0.00751241	-0.00603339	-0.00297883
0.066666	0.11042041	0.09001236	0.11039732	0.01037628	-0.00396514	0.00049811	0.09858655	0.07410816	0.09811368	0.00355897	-0.00264940	0.00000831	0.08863711	0.06259666	0.08778352	-0.00009149	0.00276779	-0.00358892	0.07873072	0.10639888	0.14002755	-0.00090618	-0.00307408	0.00006966	0.06033963	0.07622549	0.12117317	-0.00378074	0.00356717	-0.00681124	0.06770969	0.05543468	0.09137438	-0.00567181	-0.00526341	-0.00280106
0.083333	0.11057537	0.08992837	0.11039917	0.00896919	-0.00502413	0.00030827	0.09867039	0.07403899	0.09811279	0.00409858	-0.00437410	-0.00035335	0.08869173	0.06260817	0.08772609	0.00269295	-0.00021149	-0.00323185	0.07872231	0.10633349	0.14004378	0.00015982	-0.00366101	0.00078008	0.06032470	0.07625812	0.12106873	-0.00059970	-0.00020616	-0.00502078	0.06769701	0.05532630	0.09134412	-0.00095129	-0.00454854	-0.00153356
0.100000	0.11071875	0.08983227	0.11039732	0.00740684	-0.00575295	0.00027035	0.09875413	0.07396578	0.09809367	0.00419697	-0.00546089	-0.00069831	0.08875617	0.06261915	0.08765357	0.00406762	-0.00214794	-0.00268777	0.07873743	0.10627579	0.14005074	0.00104499	-0.00381847	0.00147433	0.06030541	0.07626027	0.12097450	0.00146429	-0.00403503	-0.00232083	0.06771389	0.05527646	0.09129512	0.00261043	-0.00156254	-0.00007443
0.116666	0.11083943	0.08972633	0.11039808	0.00609370	-0.00621634	0.00013810	0.09881815	0.07386631	0.09807241	0.00433264	-0.00598876	-0.00117988	0.08882841	0.06257647	0.08759363	0.00502033	-0.00331886	-0.00211635	0.07876091	0.10620385	0.14006895	0.00190069	-0.00341838	0.00189588	0.06032368	0.07617790	0.12092552	0.00309441	-0.00754300	0.00081621	0.06775332	0.05525093	0.09128243	0.00539558	0.00253727	0.00144978
