Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11746080	0.07641412	0.10363568	0.00233342	-0.00099067	0.00442402	0.10300845	0.06840214	0.09119355	0.00108194	0.00285757	0.00897575	0.09374365	0.05893322	0.08043195	0.00133392	-0.00765593	0.01443593	0.08757438	0.06622368	0.13507579	0.00199121	0.00350100	0.00742163	0.06146224	0.05310357	0.10762274	-0.01093863	0.01403807	0.01091883	0.07229619	0.05770199	0.07540189	0.00296002	-0.00109204	0.01572474
0.033333	0.11750298	0.07639861	0.10371187	0.00100561	-0.00102081	0.00465142	0.10305510	0.06845657	0.09133320	-0.00165515	0.00181430	0.00988554	0.09380159	0.05883345	0.08064976	-0.00221037	-0.00830728	0.01590109	0.08761781	0.06627032	0.13519888	-0.00050806	0.00526453	0.00792685	0.06133115	0.05333523	0.10778170	-0.01536666	0.01539829	0.01362165	0.07238393	0.05770115	0.07563774	-0.00115537	-0.00158631	0.01786157
0.050000	0.11752138	0.07638058	0.10379218	-0.00032220	-0.00105095	0.00487881	0.10300540	0.06847993	0.09151653	-0.00439225	0.00077103	0.01079534	0.09373505	0.05866335	0.08094170	-0.00575467	-0.00895863	0.01736625	0.08761147	0.06635481	0.13532771	-0.00300733	0.00702805	0.00843208	0.06104267	0.05357843	0.10802604	-0.01979469	0.01675851	0.01632447	0.07233919	0.05765200	0.07596258	-0.00527075	-0.00208058	0.01999841
0.066666	0.11751372	0.07636198	0.10386297	-0.00075322	-0.00111498	0.00569476	0.10292368	0.06849909	0.09168141	-0.00469996	0.00019062	0.01203322	0.09363231	0.05851311	0.08122706	-0.00649481	-0.00851582	0.01817684	0.08754149	0.06649850	0.13547288	-0.00364801	0.00653724	0.00846978	0.06065872	0.05389874	0.10830560	-0.01969483	0.01679412	0.01696057	0.07223757	0.05763315	0.07629624	-0.00588662	-0.00197406	0.02074842
0.083333	0.11747274	0.07634521	0.10395095	-0.00097715	-0.00147153	0.00658340	0.10277377	0.06847537	0.09189062	-0.00495700	-0.00061222	0.01348166	0.09343730	0.05833844	0.08155940	-0.00731493	-0.00826779	0.01951360	0.08744203	0.06664852	0.13562480	-0.00475416	0.00601898	0.00855017	0.06025531	0.05416825	0.10864784	-0.02076094	0.01770936	0.01790303	0.07203150	0.05755727	0.07668792	-0.00675714	-0.00146455	0.02166842
0.100000	0.11743059	0.07632571	0.10407396	-0.00040196	-0.00210264	0.00731534	0.10267697	0.06845782	0.09212359	-0.00381900	-0.00141271	0.01450321	0.09329486	0.05823120	0.08187610	-0.00649079	-0.00805167	0.02018720	0.08733068	0.06676567	0.13577507	-0.00455329	0.00425218	0.00824857	0.05989988	0.05448169	0.10896703	-0.01973488	0.01739550	0.01761574	0.07190233	0.05754871	0.07705622	-0.00562532	-0.00084635	0.02123484
0.116666	0.11741693	0.07629395	0.10422523	0.00067298	-0.00292384	0.00762633	0.10261478	0.06842897	0.09241293	-0.00219774	-0.00258503	0.01545938	0.09317824	0.05811458	0.08224285	-0.00553402	-0.00845184	0.02084472	0.08725238	0.06680772	0.13590972	-0.00356467	0.00210230	0.00770669	0.05960373	0.05476784	0.10926197	-0.01887648	0.01623732	0.01749631	0.07180618	0.05753582	0.07743774	-0.00414332	-0.00068648	0.02080404
