Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11627921	0.06099665	0.07945978	0.00663760	0.02130429	-0.00894926	0.09333725	0.06803755	0.06624845	0.01637961	0.04718978	-0.01260230	0.07881221	0.06614231	0.05810694	0.01980778	0.06308138	-0.01208711	0.11394973	0.09919600	0.11425983	0.00208230	0.00856246	-0.01870632	0.08380045	0.10349043	0.09241405	0.01132854	0.01383917	-0.02200244	0.06400907	0.09249361	0.06421246	-0.00044007	0.04034763	-0.01605461
0.033333	0.11635690	0.06134299	0.07928617	0.00677596	0.01712206	-0.00359440	0.09359959	0.06886812	0.06601668	0.01266030	0.03472178	-0.00627863	0.07913396	0.06729063	0.05788108	0.01518941	0.04467908	-0.00584221	0.11397562	0.09928936	0.11395232	0.00408949	0.01147789	-0.01352353	0.08398208	0.10372631	0.09205417	0.00655490	0.01413418	-0.01457116	0.06389370	0.09328827	0.06400168	0.00742215	0.02641808	-0.01511006
0.050000	0.11650831	0.06164667	0.07922988	0.00691432	0.01293983	0.00176047	0.09384526	0.06943590	0.06590291	0.00894099	0.02225378	0.00004504	0.07941400	0.06798752	0.05778330	0.01057104	0.02627678	0.00040269	0.11404488	0.09951349	0.11370417	0.00609669	0.01439331	-0.00834073	0.08413360	0.10396180	0.09177060	0.00178125	0.01442919	-0.00713988	0.06409527	0.09364822	0.06369189	0.01528437	0.01248853	-0.01416551
0.066666	0.11663630	0.06187573	0.07930162	0.00617317	0.00855347	0.00393392	0.09397048	0.06976804	0.06595641	0.00652152	0.01371154	0.00249968	0.07957014	0.06833771	0.05784126	0.00671062	0.01524369	0.00299421	0.11416506	0.09982051	0.11358009	0.00704243	0.01346396	-0.00442414	0.08411267	0.10420340	0.09169556	-0.00001878	0.01518133	-0.00219342	0.06447720	0.09375414	0.06341447	0.01542876	0.00774614	-0.01034856
0.083333	0.11674464	0.06197487	0.07942241	0.00595784	0.00099931	0.00748462	0.09404368	0.06986507	0.06607135	0.00200414	-0.00345418	0.00665559	0.07966228	0.06839988	0.05794842	-0.00007059	-0.00796794	0.00654843	0.11429490	0.10007363	0.11354882	0.00884626	0.01359535	0.00163753	0.08406593	0.10442592	0.09170737	-0.00401279	0.01473980	0.00605016	0.06480713	0.09368680	0.06322350	0.02083872	-0.00475714	-0.00674999
0.100000	0.11679629	0.06194704	0.07961465	0.00543027	-0.00762158	0.00717930	0.09402335	0.06973404	0.06626133	-0.00224826	-0.02180164	0.00664848	0.07958999	0.06818800	0.05815518	-0.00672947	-0.03098452	0.00476152	0.11446515	0.10028703	0.11366310	0.00900589	0.01064107	0.00539972	0.08392017	0.10472349	0.09193532	-0.00704180	0.01087249	0.01105078	0.06512061	0.09359498	0.06321092	0.02365502	-0.01571904	-0.00372940
0.116666	0.11687666	0.06174696	0.07979647	0.00469105	-0.01552985	0.00406412	0.09395985	0.06927931	0.06643414	-0.00564030	-0.03921890	0.00366555	0.07941449	0.06754509	0.05832695	-0.01264994	-0.05189458	-0.00048502	0.11464417	0.10044586	0.11384708	0.00700685	0.00607605	0.00638827	0.08382308	0.10498872	0.09222121	-0.00888292	0.00441236	0.01207997	0.06543834	0.09334014	0.06327929	0.02469609	-0.02636190	-0.00229125
