Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11938619	0.06309550	0.07779326	0.00595598	0.01106576	0.02811733	0.09823117	0.06997358	0.06341501	-0.00934381	0.00739555	0.04748441	0.08518365	0.06772702	0.05435534	-0.00467600	-0.01972735	0.05052385	0.11149632	0.09497938	0.11717267	0.01384226	0.01055096	0.02909992	0.08267393	0.09995994	0.09453112	0.00343928	0.01828633	0.02885204	0.06898171	0.08984048	0.06082685	-0.00086919	0.02301471	0.03441764
0.033333	0.11949139	0.06334201	0.07829909	0.00596548	0.01093429	0.02554367	0.09810220	0.07016874	0.06428800	-0.00935536	0.01087327	0.04640665	0.08525867	0.06726130	0.05521496	-0.01173784	-0.00289881	0.05408048	0.11173666	0.09519274	0.11776269	0.01394486	0.01371441	0.02261737	0.08274705	0.10026303	0.09506994	0.00399785	0.03568291	0.02679582	0.06900184	0.09028524	0.06143476	-0.00155256	0.03276533	0.03388012
0.050000	0.11959144	0.06343744	0.07868636	0.00597498	0.01080283	0.02297001	0.09795468	0.07022855	0.06493336	-0.00936691	0.01435099	0.04532888	0.08495665	0.06731313	0.05604597	-0.01879968	0.01392974	0.05763710	0.11195984	0.09536745	0.11802207	0.01404746	0.01687787	0.01613482	0.08281671	0.10080545	0.09542450	0.00455642	0.05307949	0.02473960	0.06897312	0.09071593	0.06192671	-0.00223593	0.04251594	0.03334260
0.066666	0.11967198	0.06361202	0.07907636	0.00682807	0.01250235	0.02230351	0.09770643	0.07048571	0.06573188	-0.00569510	0.01797333	0.04494871	0.08445240	0.06767778	0.05709563	-0.01494607	0.02046202	0.05802392	0.11220046	0.09564482	0.11825217	0.01458848	0.02116368	0.01408765	0.08284402	0.10176835	0.09587879	0.00666617	0.06496944	0.02335785	0.06884172	0.09146160	0.06256051	0.00060223	0.04991045	0.03188975
0.083333	0.11978421	0.06381295	0.07936850	0.00745609	0.01549869	0.02085925	0.09760218	0.07082351	0.06644119	-0.00391906	0.02447220	0.04497121	0.08411055	0.06817272	0.05807816	-0.01633837	0.03432187	0.06078530	0.11241246	0.09599820	0.11842331	0.01541949	0.02731103	0.00930380	0.08295425	0.10295004	0.09621722	0.00712431	0.08243649	0.02293756	0.06885143	0.09236002	0.06303209	0.00093136	0.06017478	0.03205180
0.100000	0.11992241	0.06409670	0.07973414	0.00807747	0.01916465	0.01952883	0.09762622	0.07131389	0.06723664	-0.00232090	0.03048090	0.04480827	0.08397154	0.06886473	0.05913689	-0.01454475	0.04077797	0.06132627	0.11269653	0.09653696	0.11857861	0.01611232	0.03160005	0.00691115	0.08315491	0.10466836	0.09659264	0.00663898	0.09027596	0.02378376	0.06895475	0.09362160	0.06356835	0.00100390	0.06520007	0.03207581
0.116666	0.12009040	0.06445825	0.08006376	0.00834088	0.02052327	0.01717504	0.09772657	0.07188332	0.06796663	-0.00054095	0.03240267	0.04157381	0.08390520	0.06964173	0.06013897	-0.01205032	0.04231820	0.05784222	0.11297463	0.09719887	0.11866407	0.01628364	0.03200525	0.00404695	0.08334296	0.10645787	0.09692673	0.00574688	0.08839427	0.02311477	0.06908387	0.09486070	0.06403938	0.00091348	0.06286855	0.03026945
