Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.07983989	-0.02168295	0.08477850	-0.01095489	0.00119465	0.00150979	0.05826866	-0.01747614	0.07533149	-0.00573902	0.00592668	-0.00486998	0.03812505	-0.01474826	0.06111832	-0.00262980	-0.00165984	0.00672030	0.08343022	0.00402542	0.10936791	-0.00046473	-0.00310949	0.00635079	0.05060031	0.01420816	0.08896489	0.00178193	0.00050212	0.00406326	0.02496176	0.00735688	0.06593870	0.00234064	-0.00724806	0.00294742
0.033333	0.07964304	-0.02168829	0.08478078	-0.01308945	0.00262751	0.00008695	0.05817114	-0.01739040	0.07522466	-0.00994802	0.00464510	-0.00444891	0.03806657	-0.01481432	0.06122005	-0.00347940	-0.00362913	0.00465834	0.08343469	0.00400153	0.10943786	-0.00334897	-0.00296605	0.00665682	0.05059498	0.01422665	0.08901317	-0.00116040	0.00080735	0.00505151	0.02499479	0.00721366	0.06597139	0.00051057	-0.00779461	0.00251749
0.050000	0.07946340	-0.02161679	0.08479994	-0.01522402	0.00406038	-0.00133589	0.05801931	-0.01727620	0.07516487	-0.01415702	0.00336352	-0.00402784	0.03799975	-0.01482514	0.06132463	-0.00432899	-0.00559842	0.00259639	0.08336508	0.00392050	0.10957620	-0.00623322	-0.00282260	0.00696286	0.05063832	0.01423076	0.08908796	-0.00410272	0.00111258	0.00603976	0.02501693	0.00711900	0.06602256	-0.00131949	-0.00834117	0.00208755
0.066666	0.07916386	-0.02154425	0.08480830	-0.01550643	0.00422640	-0.00356329	0.05779357	-0.01711786	0.07507010	-0.01615760	0.00308121	-0.00579799	0.03799400	-0.01490244	0.06135758	-0.00678752	-0.00796420	0.00119575	0.08326743	0.00386362	0.10973059	-0.00811040	-0.00184113	0.00519758	0.05055818	0.01423941	0.08924941	-0.00620414	0.00175924	0.00411367	0.02501659	0.00696179	0.06608229	-0.00194677	-0.00885262	0.00018451
0.083333	0.07890769	-0.02144457	0.08473941	-0.01711443	0.00484624	-0.00582738	0.05743263	-0.01734590	0.07512484	-0.01867034	0.00517051	-0.00897664	0.03785996	-0.01505599	0.06134739	-0.00822398	-0.01119098	-0.00130246	0.08309552	0.00382170	0.10983648	-0.01066167	-0.00129706	0.00445599	0.05041637	0.01427039	0.08935092	-0.00962405	0.00291032	0.00373156	0.02490383	0.00683397	0.06609813	-0.00164480	-0.00926734	-0.00178315
0.100000	0.07856362	-0.02136839	0.08456365	-0.02004114	0.00529500	-0.00843253	0.05703438	-0.01718659	0.07489564	-0.02117065	0.00569691	-0.01231973	0.03764572	-0.01532575	0.06129885	-0.00980694	-0.01535009	-0.00449104	0.08286791	0.00385161	0.10984140	-0.01298600	0.00026313	0.00343045	0.05017839	0.01433659	0.08935755	-0.01374965	0.00530290	0.00326337	0.02483184	0.00663211	0.06602972	-0.00079842	-0.00836540	-0.00440953
0.116666	0.07830690	-0.02129235	0.08439777	-0.02545281	0.00635461	-0.01145971	0.05670690	-0.01711683	0.07465715	-0.02533520	0.00664868	-0.01698117	0.03743127	-0.01558641	0.06121488	-0.01311892	-0.01990645	-0.00838555	0.08263379	0.00386461	0.10984615	-0.01613847	0.00320893	0.00204612	0.04995468	0.01440721	0.08933097	-0.01850046	0.00946364	0.00201416	0.02482458	0.00646908	0.06590378	-0.00090897	-0.00655476	-0.00772949
