Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.07545492	-0.02733745	0.08790752	0.00112810	-0.00210252	0.00996929	0.05573987	-0.01877723	0.07884453	0.00708683	-0.00112099	0.00716521	0.03864800	-0.01372834	0.06784951	0.00287305	0.00205150	0.00979807	0.08529013	-0.00670955	0.11364143	0.00283395	-0.00181124	0.01073223	0.05207228	0.01151903	0.09682905	0.00252926	0.00189601	0.01008999	0.02577621	0.00926248	0.06878792	-0.00199253	0.00021212	0.01600648
0.033333	0.07547192	-0.02736602	0.08806432	0.00319877	-0.00220350	0.01082276	0.05584096	-0.01879539	0.07894585	0.00638603	-0.00063837	0.00854868	0.03870962	-0.01372515	0.06799242	0.00409463	0.00189801	0.01033146	0.08532897	-0.00674696	0.11380173	0.00379221	-0.00179344	0.01186770	0.05211819	0.01155438	0.09697428	0.00433089	0.00046645	0.01129997	0.02573953	0.00925766	0.06902932	0.00016663	0.00041667	0.01590288
0.050000	0.07551081	-0.02741091	0.08824678	0.00526944	-0.00230447	0.01167622	0.05597245	-0.01880688	0.07909183	0.00568523	-0.00015575	0.00993215	0.03875404	-0.01366006	0.06817647	0.00531622	0.00174451	0.01086485	0.08538471	-0.00676382	0.11400441	0.00475047	-0.00177564	0.01300318	0.05216372	0.01156756	0.09717378	0.00613252	-0.00096310	0.01250995	0.02571037	0.00927583	0.06932172	0.00232579	0.00062121	0.01579928
0.066666	0.07561800	-0.02744248	0.08845685	0.00538545	-0.00226149	0.01120307	0.05610105	-0.01882198	0.07930663	0.00492126	0.00027575	0.00899438	0.03884538	-0.01360817	0.06839010	0.00536586	0.00077896	0.01012624	0.08550968	-0.00680327	0.11425927	0.00390472	-0.00153012	0.01194441	0.05230143	0.01154223	0.09742022	0.00564520	-0.00104161	0.01158969	0.02582886	0.00927267	0.06960681	0.00069239	0.00063070	0.01512299
0.083333	0.07575208	-0.02749764	0.08866590	0.00533359	-0.00223527	0.01111665	0.05610934	-0.01879105	0.07945859	0.00466065	0.00048264	0.00914328	0.03896540	-0.01360367	0.06856096	0.00547557	0.00040124	0.01029339	0.08556919	-0.00682305	0.11447829	0.00369733	-0.00126797	0.01166214	0.05242759	0.01148970	0.09763120	0.00565449	-0.00164022	0.01165093	0.02585384	0.00931320	0.06984431	0.00064464	0.00031105	0.01477661
0.100000	0.07587933	-0.02752125	0.08884967	0.00418270	-0.00197839	0.01139169	0.05617901	-0.01877815	0.07960982	0.00373259	0.00079155	0.00890426	0.03910623	-0.01365047	0.06869706	0.00524715	-0.00022936	0.01038999	0.08563555	-0.00685455	0.11465847	0.00292068	-0.00107925	0.01139437	0.05255416	0.01144791	0.09780488	0.00509920	-0.00193400	0.01157464	0.02588909	0.00930572	0.07005133	0.00023678	-0.00015008	0.01412110
0.116666	0.07593346	-0.02755845	0.08899515	0.00368798	-0.00167653	0.01196430	0.05623102	-0.01875323	0.07969587	0.00316496	0.00104674	0.00911526	0.03914274	-0.01366332	0.06884868	0.00461645	-0.00068981	0.01106289	0.08564172	-0.00685626	0.11478645	0.00213061	-0.00103197	0.01166974	0.05258020	0.01144539	0.09794527	0.00466635	-0.00165250	0.01192090	0.02576516	0.00931151	0.07029139	0.00020136	-0.00071578	0.01420071
