Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11847036	0.02347082	0.11255230	-0.00116211	0.00541202	0.00836115	0.10162610	0.01055996	0.10394528	0.00057131	0.00536970	0.00606521	0.09658010	-0.00371831	0.09402745	0.00809479	0.00803820	0.00783875	0.07710242	0.04550340	0.15156159	0.00220598	0.00127070	0.00351862	0.06192808	0.01543763	0.12359296	0.00566604	0.00155828	0.00086882	0.06639162	-0.00277314	0.09842192	0.00292675	-0.00337620	0.00567815
0.016667	0.11845487	0.02355952	0.11268936	-0.00130110	0.00459090	0.00841166	0.10166825	0.01065094	0.10404193	-0.00143812	0.00629307	0.00661502	0.09676118	-0.00357710	0.09414848	0.00480162	0.00847942	0.00809807	0.07713985	0.04552730	0.15162067	0.00176982	0.00157547	0.00339122	0.06201925	0.01546955	0.12359269	0.00543854	0.00172489	0.00245691	0.06648563	-0.00282885	0.09847950	0.00101991	-0.00390198	0.00643733
0.033333	0.11843341	0.02364407	0.11282953	-0.00144009	0.00376978	0.00846218	0.10162744	0.01074322	0.10414887	-0.00344755	0.00721645	0.00716484	0.09681933	-0.00344845	0.09428486	0.00150845	0.00892064	0.00835739	0.07717005	0.04554673	0.15167910	0.00133366	0.00188024	0.00326381	0.06211380	0.01548801	0.12363541	0.00521103	0.00189150	0.00404501	0.06647448	-0.00288976	0.09860945	-0.00088692	-0.00442776	0.00719651
0.050000	0.11840230	0.02368836	0.11296876	-0.00088022	0.00338410	0.00796846	0.10153415	0.01087952	0.10427855	-0.00222114	0.00684086	0.00662255	0.09679402	-0.00329398	0.09443840	0.00289054	0.00861097	0.00745083	0.07719477	0.04558627	0.15172383	0.00152324	0.00160924	0.00327134	0.06220879	0.01551769	0.12373310	0.00549520	0.00175804	0.00351911	0.06641931	-0.00297098	0.09877726	0.00111629	-0.00473471	0.00496244
0.066666	0.11837400	0.02375646	0.11312345	-0.00022370	0.00248434	0.00692411	0.10143484	0.01101498	0.10441427	-0.00159044	0.00667197	0.00595397	0.09674614	-0.00314048	0.09458771	0.00270591	0.00804254	0.00664214	0.07719999	0.04561590	0.15178801	0.00218232	0.00099158	0.00292287	0.06227689	0.01556275	0.12382013	0.00633348	0.00124803	0.00374959	0.06635705	-0.00305332	0.09889437	0.00209243	-0.00561439	0.00374192
0.083333	0.11837496	0.02377862	0.11323810	0.00069890	0.00214377	0.00556076	0.10143089	0.01114387	0.10451376	-0.00007376	0.00612021	0.00493614	0.09682696	-0.00297623	0.09467700	0.00380614	0.00750242	0.00573880	0.07721935	0.04565298	0.15183653	0.00304413	0.00001313	0.00248605	0.06236403	0.01559520	0.12388506	0.00735573	0.00076633	0.00341506	0.06644877	-0.00314476	0.09889643	0.00367103	-0.00624657	0.00269287
0.100000	0.11840840	0.02380757	0.11331741	0.00187182	0.00229738	0.00407608	0.10149157	0.01120708	0.10457062	0.00162099	0.00551110	0.00395925	0.09697839	-0.00289145	0.09473951	0.00492906	0.00715177	0.00490757	0.07728910	0.04563594	0.15188339	0.00389015	-0.00098395	0.00191369	0.06251293	0.01559612	0.12389611	0.00828772	0.00022193	0.00298084	0.06660416	-0.00325714	0.09884680	0.00423411	-0.00624167	0.00291542
0.116666	0.11844952	0.02382240	0.11334679	0.00301619	0.00294091	0.00298810	0.10155775	0.01129102	0.10460451	0.00256230	0.00543123	0.00318044	0.09707776	-0.00279340	0.09479909	0.00508288	0.00707840	0.00450993	0.07739040	0.04559449	0.15190031	0.00489062	-0.00178563	0.00122414	0.06268109	0.01556872	0.12394583	0.00923160	-0.00036226	0.00258350	0.06671306	-0.00339133	0.09887529	0.00393966	-0.00546047	0.00468804
