Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11830864	0.03223437	0.11188661	0.00021380	0.00105923	0.00531437	0.10076727	0.01956436	0.10502633	0.00790755	-0.01314678	0.00300036	0.09520093	0.00537270	0.09664346	0.01585855	-0.02111575	0.00496978	0.07732601	0.05469556	0.14744967	-0.01104441	0.02113660	0.01293143	0.06517047	0.02223783	0.12332260	-0.05554322	0.02201712	-0.00685233	0.06531788	0.00041753	0.10046283	-0.02516291	0.04769272	-0.01059764
0.016667	0.11829185	0.03224280	0.11196839	0.00407697	0.00195154	0.00207023	0.10080346	0.01943421	0.10507719	0.01641362	-0.01824859	-0.00129775	0.09534535	0.00511572	0.09673920	0.02653833	-0.02670949	0.00009231	0.07715447	0.05499838	0.14764401	-0.00996936	0.02460076	0.01319026	0.06426106	0.02261185	0.12321192	-0.05134529	0.02056061	-0.00634837	0.06475330	0.00113856	0.10033865	-0.01045038	0.05351526	-0.01632958
0.033333	0.11835530	0.03228064	0.11202783	0.00794015	0.00284384	-0.00117392	0.10111393	0.01908852	0.10508416	0.02491968	-0.02335041	-0.00559586	0.09582361	0.00461841	0.09675641	0.03721811	-0.03230323	-0.00478515	0.07697958	0.05543379	0.14787824	-0.00889431	0.02806492	0.01344910	0.06339851	0.02295530	0.12310713	-0.04714735	0.01910410	-0.00584441	0.06465182	0.00204533	0.10005995	0.00426216	0.05933780	-0.02206152
0.050000	0.11852366	0.03234336	0.11200120	0.00814899	0.00341376	-0.00254699	0.10165254	0.01856775	0.10496467	0.02295637	-0.01975942	-0.00670007	0.09661403	0.00396682	0.09664574	0.03414037	-0.02891158	-0.00626239	0.07680131	0.05597180	0.14813499	-0.00714219	0.02643259	0.01185839	0.06254887	0.02327076	0.12300947	-0.04036510	0.01894135	-0.00438383	0.06485374	0.00315634	0.09959791	0.00551863	0.05492523	-0.02023478
0.066666	0.11874322	0.03239591	0.11189403	0.00872306	0.00461234	-0.00430355	0.10223477	0.01812552	0.10476299	0.02283575	-0.01748713	-0.00881146	0.09744379	0.00333828	0.09644783	0.03380141	-0.02625644	-0.00909470	0.07670713	0.05647838	0.14833973	-0.00512021	0.02446887	0.00957485	0.06191590	0.02354014	0.12290376	-0.02937271	0.01747601	-0.00307181	0.06527098	0.00424907	0.09913326	0.01266000	0.04880979	-0.01952261
0.083333	0.11892460	0.03246879	0.11175665	0.00585055	0.00489697	-0.00500927	0.10260340	0.01788688	0.10455684	0.01507512	-0.00903162	-0.00915356	0.09797174	0.00294603	0.09624775	0.02395934	-0.01619552	-0.00948999	0.07665702	0.05689755	0.14848934	-0.00282337	0.01804726	0.00538441	0.06146788	0.02383792	0.12288268	-0.01637706	0.01546637	-0.00255750	0.06544723	0.00507831	0.09878697	0.01322562	0.03461029	-0.01640311
0.100000	0.11902127	0.03258722	0.11167408	-0.00079651	0.00453299	-0.00440543	0.10278101	0.01783207	0.10442294	-0.00080306	0.00438413	-0.00661327	0.09825666	0.00275468	0.09607921	0.00357797	0.00037558	-0.00649880	0.07664128	0.05716775	0.14855522	-0.00078194	0.00885207	-0.00006080	0.06133885	0.02414241	0.12291867	-0.00378944	0.01301475	-0.00151158	0.06561304	0.00554300	0.09864595	0.00567789	0.01297841	-0.01086966
0.116666	0.11899437	0.03268481	0.11163127	-0.00942938	0.00344330	-0.00207663	0.10275597	0.01792207	0.10431530	-0.02064020	0.01825225	-0.00089139	0.09831361	0.00278203	0.09596124	-0.02252662	0.01881300	0.00056453	0.07664528	0.05723599	0.14851576	0.00049018	-0.00164724	-0.00575388	0.06147847	0.02432106	0.12287296	0.00600700	0.00984528	0.00059121	0.06574760	0.00557242	0.09855789	-0.00845894	-0.01207999	-0.00251987
