Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12803243	0.02543834	0.11165433	-0.00197769	0.00224047	0.00354820	0.10838143	0.01771455	0.10913713	-0.00700119	-0.00049245	0.00393340	0.09890548	0.00720910	0.10015042	-0.00050567	-0.00470580	0.00026446	0.10209376	0.02967344	0.16065618	-0.00946350	-0.00045700	0.00219838	0.07287678	0.00946607	0.13540111	-0.00979752	0.00174627	-0.00184723	0.07095062	0.00465280	0.10524286	-0.00459129	0.00030561	-0.00246936
0.016667	0.12799063	0.02546854	0.11171073	-0.00186906	0.00184017	0.00446232	0.10825912	0.01770361	0.10921074	-0.00681641	-0.00120722	0.00431144	0.09890223	0.00712625	0.10015852	-0.00209191	-0.00441161	0.00139118	0.10193314	0.02968143	0.16068856	-0.00775474	-0.00170092	0.00318827	0.07270522	0.00950523	0.13537887	-0.00732849	0.00039996	0.00007466	0.07086798	0.00466750	0.10520657	-0.00442902	-0.00079010	-0.00136905
0.033333	0.12796618	0.02550870	0.11178323	-0.00176043	0.00143987	0.00537643	0.10815161	0.01769108	0.10927200	-0.00663164	-0.00192200	0.00468949	0.09887294	0.00705528	0.10017121	-0.00367814	-0.00411741	0.00251790	0.10179804	0.02964611	0.16074176	-0.00604598	-0.00294484	0.00417815	0.07258164	0.00951074	0.13536057	-0.00485947	-0.00094636	0.00199654	0.07079875	0.00465201	0.10517418	-0.00426674	-0.00188580	-0.00026874
0.050000	0.12794769	0.02553968	0.11187534	-0.00219741	0.00096327	0.00536276	0.10804313	0.01765767	0.10934313	-0.00674548	-0.00237393	0.00501348	0.09878824	0.00699007	0.10021579	-0.00377716	-0.00365994	0.00275460	0.10170738	0.02957416	0.16081347	-0.00538959	-0.00270493	0.00446165	0.07251751	0.00948165	0.13539381	-0.00437850	-0.00095635	0.00305252	0.07073073	0.00459928	0.10517132	-0.00419376	-0.00193653	0.00033379
0.066666	0.12791376	0.02554312	0.11199173	-0.00255683	0.00016182	0.00524892	0.10793579	0.01760465	0.10944131	-0.00685207	-0.00340913	0.00511630	0.09870985	0.00692955	0.10028800	-0.00437310	-0.00282763	0.00306220	0.10164408	0.02950859	0.16091226	-0.00432273	-0.00324009	0.00486100	0.07248133	0.00943330	0.13548364	-0.00330248	-0.00145849	0.00423426	0.07066684	0.00456071	0.10519121	-0.00375447	-0.00266350	0.00105661
0.083333	0.12785904	0.02553658	0.11209541	-0.00310832	-0.00108619	0.00453317	0.10781911	0.01754210	0.10954551	-0.00677898	-0.00437343	0.00462262	0.09861197	0.00686802	0.10036756	-0.00401364	-0.00227813	0.00298740	0.10159656	0.02946331	0.16100302	-0.00390215	-0.00348763	0.00473404	0.07246970	0.00940845	0.13559854	-0.00292682	-0.00169748	0.00457080	0.07058597	0.00451375	0.10524082	-0.00317038	-0.00312732	0.00116308
0.100000	0.12779742	0.02552245	0.11215694	-0.00352831	-0.00230233	0.00324936	0.10769726	0.01746896	0.10963099	-0.00603488	-0.00480020	0.00319266	0.09856232	0.00686490	0.10039834	-0.00309089	-0.00214736	0.00237894	0.10153620	0.02942878	0.16108432	-0.00389782	-0.00386431	0.00398734	0.07238808	0.00939700	0.13568780	-0.00252848	-0.00237932	0.00366108	0.07054169	0.00447265	0.10526354	-0.00261732	-0.00386287	0.00062470
0.116666	0.12772954	0.02547139	0.11219668	-0.00364007	-0.00334553	0.00172951	0.10757726	0.01735913	0.10968822	-0.00476440	-0.00485612	0.00109215	0.09850524	0.00683902	0.10043179	-0.00217725	-0.00248976	0.00134677	0.10146024	0.02936279	0.16114299	-0.00416724	-0.00474107	0.00281447	0.07233433	0.00937925	0.13573544	-0.00209768	-0.00361344	0.00175246	0.07050329	0.00440619	0.10527825	-0.00199218	-0.00510581	-0.00045780
